row  column  (images_32.edf P-K*images_32.edf Ar-K**2.3)
11  49  3.23137e+07
11  50  2.95196e+07
12  0  0
12  1  0
12  2  1.7867e+07
12  3  7.29641e+06
12  4  0
12  5  0
12  6  0
12  7  1.15e+07
12  8  1.11273e+07
12  9  1.21746e+07
12  10  1.27324e+07
12  11  1.96925e+07
12  12  3.80747e+06
12  13  0
12  14  2.49552e+07
12  15  1.9962e+07
12  16  2.09639e+07
12  17  0
12  18  1.64059e+07
12  19  9.64978e+06
12  20  0
12  21  8.14125e+06
12  22  1.1182e+07
12  23  2.17236e+07
12  24  2.09583e+07
12  25  2.21213e+07
12  26  2.22401e+07
12  27  1.91447e+07
12  28  8.35423e+06
12  29  0
12  30  7.99965e+06
12  31  0
12  32  5.68998e+06
12  33  6.84201e+06
12  34  1.11868e+07
12  35  2.80569e+07
12  36  1.35022e+07
12  37  7.74059e+06
12  38  1.73063e+07
12  39  1.40276e+07
12  40  3.64024e+06
12  41  1.35129e+07
12  42  8.35096e+06
12  43  2.4613e+07
12  44  2.40556e+07
12  45  1.07266e+07
12  46  2.09351e+07
12  47  1.47731e+07
12  48  1.36175e+07
12  49  4.40462e+07
12  50  3.0722e+07
13  0  3.58824e+06
13  1  1.80311e+07
13  2  2.82747e+07
13  3  1.2105e+07
13  4  1.10843e+07
13  5  6.87719e+06
13  6  0
13  7  0
13  8  0
13  9  1.29153e+07
13  10  0
13  11  2.82418e+07
13  12  1.11727e+07
13  13  1.39097e+07
13  14  1.62503e+07
13  15  1.83597e+07
13  16  1.51768e+07
13  17  2.08827e+07
13  18  0
13  19  7.3387e+06
13  20  1.428e+07
13  21  0
13  22  1.4788e+07
13  23  1.97169e+07
13  24  2.70049e+07
13  25  2.00318e+07
13  26  4.96993e+06
13  27  8.10622e+06
13  28  5.644e+06
13  29  9.48491e+06
13  30  0
13  31  0
13  32  0
13  33  0
13  34  0
13  35  1.60559e+07
13  36  2.08431e+07
13  37  3.90716e+07
13  38  3.46943e+07
13  39  2.2025e+07
13  40  2.21647e+07
13  41  1.59649e+07
13  42  1.41847e+07
13  43  1.88924e+07
13  44  3.46207e+07
13  45  2.37641e+07
13  46  1.25628e+07
13  47  7.08334e+06
13  48  2.83954e+07
13  49  2.68537e+07
13  50  3.60447e+07
14  0  1.29358e+07
14  1  3.3548e+07
14  2  1.73748e+07
14  3  1.89446e+07
14  4  1.31653e+07
14  5  0
14  6  0
14  7  1.88034e+07
14  8  1.90381e+07
14  9  0
14  10  2.07918e+07
14  11  1.37761e+07
14  12  2.51287e+07
14  13  7.95241e+06
14  14  6.3042e+06
14  15  1.51437e+07
14  16  1.64249e+07
14  17  9.78969e+06
14  18  2.47555e+07
14  19  1.49396e+07
14  20  1.86514e+07
14  21  5.05228e+06
14  22  1.18578e+07
14  23  3.49803e+07
14  24  2.55987e+07
14  25  1.92819e+07
14  26  1.45594e+07
14  27  9.1446e+06
14  28  3.30195e+06
14  29  1.15644e+07
14  30  0
14  31  0
14  32  0
14  33  5.47818e+06
14  34  5.44366e+06
14  35  1.83052e+07
14  36  5.92887e+06
14  37  0
14  38  1.26443e+07
14  39  1.44166e+07
14  40  2.00669e+07
14  41  1.25941e+07
14  42  8.34982e+06
14  43  2.56265e+07
14  44  1.01824e+07
14  45  1.65364e+07
14  46  0
14  47  2.10899e+07
14  48  2.9948e+07
14  49  2.71983e+07
14  50  2.63816e+07
15  0  2.25906e+07
15  1  2.33734e+07
15  2  3.91687e+07
15  3  1.7262e+07
15  4  0
15  5  0
15  6  9.73667e+06
15  7  1.18027e+07
15  8  6.3052e+06
15  9  1.14745e+07
15  10  2.35097e+07
15  11  1.25542e+07
15  12  1.76251e+07
15  13  1.8946e+07
15  14  9.89659e+06
15  15  2.3695e+07
15  16  2.34349e+07
15  17  2.30297e+07
15  18  2.52511e+07
15  19  1.11549e+07
15  20  1.05075e+07
15  21  0
15  22  1.73818e+07
15  23  1.83716e+07
15  24  1.95337e+07
15  25  1.1441e+07
15  26  9.23358e+06
15  27  0
15  28  1.91022e+06
15  29  0
15  30  0
15  31  0
15  32  0
15  33  1.17287e+07
15  34  1.25955e+07
15  35  0
15  36  6.6277e+06
15  37  2.27953e+07
15  38  6.50053e+06
15  39  2.53881e+07
15  40  2.03825e+07
15  41  1.82914e+07
15  42  4.03055e+06
15  43  6.62156e+06
15  44  1.3338e+07
15  45  1.43709e+07
15  46  5.72568e+06
15  47  9.18503e+06
15  48  2.91205e+07
15  49  4.3979e+07
