row  column  (images_25_1_306.edf S-K*images_25_1_306.edf Ar-K**2.3)
14  33  1.60271e+07
14  34  0
14  35  1.73222e+07
14  36  1.89794e+07
14  37  0
14  38  0
14  39  0
14  40  0
14  41  0
14  42  0
14  43  0
14  44  0
14  45  0
14  46  0
14  47  0
14  48  2.106e+07
14  49  0
14  50  1.84545e+07
15  0  0
15  1  2.13665e+07
15  2  1.26471e+07
15  3  2.63245e+07
15  4  1.71044e+07
15  5  2.00901e+07
15  6  0
15  7  1.58909e+07
15  8  0
15  9  1.16707e+07
15  10  0
15  11  1.87429e+07
15  12  2.96086e+07
15  13  0
15  14  0
15  15  1.8761e+07
15  16  0
15  17  2.54045e+07
15  18  0
15  19  0
15  20  1.77999e+07
15  21  0
15  22  1.85691e+07
15  23  0
15  24  1.90314e+07
15  25  3.11547e+07
15  26  1.93056e+07
15  27  6.49957e+06
15  28  2.50272e+07
15  29  1.64222e+07
15  30  1.35035e+07
15  31  0
15  32  2.08413e+07
15  33  2.33559e+07
15  34  1.4503e+07
15  35  0
15  36  2.17362e+07
15  37  1.9732e+07
15  38  1.50868e+07
15  39  0
15  40  0
15  41  0
15  42  0
15  43  0
15  44  0
15  45  0
15  46  1.55345e+07
15  47  1.48838e+07
15  48  1.27548e+07
15  49  0
15  50  0
16  0  0
16  1  0
16  2  1.80811e+07
16  3  1.87235e+07
16  4  0
16  5  1.45674e+07
16  6  0
16  7  0
16  8  0
16  9  0
16  10  1.72679e+07
16  11  0
16  12  1.83871e+07
16  13  1.92929e+07
16  14  1.89219e+07
16  15  2.43539e+07
16  16  0
16  17  1.97978e+07
16  18  0
16  19  1.83374e+07
16  20  0
16  21  0
16  22  0
16  23  1.61006e+07
16  24  0
16  25  1.85677e+07
16  26  1.86591e+07
16  27  0
16  28  2.27659e+07
16  29  2.26999e+07
16  30  2.09418e+07
16  31  1.2017e+07
16  32  2.97709e+07
16  33  0
16  34  2.30781e+07
16  35  0
16  36  1.9239e+07
16  37  1.87627e+07
16  38  0
16  39  2.30839e+07
16  40  0
16  41  0
16  42  0
16  43  0
16  44  0
16  45  0
16  46  0
16  47  1.25061e+07
16  48  0
16  49  0
16  50  2.03988e+07
17  0  0
17  1  0
17  2  1.59253e+07
17  3  0
17  4  2.19252e+07
17  5  0
17  6  0
17  7  1.14367e+07
17  8  0
17  9  0
17  10  2.45461e+07
17  11  2.24591e+07
17  12  2.19755e+07
17  13  0
17  14  2.60133e+07
17  15  3.08121e+07
17  16  2.68099e+07
17  17  0
17  18  0
17  19  1.43629e+07
17  20  2.29186e+07
17  21  2.55536e+07
17  22  0
17  23  0
17  24  1.89461e+07
17  25  1.82927e+07
17  26  0
17  27  4.22959e+07
17  28  2.49758e+07
17  29  1.56857e+07
17  30  2.5914e+07
17  31  1.71937e+07
17  32  1.28587e+07
17  33  1.46976e+07
17  34  1.99632e+07
17  35  2.04982e+07
17  36  2.60891e+07
17  37  2.59039e+07
17  38  1.69646e+07
17  39  1.5672e+07
17  40  0
17  41  0
17  42  0
17  43  0
17  44  0
17  45  0
17  46  1.09193e+07
17  47  2.13938e+07
17  48  0
17  49  2.1764e+07
17  50  0
18  0  0
18  1  0
18  2  2.66413e+07
18  3  2.25307e+07
18  4  1.30603e+07
18  5  1.35667e+07
18  6  927978
18  7  0
18  8  1.14393e+07
18  9  0
18  10  0
18  11  1.75744e+07
18  12  2.28965e+07
18  13  2.5185e+07
18  14  0
18  15  1.81591e+07
18  16  1.78711e+07
18  17  0
18  18  0
18  19  0
18  20  0
18  21  2.92321e+07
18  22  2.77472e+07
18  23  1.77491e+07
18  24  0
18  25  2.70095e+07
18  26  0
18  27  1.96597e+07
18  28  2.41538e+07
18  29  2.80579e+07
18  30  3.24482e+07
18  31  2.32748e+07
18  32  2.26612e+07
18  33  1.53625e+07
18  34  1.43453e+07
18  35  1.88669e+07
18  36  0
18  37  2.00907e+07
18  38  0
18  39  1.68263e+07
18  40  0
18  41  0
18  42  0
18  43  0
18  44  0
18  45  0
18  46  0
18  47  0
18  48  1.42776e+07
18  49  0
18  50  2.24601e+07
19  0  0
19  1  0
19  2  1.78248e+07
19  3  1.88571e+07
19  4  0
19  5  1.17879e+07
19  6  1.24993e+07
19  7  0
19  8  0
19  9  0
19  10  2.1157e+07
19  11  1.5815e+07
19  12  1.87782e+07
19  13  1.41628e+07
19  14  1.86428e+07
19  15  3.05881e+07
19  16  0
19  17  0
19  18  0
19  19  1.389e+07
19  20  2.15459e+07
19  21  0
19  22  0
19  23  3.23738e+07
19  24  3.42182e+07
19  25  0
19  26  1.74843e+07
19  27  2.49725e+07
19  28  1.61113e+07
19  29  2.73732e+07
19  30  2.35099e+07
19  31  2.6925e+07
19  32  2.5948e+07
19  33  2.07487e+07
19  34  0
19  35  0
19  36  1.7733e+07
19  37  1.73217e+07
19  38  0
19  39  0
19  40  0
19  41  0
19  42  0
19  43  0
19  44  0
19  45  0
19  46  0
19  47  0
19  48  0
19  49  0
19  50  1.3444e+07
20  0  0
20  1  2.30707e+07
20  2  2.66106e+07
20  3  1.44323e+07
20  4  0
20  5  0
20  6  0
20  7  0
20  8  0
20  9  0
20  10  2.79376e+07
20  11  2.55904e+07
20  12  0
20  13  1.86201e+07
20  14  1.48661e+07
20  15  2.7044e+07
20  16  0
20  17  0
20  18  2.70392e+07
20  19  0
20  20  0
20  21  2.39126e+07
20  22  1.54713e+07
20  23  0
20  24  2.41198e+07
20  25  1.89218e+07
20  26  1.56013e+07
20  27  1.6596e+07
20  28  2.38986e+07
20  29  3.12985e+07
20  30  3.78485e+07
20  31  2.14018e+07
20  32  2.43717e+07
20  33  0
20  34  0
20  35  1.48082e+07
20  36  2.18941e+07
20  37  2.16431e+07
20  38  1.95392e+07
20  39  2.20923e+07
20  40  0
20  41  0
20  42  0
20  43  0
20  44  0
20  45  0
20  46  2.38966e+07
20  47  1.35564e+07
20  48  1.61038e+07
20  49  1.57929e+07
20  50  2.79028e+07
21  0  0
21  1  1.86712e+07
21  2  0
21  3  1.52236e+07
21  4  2.12813e+07
21  5  0
21  6  0
21  7  0
21  8  0
21  9  0
21  10  2.2558e+07
21  11  2.34919e+07
21  12  3.27008e+07
21  13  1.92555e+07
21  14  0
21  15  2.76364e+07
21  16  0
21  17  0
21  18  0
21  19  0
21  20  1.64703e+07
21  21  2.10079e+07
21  22  2.70507e+07
21  23  1.47321e+07
21  24  0
21  25  1.75825e+07
21  26  2.29862e+07
21  27  0
21  28  1.74113e+07
21  29  2.6326e+07
21  30  3.19669e+07
21  31  1.52192e+07
21  32  1.60431e+07
21  33  1.36411e+07
21  34  0
21  35  0
21  36  0
21  37  2.34171e+07
21  38  0
21  39  0
21  40  0
21  41  0
21  42  0
21  43  0
21  44  0
21  45  0
21  46  0
21  47  2.26445e+07
21  48  0
21  49  0
21  50  0
22  0  0
22  1  0
22  2  1.71959e+07
22  3  0
22  4  0
22  5  2.09694e+07
22  6  0
22  7  0
22  8  0
22  9  1.73276e+07
22  10  1.35606e+07
22  11  1.87444e+07
22  12  0
22  13  0
22  14  0
22  15  1.77074e+07
22  16  0
22  17  1.78227e+07
22  18  0
22  19  0
22  20  0
22  21  1.84978e+07
22  22  1.91117e+07
22  23  2.26608e+07
22  24  1.40294e+07
22  25  0
22  26  1.80175e+07
22  27  1.7325e+07
22  28  2.69795e+07
22  29  2.44831e+07
22  30  2.66831e+07
22  31  2.7088e+07
22  32  2.14607e+07
22  33  0
22  34  0
22  35  1.34098e+07
22  36  0
22  37  0
22  38  0
22  39  0
22  40  0
22  41  0
22  42  0
22  43  0
22  44  1.94043e+07
22  45  0
22  46  0
22  47  0
22  48  1.41892e+07
22  49  1.50934e+07
22  50  2.53503e+07
23  0  0
23  1  1.73895e+07
23  2  1.32123e+07
23  3  1.42454e+07
23  4  0
23  5  1.29773e+07
23  6  0
23  7  0
23  8  0
23  9  1.69867e+07
23  10  2.00235e+07
23  11  0
23  12  3.1547e+07
23  13  1.82695e+07
23  14  0
23  15  0
23  16  1.98575e+07
23  17  0
23  18  0
23  19  0
23  20  0
23  21  0
23  22  0
23  23  2.20176e+07
23  24  2.24105e+07
23  25  2.36496e+07
23  26  2.6688e+07
23  27  2.73687e+07
23  28  1.87821e+07
23  29  1.90406e+07
23  30  2.69409e+07
23  31  2.51106e+07
23  32  1.74979e+07
23  33  1.98911e+07
23  34  0
23  35  0
23  36  0
23  37  0
23  38  0
23  39  0
23  40  0
23  41  0
23  42  0
23  43  1.80462e+07
23  44  1.28425e+07
23  45  0
23  46  0
23  47  1.49728e+07
23  48  0
23  49  0
23  50  1.50717e+07
24  0  0
24  1  0
24  2  1.21541e+07
24  3  0
24  4  1.81649e+07
24  5  0
24  6  0
24  7  0
24  8  1.45773e+07
24  9  1.02207e+07
24  10  2.39565e+07
24  11  3.03212e+07
24  12  1.83427e+07
24  13  2.07832e+07
24  14  0
24  15  1.91446e+07
24  16  0
24  17  0
24  18  0
24  19  0
24  20  0
24  21  0
24  22  0
24  23  2.71806e+07
24  24  0
24  25  2.7175e+07
24  26  2.05434e+07
24  27  0
24  28  0
24  29  1.60233e+07
24  30  2.23872e+07
24  31  2.34504e+07
24  32  1.87615e+07
24  33  0
24  34  0
24  35  0
24  36  0
24  37  0
24  38  0
24  39  0
24  40  0
24  41  0
24  42  0
24  43  0
24  44  0
24  45  1.7011e+07
24  46  2.1558e+07
24  47  1.52148e+07
24  48  0
24  49  0
24  50  1.75727e+07
25  0  0
25  1  1.42859e+07
25  2  0
25  3  0
25  4  0
25  5  0
25  6  0
25  7  0
25  8  0
25  9  1.51149e+07
25  10  0
25  11  1.90023e+07
25  12  2.10914e+07
25  13  1.7506e+07
25  14  2.49815e+07
25  15  1.85123e+07
25  16  0
25  17  0
25  18  0
25  19  0
25  20  0
25  21  0
25  22  2.01345e+07
25  23  0
25  24  2.85035e+07
25  25  1.78146e+07
25  26  0
25  27  2.1818e+07
25  28  1.75287e+07
25  29  1.56371e+07
25  30  0
25  31  2.3836e+07
25  32  2.74755e+07
25  33  0
25  34  0
25  35  0
25  36  0
25  37  1.5177e+07
25  38  0
25  39  0
25  40  0
