row  column  (images_14_017.edf Ca-K*images_14_017.edf Ar-K**(2.3))
5  8  3.45825e+08
5  9  3.67885e+08
5  10  5.30762e+08
5  11  5.63824e+08
5  12  6.55439e+08
5  13  7.70431e+08
5  14  9.62128e+08
5  15  1.05083e+09
5  16  1.2797e+09
5  17  1.04607e+09
5  18  9.67074e+08
5  19  9.91319e+08
5  20  9.30386e+08
5  21  1.10194e+09
5  22  1.13376e+09
5  23  1.35382e+09
5  24  1.23455e+09
5  25  1.20549e+09
5  26  1.10329e+09
5  27  1.1055e+09
5  28  1.20914e+09
5  29  1.27049e+09
5  30  1.31231e+09
5  31  1.30006e+09
5  32  1.09179e+09
5  33  1.15627e+09
5  34  1.02216e+09
5  35  1.05326e+09
5  36  1.05717e+09
5  37  1.24531e+09
5  38  1.11201e+09
5  39  1.18216e+09
5  40  1.29875e+09
5  41  1.41311e+09
5  42  1.47573e+09
5  43  1.6301e+09
5  44  1.3909e+09
5  45  1.64271e+09
5  46  1.56341e+09
5  47  1.9137e+09
5  48  2.26737e+09
5  49  1.64924e+09
5  50  1.51808e+09
5  51  1.47462e+09
5  52  1.58523e+09
5  53  1.73935e+09
5  54  1.53954e+09
5  55  1.62462e+09
5  56  1.75197e+09
5  57  1.46785e+09
5  58  1.30835e+09
5  59  1.17589e+09
5  60  1.10723e+09
5  61  1.24289e+09
5  62  1.19331e+09
5  63  1.08033e+09
5  64  1.00934e+09
5  65  1.13333e+09
5  66  1.24367e+09
5  67  1.3219e+09
5  68  1.37194e+09
5  69  1.39952e+09
5  70  1.59509e+09
5  71  1.51487e+09
5  72  1.6597e+09
5  73  1.42323e+09
5  74  1.26403e+09
5  75  1.39234e+09
5  76  1.02449e+09
5  77  1.11247e+09
5  78  1.30933e+09
5  79  1.15945e+09
5  80  1.21795e+09
5  81  1.15786e+09
5  82  1.00031e+09
5  83  8.65361e+08
5  84  7.36348e+08
5  85  6.75229e+08
5  86  5.55353e+08
5  87  5.6566e+08
5  88  4.83933e+08
5  89  4.86937e+08
5  90  6.04621e+08
5  91  7.0317e+08
5  92  6.79864e+08
5  93  8.45789e+08
5  94  8.56522e+08
5  95  9.82654e+08
5  96  8.89873e+08
5  97  8.75537e+08
5  98  9.11084e+08
5  99  7.85645e+08
5  100  7.62805e+08
6  0  2.14666e+08
6  1  1.75984e+08
6  2  1.41673e+08
6  3  1.87446e+08
6  4  1.7719e+08
6  5  2.07778e+08
6  6  2.67903e+08
6  7  2.91184e+08
6  8  3.92942e+08
6  9  4.00601e+08
6  10  5.98006e+08
6  11  6.40982e+08
6  12  7.54566e+08
6  13  7.17695e+08
6  14  9.27072e+08
6  15  1.02828e+09
6  16  1.21608e+09
6  17  1.12347e+09
6  18  9.89312e+08
6  19  9.73215e+08
6  20  9.97687e+08
6  21  1.04671e+09
6  22  1.08234e+09
6  23  1.32918e+09
6  24  1.25985e+09
6  25  1.20011e+09
6  26  1.0823e+09
6  27  1.17292e+09
6  28  1.34865e+09
6  29  1.19824e+09
6  30  1.33292e+09
6  31  1.29942e+09
6  32  1.18524e+09
