row  column  (images_14_017.edf K-K*images_14_017.edf Ar-K**(2.3))
2  20  1.01659e+07
2  21  0
2  22  6.87424e+06
2  23  2.14189e+07
2  24  1.82271e+07
2  25  1.35665e+07
2  26  1.88278e+07
2  27  0
2  28  0
2  29  1.72574e+07
2  30  1.16624e+07
2  31  5.69888e+06
2  32  1.82799e+07
2  33  0
2  34  1.39363e+07
2  35  1.65806e+07
2  36  0
2  37  6.2001e+06
2  38  1.22838e+07
2  39  1.76495e+07
2  40  2.02879e+07
2  41  3.91177e+07
2  42  1.18953e+07
2  43  1.14649e+07
2  44  1.97949e+07
2  45  1.03333e+06
2  46  182135
2  47  2.66229e+07
2  48  2.63039e+07
2  49  1.39987e+07
2  50  3.01293e+07
2  51  2.31727e+07
2  52  1.78504e+07
2  53  0
2  54  3.15625e+07
2  55  1.60884e+07
2  56  1.92168e+07
2  57  1.85945e+07
2  58  4.18591e+06
2  59  1.14872e+07
2  60  1.14763e+07
2  61  3.10539e+06
2  62  0
2  63  2.68045e+06
2  64  2.04217e+07
2  65  1.50465e+07
2  66  1.74008e+07
2  67  1.05394e+07
2  68  0
2  69  2.35311e+07
2  70  2.21005e+07
2  71  0
2  72  0
2  73  1.91289e+07
2  74  3.25267e+07
2  75  1.19004e+07
2  76  2.37964e+07
2  77  1.18839e+07
2  78  0
2  79  2.64294e+07
2  80  2.05356e+07
2  81  2.40103e+07
2  82  5.80816e+06
2  83  1.19245e+07
2  84  1.38863e+07
2  85  2.1932e+07
2  86  1.1675e+07
2  87  1.88372e+07
2  88  1.79666e+06
2  89  2.14917e+07
2  90  1.51038e+07
2  91  2.4193e+07
2  92  1.00554e+07
2  93  1.1829e+07
2  94  0
2  95  1.78934e+07
2  96  1.28772e+07
2  97  7.49006e+06
2  98  3.67499e+07
2  99  2.13264e+07
2  100  1.2349e+07
3  0  0
3  1  1.38058e+07
3  2  4.27357e+06
3  3  8.55133e+06
3  4  1.32401e+07
3  5  1.04206e+07
3  6  2.05452e+06
3  7  9.3253e+06
3  8  6.42775e+06
3  9  4.60457e+06
3  10  1.14956e+07
3  11  1.91004e+07
3  12  1.82022e+07
3  13  1.91792e+07
3  14  5.05244e+06
3  15  2.83164e+07
3  16  7.20288e+06
3  17  1.14207e+07
3  18  7.10168e+06
3  19  1.0226e+07
3  20  8.43668e+06
3  21  2.20041e+07
3  22  1.44052e+07
3  23  2.40295e+07
3  24  1.68365e+07
3  25  1.55376e+07
3  26  1.43998e+07
3  27  1.31021e+07
3  28  4.45198e+06
3  29  1.23361e+07
3  30  1.91611e+07
3  31  1.4988e+07
3  32  9.81756e+06
3  33  0
3  34  2.59179e+07
3  35  0
3  36  1.37595e+07
3  37  1.22293e+07
3  38  0
3  39  2.33342e+07
3  40  9.74063e+06
3  41  3.17794e+07
3  42  9.17878e+06
3  43  2.51353e+07
3  44  1.88755e+07
3  45  1.75271e+07
3  46  0
3  47  0
3  48  0
3  49  1.10018e+06
3  50  2.609e+07
3  51  2.59996e+07
3  52  1.65262e+07
3  53  3.66874e+06
3  54  4.84938e+06
3  55  9.73722e+06
3  56  7.28432e+06
3  57  2.38735e+07
3  58  2.52696e+07
3  59  2.72363e+07
3  60  1.81019e+07
3  61  2.31192e+07
3  62  0
3  63  2.29979e+07
3  64  2.89083e+07
3  65  1.29841e+07
3  66  2.2867e+07
3  67  2.73832e+07
3  68  1.98931e+07
3  69  2.47901e+07
3  70  2.57879e+07
3  71  2.2154e+06
3  72  2.54198e+07
3  73  3.4162e+07
3  74  1.14645e+07
3  75  0
3  76  1.58336e+07
3  77  5.45758e+06
3  78  1.75457e+07
3  79  2.08665e+07
3  80  1.60079e+07
3  81  1.13274e+07
3  82  1.49286e+07
3  83  0
3  84  6.03146e+06
3  85  3.46908e+07
3  86  9.62593e+06
3  87  1.94471e+07
3  88  5.02627e+06
3  89  1.84226e+07
3  90  5.88688e+06
3  91  2.43482e+07
3  92  9.29196e+06
3  93  1.43822e+07
3  94  1.79001e+07
3  95  1.96558e+07
3  96  1.56082e+07
3  97  1.13528e+07
3  98  6.15088e+06
3  99  1.88737e+07
3  100  0
4  0  6.7259e+06
4  1  0
4  2  7.66955e+06
4  3  7.4575e+06
4  4  5.13348e+06
4  5  2.41131e+06
4  6  5.68054e+06
4  7  1.97661e+06
4  8  9.54797e+06
4  9  0
4  10  9.03222e+06
4  11  4.95665e+06
4  12  3.92219e+06
4  13  7.88599e+06
4  14  2.48614e+06
4  15  6.93186e+06
4  16  2.20431e+07
4  17  1.18615e+07
4  18  2.4262e+07
4  19  1.75142e+07
4  20  1.35429e+07
4  21  1.7762e+07
4  22  1.03237e+07
4  23  2.81724e+07
4  24  1.58905e+07
4  25  0
4  26  1.20302e+07
4  27  2.42917e+07
4  28  1.96249e+07
4  29  2.45055e+07
4  30  8.83358e+06
4  31  2.87387e+07
4  32  2.04234e+07
4  33  3.28451e+07
4  34  0
4  35  1.3322e+07
4  36  1.20203e+07
4  37  9.52165e+06
4  38  1.0112e+07
4  39  1.75267e+07
4  40  2.26537e+07
4  41  5.1838e+06
4  42  2.85585e+07
4  43  1.89302e+07
4  44  0
4  45  7.26625e+06
4  46  7.59047e+06
4  47  1.7264e+07
4  48  2.3007e+07
4  49  2.21885e+07
4  50  2.55983e+07
4  51  9.46095e+06
4  52  2.38906e+07
4  53  0
4  54  2.89272e+07
4  55  1.73776e+07
4  56  2.21048e+07
4  57  7.38053e+06
4  58  1.998e+07
4  59  1.73185e+07
4  60  0
4  61  1.40365e+07
4  62  1.42784e+07
4  63  1.91475e+07
4  64  3.48888e+07
4  65  1.96159e+07
4  66  1.5838e+07
4  67  2.69203e+07
4  68  0
4  69  2.56837e+07
4  70  1.58684e+07
4  71  0
4  72  0
4  73  1.41513e+07
4  74  1.04188e+07
4  75  7.684e+06
4  76  0
4  77  6.97124e+06
4  78  1.55471e+07
4  79  8.76199e+06
4  80  1.49494e+07
4  81  3.31408e+07
4  82  0
4  83  1.26292e+07
4  84  2.6325e+06
4  85  2.38321e+07
4  86  4.59746e+06
4  87  2.02778e+07
4  88  6.12101e+06
4  89  1.19398e+07
