row  column  (images_14_017.edf Mn-K*images_14_017.edf Ar-K**(2.3))
1  21  7.53663e+06
1  22  8.03448e+06
1  23  1.35302e+07
1  24  6.29441e+06
1  25  2.64058e+06
1  26  1.14682e+07
1  27  3.44843e+06
1  28  0
1  29  1.189e+07
1  30  1.19966e+07
1  31  1.2613e+07
1  32  5.9095e+06
1  33  1.28206e+07
1  34  9.62833e+06
1  35  2.87258e+06
1  36  0
1  37  1.42563e+07
1  38  1.30041e+07
1  39  6.37316e+06
1  40  0
1  41  1.44487e+07
1  42  7.16405e+06
1  43  2.17901e+07
1  44  1.56709e+07
1  45  1.30827e+07
1  46  1.31295e+07
1  47  1.15343e+07
1  48  0
1  49  167446
1  50  1.13084e+07
1  51  7.01976e+06
1  52  0
1  53  1.60688e+07
1  54  1.13231e+07
1  55  2.40956e+07
1  56  6.02228e+06
1  57  1.60034e+06
1  58  2.55233e+07
1  59  2.41649e+07
1  60  1.64295e+07
1  61  3.39578e+06
1  62  1.1499e+07
1  63  1.84718e+07
1  64  4.35443e+06
1  65  2.09328e+07
1  66  1.8326e+07
1  67  1.66058e+07
1  68  1.08039e+07
1  69  4.38697e+06
1  70  0
1  71  9.62613e+06
1  72  2.05261e+07
1  73  1.10497e+07
1  74  9.04799e+06
1  75  1.3943e+07
1  76  1.42164e+07
1  77  4.67147e+06
1  78  1.14215e+07
1  79  0
1  80  1.13313e+07
1  81  8.6609e+06
1  82  0
1  83  2.54126e+07
1  84  2.30856e+07
1  85  1.24943e+07
1  86  1.85224e+07
1  87  7.69792e+06
1  88  2.1436e+07
1  89  1.67437e+07
1  90  7.52757e+06
1  91  1.78213e+06
1  92  1.38589e+07
1  93  2.65542e+06
1  94  5.70558e+06
1  95  1.44115e+07
1  96  0
1  97  0
1  98  7.97726e+06
1  99  1.61246e+07
1  100  1.34578e+07
2  0  5.181e+06
2  1  5.71858e+06
2  2  1.24101e+07
2  3  1.05293e+07
2  4  4.62619e+06
2  5  1.0155e+07
2  6  4.77051e+06
2  7  9.89596e+06
2  8  5.50749e+06
2  9  1.03545e+07
2  10  3.36466e+06
