row  column  (images_14_017.edf Zn-K*images_14_017.edf Ar-K**(2.3))
5  42  1.35673e+08
5  43  1.33735e+08
5  44  8.72572e+07
5  45  7.54516e+07
5  46  8.97089e+07
5  47  1.22343e+08
5  48  2.0444e+08
5  49  1.77252e+08
5  50  9.56749e+07
5  51  7.77316e+07
5  52  6.24796e+07
5  53  9.79229e+07
5  54  1.05436e+08
5  55  6.78734e+07
5  56  5.83168e+07
5  57  8.14641e+07
5  58  7.94242e+07
5  59  4.32654e+07
5  60  3.05555e+07
5  61  4.15288e+07
5  62  4.83744e+07
5  63  2.74819e+07
5  64  3.27914e+07
5  65  3.29894e+07
5  66  5.09506e+07
5  67  3.98918e+07
5  68  4.47943e+07
5  69  4.79059e+07
5  70  6.10779e+07
5  71  7.42091e+07
5  72  5.92747e+07
5  73  6.06006e+07
5  74  6.57113e+07
5  75  3.24628e+07
5  76  1.35115e+07
5  77  5.96611e+07
5  78  9.32323e+07
5  79  6.7723e+07
5  80  7.16696e+07
5  81  3.07167e+07
5  82  1.97976e+07
5  83  5.02074e+07
5  84  966945
5  85  2.29631e+07
5  86  0
5  87  3.23596e+06
5  88  0
5  89  1.48611e+07
5  90  9.8826e+06
5  91  5.27839e+07
5  92  2.07558e+07
5  93  6.05716e+07
5  94  2.40813e+07
5  95  4.64567e+07
5  96  2.93208e+07
5  97  2.54414e+07
5  98  7.48712e+07
5  99  2.4251e+07
5  100  8.52363e+07
6  0  2.61582e+06
6  1  879632
6  2  0
6  3  222339
6  4  2.45002e+06
6  5  0
6  6  2.55779e+06
6  7  2.78284e+06
6  8  2.78983e+07
6  9  8.87264e+06
6  10  850129
6  11  9.05426e+06
6  12  1.87656e+07
6  13  1.47538e+07
6  14  2.63913e+07
6  15  3.84757e+07
6  16  5.3948e+07
6  17  4.63215e+07
6  18  4.18585e+07
6  19  5.06864e+07
6  20  4.27315e+07
6  21  5.16369e+07
6  22  2.71411e+07
6  23  5.43074e+07
6  24  5.42483e+07
6  25  0
6  26  2.36914e+07
6  27  4.56819e+07
6  28  4.07883e+07
6  29  5.38085e+07
6  30  4.32851e+07
6  31  6.83878e+07
6  32  4.63581e+07
6  33  2.58585e+07
6  34  3.91061e+07
6  35  6.04784e+07
6  36  3.90504e+07
6  37  4.13482e+07
6  38  9.46346e+07
6  39  5.47472e+07
6  40  5.64748e+07
6  41  1.35962e+08
6  42  7.00161e+07
6  43  1.24273e+08
6  44  9.15655e+07
6  45  5.31847e+07
6  46  6.6858e+07
6  47  8.27363e+07
6  48  1.22105e+08
6  49  1.2626e+08
6  50  1.19267e+08
6  51  8.39255e+07
6  52  6.25679e+07
6  53  5.98015e+07
6  54  8.03e+07
6  55  7.72311e+07
6  56  4.53701e+07
6  57  1.4197e+08
6  58  1.31028e+08
6  59  7.93519e+07
6  60  6.43195e+07
6  61  3.92768e+07
6  62  5.50816e+07
6  63  5.53628e+07
6  64  6.32686e+07
6  65  7.64675e+07
6  66  4.87132e+07
6  67  5.90951e+07
6  68  5.59487e+07
6  69  4.64009e+07
6  70  4.22275e+07
6  71  6.78967e+07
6  72  3.67143e+07
6  73  6.77849e+07
6  74  6.23815e+07
6  75  3.78642e+07
6  76  3.32966e+07
6  77  3.72428e+07
6  78  1.78227e+07
