row  column  (images_14_017.edf Fe-K*images_14_017.edf Ar-K**(2.3))
4  22  1.66454e+08
4  23  1.4521e+08
4  24  1.40853e+08
4  25  1.25352e+08
4  26  1.04285e+08
4  27  1.13791e+08
4  28  1.00425e+08
4  29  1.03275e+08
4  30  1.10114e+08
4  31  1.1395e+08
4  32  9.49612e+07
4  33  9.21529e+07
4  34  1.10251e+08
4  35  9.49603e+07
4  36  9.22933e+07
4  37  1.10291e+08
4  38  9.20463e+07
4  39  9.50659e+07
4  40  9.83109e+07
4  41  1.93622e+08
4  42  1.45492e+08
4  43  1.54877e+08
4  44  1.28892e+08
4  45  1.36637e+08
4  46  1.47161e+08
4  47  7.97888e+07
4  48  1.72597e+08
4  49  5.49791e+08
4  50  2.98042e+08
4  51  1.91478e+08
4  52  1.39543e+08
4  53  1.41694e+08
4  54  1.63058e+08
4  55  1.273e+08
4  56  1.97386e+08
4  57  2.14577e+08
4  58  1.94737e+08
4  59  1.84753e+08
4  60  1.21922e+08
4  61  9.42902e+07
4  62  1.13139e+08
4  63  7.8519e+07
4  64  6.61236e+07
4  65  8.66185e+07
4  66  9.082e+07
4  67  8.05776e+07
4  68  6.21901e+07
4  69  1.23138e+08
4  70  9.38295e+07
4  71  1.00025e+08
4  72  5.60183e+07
4  73  1.0651e+08
4  74  1.01533e+08
4  75  5.77693e+07
4  76  8.1121e+07
4  77  9.87147e+07
4  78  7.91545e+07
4  79  6.71213e+07
4  80  9.18649e+07
4  81  6.70518e+07
4  82  4.21e+07
4  83  5.61318e+07
4  84  7.31608e+07
4  85  7.12746e+07
4  86  5.35848e+07
4  87  5.53072e+07
4  88  6.21425e+07
4  89  6.38553e+07
4  90  5.83583e+07
4  91  8.82527e+07
4  92  9.59849e+07
4  93  6.75795e+07
4  94  9.11362e+07
4  95  6.32982e+07
4  96  6.20003e+07
4  97  8.09443e+07
4  98  3.25532e+07
4  99  6.20556e+07
4  100  6.59743e+07
5  0  2.03304e+07
5  1  2.52914e+07
5  2  1.03573e+07
5  3  3.77753e+07
5  4  2.61318e+07
5  5  2.18519e+07
5  6  2.95422e+07
5  7  5.0947e+07
5  8  4.37971e+07
5  9  5.58015e+07
5  10  7.04419e+07
5  11  8.1439e+07
5  12  9.64524e+07
5  13  1.17685e+08
5  14  1.46415e+08
5  15  1.54488e+08
5  16  1.60882e+08
5  17  1.3834e+08
5  18  1.78867e+08
5  19  2.72503e+08
5  20  1.4991e+08
5  21  1.41524e+08
5  22  1.45398e+08
5  23  1.53715e+08
5  24  1.46606e+08
5  25  1.15749e+08
5  26  9.61093e+07
5  27  9.41674e+07
5  28  1.00813e+08
5  29  9.25133e+07
5  30  1.11726e+08
5  31  1.28591e+08
5  32  1.123e+08
5  33  1.03364e+08
5  34  7.75067e+07
5  35  8.14467e+07
5  36  8.64746e+07
5  37  9.71803e+07
5  38  9.93953e+07
5  39  1.11301e+08
5  40  1.39967e+08
5  41  2.46901e+08
5  42  1.73515e+08
5  43  1.02337e+08
5  44  1.18397e+08
5  45  1.47619e+08
5  46  1.82247e+08
5  47  1.61904e+08
5  48  2.39449e+08
5  49  4.56326e+08
5  50  2.39797e+08
5  51  1.76579e+08
5  52  1.6389e+08
5  53  1.82826e+08
5  54  1.38671e+08
5  55  2.10939e+08
5  56  2.83325e+08
5  57  2.26663e+08
5  58  1.84836e+08
5  59  1.74965e+08
5  60  1.08489e+08
5  61  8.86586e+07
5  62  1.00631e+08
5  63  7.64905e+07
5  64  8.50577e+07
5  65  8.56002e+07
5  66  5.08445e+07
5  67  9.99089e+07
5  68  9.4894e+07
5  69  9.53253e+07
5  70  1.11054e+08
5  71  1.13429e+08
5  72  1.40063e+08
5  73  1.20721e+08
5  74  7.36625e+07
5  75  8.30011e+07
5  76  9.69384e+07
5  77  6.66566e+07
5  78  4.36596e+07
5  79  8.01734e+07
5  80  6.05347e+07
5  81  8.5972e+07
5  82  7.44951e+07
5  83  8.20578e+07
5  84  7.6065e+07
5  85  8.47075e+07
5  86  4.52471e+07
5  87  5.1002e+07
5  88  6.2604e+07
5  89  6.42645e+07
5  90  7.24813e+07
5  91  3.28597e+07
5  92  9.19794e+07
5  93  5.88838e+07
5  94  5.90939e+07
5  95  7.72173e+07
5  96  8.44947e+07
5  97  8.68883e+07
5  98  6.6676e+07
5  99  7.8362e+07
5  100  7.90704e+07
6  0  2.58978e+07
6  1  2.27692e+07
6  2  2.4256e+07
6  3  3.01857e+07
6  4  2.10208e+07
6  5  4.69226e+07
6  6  3.13964e+07
6  7  6.63737e+07
6  8  3.68273e+07
6  9  6.14481e+07
6  10  9.16232e+07
6  11  5.54891e+07
6  12  1.32626e+08
6  13  1.33806e+08
6  14  1.61144e+08
6  15  1.63353e+08
6  16  1.47429e+08
6  17  1.33181e+08
6  18  1.5834e+08
6  19  2.29731e+08
6  20  1.52852e+08
6  21  1.34158e+08
6  22  1.4295e+08
6  23  1.72108e+08
6  24  1.37972e+08
6  25  1.32206e+08
6  26  9.69703e+07
6  27  9.28166e+07
6  28  1.19333e+08
6  29  9.40179e+07
6  30  9.86181e+07
6  31  8.08253e+07
6  32  9.5822e+07
6  33  8.40628e+07
6  34  8.67024e+07
6  35  8.46429e+07
6  36  8.73006e+07
6  37  1.00048e+08
6  38  1.11121e+08
6  39  1.01773e+08
6  40  1.20223e+08
6  41  2.87314e+08
6  42  2.38206e+08
6  43  1.54456e+08
6  44  9.70502e+07
6  45  1.31536e+08
6  46  1.11436e+08
6  47  1.3046e+08
6  48  1.67897e+08
6  49  2.36283e+08
6  50  3.29668e+08
6  51  2.10644e+08
6  52  1.83046e+08
6  53  1.33568e+08
6  54  1.51623e+08
6  55  1.25628e+08
6  56  2.08694e+08
6  57  2.87355e+08
6  58  2.67715e+08
6  59  1.89736e+08
6  60  1.41191e+08
6  61  1.28202e+08
6  62  7.33513e+07
6  63  8.34726e+07
6  64  8.91289e+07
