row  column  (images_14_017.edf S-K*images_14_017.edf Ar-K**(2.3))
6  30  2.76399e+07
6  31  1.92831e+07
6  32  1.75194e+07
6  33  6.27568e+06
6  34  1.68876e+07
6  35  1.27339e+07
6  36  9.93769e+06
6  37  1.35554e+07
6  38  2.18568e+07
6  39  1.16332e+07
6  40  1.60066e+07
6  41  1.57678e+07
6  42  1.43319e+07
6  43  2.99167e+07
6  44  7.38271e+06
6  45  2.83403e+07
6  46  2.02211e+07
6  47  2.70097e+07
6  48  4.00384e+07
6  49  4.76087e+07
6  50  4.95918e+07
6  51  4.91192e+07
6  52  4.10533e+07
6  53  4.38358e+07
6  54  6.95288e+07
6  55  7.38663e+07
6  56  5.36762e+07
6  57  9.88677e+07
6  58  7.2517e+07
6  59  3.00422e+07
6  60  2.14309e+07
6  61  3.70099e+07
6  62  3.71488e+07
6  63  5.35847e+07
6  64  3.40269e+07
6  65  3.83627e+07
6  66  2.06554e+07
6  67  1.92748e+07
6  68  3.6062e+07
6  69  2.70379e+07
6  70  3.5323e+07
6  71  3.38239e+07
6  72  2.29671e+07
6  73  1.82975e+07
6  74  2.33521e+07
6  75  1.88141e+07
6  76  1.98068e+07
6  77  3.31049e+07
6  78  1.82676e+07
6  79  5.09875e+07
6  80  4.64114e+07
6  81  2.83726e+07
6  82  3.64458e+07
6  83  8.0877e+06
6  84  1.70381e+07
6  85  9.3145e+06
6  86  3.47197e+06
6  87  1.3546e+06
6  88  1.45597e+07
6  89  3.70094e+06
6  90  1.48781e+07
6  91  1.03462e+07
6  92  8.61396e+06
6  93  0
6  94  4.94327e+06
6  95  9.38344e+06
6  96  1.95922e+07
6  97  1.56924e+07
6  98  2.84507e+07
6  99  2.07698e+07
6  100  2.27222e+07
7  0  4.30926e+06
7  1  4.20384e+06
7  2  1.75435e+06
7  3  1.99903e+06
7  4  84811
7  5  2.36177e+06
7  6  2.84782e+06
7  7  7.0566e+06
7  8  1.35998e+06
7  9  1.00776e+07
7  10  1.28182e+07
7  11  2.34948e+07
7  12  1.12817e+07
7  13  1.26598e+07
7  14  1.60235e+07
7  15  1.4693e+07
7  16  3.79036e+07
7  17  2.10891e+07
7  18  2.54892e+07
7  19  1.42418e+07
7  20  6.51547e+06
7  21  2.31887e+07
7  22  2.15663e+07
