row  column  (images_14_017.edf P-K*images_14_017.edf Ar-K**(2.3))
5  22  1.79609e+06
5  23  0
5  24  2.70811e+06
5  25  382178
5  26  3.21826e+06
5  27  0
5  28  0
5  29  9.83722e+06
5  30  0
5  31  5.8596e+06
5  32  1.05532e+06
5  33  0
5  34  2.5866e+06
5  35  4.00315e+06
5  36  296493
5  37  1.83554e+06
5  38  0
5  39  0
5  40  5.78785e+06
5  41  0
5  42  0
5  43  363500
5  44  0
5  45  0
5  46  5.11862e+06
5  47  1.20094e+06
5  48  1.69186e+07
5  49  1.91682e+06
5  50  1.38165e+07
5  51  1.91229e+06
5  52  9.86803e+06
5  53  1.13277e+07
5  54  8.77522e+06
5  55  9.19701e+06
5  56  7.33042e+06
5  57  1.11524e+07
5  58  1.61556e+06
5  59  2.90324e+06
5  60  0
5  61  1.00238e+07
5  62  8.8685e+06
5  63  4.98089e+06
5  64  0
5  65  3.62405e+06
5  66  0
5  67  0
5  68  5.24102e+06
5  69  0
5  70  0
5  71  390744
5  72  1.03448e+07
5  73  0
5  74  1.98192e+06
5  75  0
5  76  0
5  77  1.13193e+07
5  78  2.7607e+06
5  79  1.08732e+06
5  80  1.01266e+06
5  81  3.66662e+06
5  82  1.21638e+06
5  83  62241.3
5  84  0
5  85  1.42476e+06
5  86  1.12398e+06
5  87  0
5  88  0
5  89  0
5  90  2.07015e+06
5  91  3.99359e+06
5  92  1.25109e+06
5  93  1.12624e+06
5  94  0
5  95  4.08376e+06
5  96  0
5  97  0
5  98  4.7314e+06
5  99  0
5  100  0
6  0  0
6  1  0
6  2  0
6  3  480347
6  4  0
6  5  453305
6  6  1.4475e+06
6  7  2.52663e+06
6  8  2.49176e+06
6  9  1.52993e+06
6  10  0
6  11  2.90157e+06
6  12  1.29089e+06
6  13  141069
6  14  1.56553e+06
6  15  0
6  16  1.1847e+07
6  17  4.32359e+06
6  18  4.78164e+06
6  19  3.59426e+06
6  20  790583
6  21  1.87697e+06
6  22  0
6  23  0
6  24  133054
6  25  6.57666e+06
6  26  0
6  27  7.96089e+06
6  28  7.25814e+06
6  29  5.56894e+06
6  30  462771
6  31  8.02988e+06
6  32  0
6  33  370242
6  34  1.97892e+06
6  35  3.60646e+06
6  36  0
6  37  0
6  38  657121
6  39  0
6  40  0
6  41  1.72789e+06
6  42  0
6  43  313252
6  44  6.16223e+06
6  45  1.03846e+06
6  46  1.92496e+06
6  47  0
6  48  5.78165e+06
6  49  9.45506e+06
6  50  6.95519e+06
6  51  1.00658e+07
6  52  2.28808e+06
6  53  4.83974e+06
6  54  3.77199e+06
6  55  0
6  56  5.8183e+06
6  57  2.3808e+07
6  58  2.60589e+07
6  59  574352
6  60  3.37725e+06
6  61  7.68828e+06
6  62  5.77779e+06
6  63  7.59379e+06
6  64  2.70752e+06
6  65  699793
6  66  0
6  67  3.14406e+06
6  68  944985
6  69  0
6  70  6.9743e+06
6  71  845159
6  72  10145.7
6  73  0
6  74  8.71447e+06
6  75  0
6  76  4.00154e+06
6  77  3.58373e+06
6  78  105804
6  79  6.82269e+06
6  80  3.49003e+06
6  81  4.58614e+06
6  82  3.61224e+06
6  83  0
6  84  5.51438e+06
6  85  0
6  86  0
6  87  0
6  88  6.85495e+06
6  89  569526
6  90  0
6  91  0
6  92  0
6  93  0
6  94  0
6  95  0
6  96  2.81101e+06
6  97  0
6  98  755560
6  99  3.7619e+06
6  100  0
7  0  0
7  1  397682
7  2  0
7  3  0
7  4  0
7  5  0
7  6  0
7  7  442540
7  8  248205
7  9  843215
7  10  1.38251e+06
7  11  4.61511e+06
7  12  5.09625e+06
7  13  4.28047e+06
7  14  6.19833e+06
7  15  4.40864e+06
7  16  9.60721e+06
7  17  6.23134e+06
7  18  3.05909e+06
7  19  0
7  20  2.72052e+06
7  21  8.39596e+06
7  22  3.61819e+06
7  23  5.2882e+06
7  24  0
7  25  0
7  26  2.13178e+06
7  27  7.54121e+06
7  28  5.73437e+06
7  29  668755
7  30  0
7  31  1.3717e+06
7  32  0
7  33  4.8396e+06
7  34  0
7  35  1.03624e+07
7  36  768080
7  37  369078
7  38  3.87041e+06
7  39  6.18881e+06
7  40  6.08922e+06
7  41  0
7  42  5.39922e+06
7  43  9.17557e+06
7  44  0
7  45  2.39999e+06
7  46  2.35396e+06
7  47  1.25968e+06
7  48  4.7243e+06
7  49  5.40538e+06
7  50  6.67686e+06
7  51  7.5933e+06
7  52  1.94496e+07
7  53  1.03794e+07
7  54  5.84073e+06
7  55  9.12074e+06
7  56  1.12496e+07
