row  column  (images_14_017.edf Cu-K*images_14_017.edf Ar-K**(2.3))
6  70  1.08445e+07
6  71  1.12468e+07
6  72  0
6  73  2.65097e+07
6  74  707887
6  75  0
6  76  0
6  77  0
6  78  0
6  79  7.66862e+06
6  80  0
6  81  0
6  82  0
6  83  0
6  84  2.6838e+07
6  85  0
6  86  0
6  87  0
6  88  3.69621e+07
6  89  6.95244e+06
6  90  8.23368e+06
6  91  0
6  92  2.85046e+06
6  93  1.95869e+07
6  94  0
6  95  0
6  96  7.0388e+06
6  97  0
6  98  1.65917e+07
6  99  2.59224e+07
6  100  5.15532e+06
7  0  4.33353e+06
7  1  6.55453e+06
7  2  0
7  3  69937.8
7  4  0
7  5  0
7  6  0
7  7  1.1361e+06
7  8  0
7  9  2.79076e+06
7  10  500705
7  11  2.98284e+07
7  12  0
7  13  0
7  14  0
7  15  3.18994e+06
7  16  1.55898e+07
7  17  1.38854e+06
7  18  4.16057e+06
7  19  1.18274e+06
7  20  5.97229e+06
7  21  2.00981e+07
7  22  3.48277e+06
7  23  0
7  24  1.52823e+06
7  25  0
7  26  0
7  27  1.75477e+07
7  28  2.48476e+06
7  29  3.31754e+07
7  30  5.16991e+06
7  31  2.43426e+06
7  32  0
7  33  1.53826e+07
7  34  0
7  35  0
7  36  5.73459e+06
7  37  2.81583e+07
7  38  1.60894e+07
7  39  2.63055e+07
7  40  6.95425e+06
7  41  0
7  42  2.53661e+07
7  43  4.07268e+07
7  44  0
7  45  2.16483e+07
7  46  2.65643e+07
7  47  6.60655e+06
7  48  1.82429e+06
7  49  1.78777e+07
7  50  1.89983e+07
7  51  2.62444e+07
7  52  3.40125e+07
7  53  0
7  54  0
7  55  1.99178e+07
7  56  0
7  57  0
7  58  2.24961e+06
7  59  2.47374e+07
7  60  0
7  61  4.98582e+07
7  62  3.36208e+06
7  63  0
7  64  0
7  65  1.66199e+07
7  66  0
7  67  0
7  68  0
7  69  0
7  70  0
7  71  0
7  72  0
7  73  8.72578e+06
7  74  0
7  75  8.55354e+06
7  76  0
7  77  7.38388e+06
7  78  0
7  79  0
7  80  2.04149e+07
7  81  0
7  82  0
7  83  507841
7  84  0
7  85  0
7  86  3.7592e+06
7  87  0
7  88  1.51343e+07
7  89  0
7  90  1.48806e+06
7  91  2.07114e+07
7  92  0
7  93  2.35136e+07
7  94  4.80285e+06
7  95  7.44945e+06
7  96  2.65209e+06
7  97  9.33489e+06
7  98  9.22916e+06
7  99  6.39748e+06
7  100  6.40491e+07
8  0  0
8  1  0
8  2  0
8  3  0
8  4  9.43776e+06
8  5  3.02833e+06
8  6  5.63021e+06
8  7  0
8  8  0
8  9  2.93907e+06
8  10  8.6751e+06
8  11  7.35087e+06
8  12  2.84576e+06
8  13  0
8  14  0
8  15  1.42943e+06
8  16  1.34059e+07
8  17  5.007e+06
8  18  1.04182e+07
8  19  2.97304e+07
8  20  6.84113e+06
8  21  2.04249e+07
8  22  0
8  23  0
8  24  0
8  25  2.29273e+07
8  26  0
8  27  0
8  28  0
8  29  2.0169e+07
8  30  1.16809e+07
8  31  1.05522e+06
8  32  2.54749e+07
8  33  0
8  34  0
8  35  0
8  36  6.20688e+06
8  37  9.54034e+06
8  38  2.21577e+07
8  39  0
8  40  0
8  41  440730
8  42  0
8  43  4.56601e+07
8  44  0
8  45  0
8  46  1.25058e+07
8  47  222057
8  48  2.8815e+06
8  49  175275
8  50  9.01238e+06
8  51  3.15218e+07
8  52  6.93283e+06
8  53  1.03136e+07
8  54  0
8  55  0
8  56  1.23315e+07
8  57  632117
8  58  322722
8  59  0
8  60  1.53798e+07
8  61  4.85705e+06
8  62  4.94175e+06
8  63  1.81432e+07
8  64  3.03649e+06
8  65  0
8  66  0
8  67  0
8  68  0
8  69  0
8  70  0
8  71  0
8  72  1.13835e+07
8  73  0
8  74  0
8  75  0
8  76  3.41557e+07
8  77  1.01702e+07
8  78  0
8  79  0
8  80  9.39306e+06
8  81  0
8  82  0
8  83  4.52885e+06
8  84  0
8  85  1.18108e+06
8  86  0
8  87  2.44981e+07
8  88  1.78046e+07
8  89  0
8  90  0
8  91  3.61869e+07
8  92  364808
8  93  0
8  94  0
8  95  0
8  96  0
8  97  0
8  98  0
8  99  1.66521e+07
8  100  1.02764e+07
9  0  0
9  1  0
9  2  0
9  3  0
9  4  2.89778e+06
9  5  0
9  6  0
9  7  0
9  8  6.70867e+06
9  9  3.97169e+06
9  10  0
9  11  6.98777e+06
9  12  1.8782e+07
9  13  2.63793e+06
9  14  6.48127e+06
9  15  0
9  16  3.97413e+06
9  17  9.40543e+06
9  18  0
9  19  0
9  20  5.1184e+06
9  21  1.70035e+07
9  22  6.74169e+06
9  23  1.67411e+06
9  24  0
9  25  0
9  26  0
9  27  0
9  28  1.6746e+07
9  29  0
9  30  1.79618e+07
9  31  0
9  32  0
9  33  0
9  34  2.01849e+07
9  35  0
9  36  9.27444e+06
9  37  0
9  38  0
9  39  200166
9  40  0
9  41  2.57353e+07
9  42  2.59694e+06
9  43  3.9772e+06
9  44  0
9  45  0
9  46  0
9  47  0
9  48  4.88907e+06
9  49  1.78115e+07
9  50  2.13959e+07
9  51  1.73251e+07
9  52  8.22739e+06
9  53  0
9  54  0
9  55  0
9  56  5.67371e+06
9  57  0
9  58  3.09348e+07
9  59  2.3508e+07
9  60  5.40036e+06
9  61  7.6246e+06
9  62  1.31169e+07
9  63  0
9  64  0
9  65  3.40184e+07
9  66  2.63806e+07
9  67  0
9  68  1.76866e+07
9  69  0
9  70  0
9  71  1.46805e+07
9  72  9.22321e+06
9  73  1.47495e+07
9  74  0
9  75  2.4011e+06
9  76  0
9  77  0
9  78  7.21757e+06
9  79  1.47943e+07
9  80  7.95967e+06
9  81  0
9  82  5.11828e+06
9  83  4.24669e+07
9  84  1.04034e+07
9  85  4.48125e+06
9  86  0
9  87  0
9  88  0
9  89  2.92004e+07
9  90  0
9  91  6.72245e+06
