row  column  (images_39.edf Mn-K*images_39.edf Ar-K**2.3)
1  12  1.3379e+06
1  13  6.49887e+06
1  14  6.64115e+06
1  15  5.80764e+06
1  16  2.84356e+06
1  17  2.86477e+06
1  18  5.87011e+06
1  19  5.23901e+06
1  20  6.92025e+06
1  21  2.20414e+06
1  22  2.36047e+06
1  23  2.51108e+06
1  24  3.55209e+06
1  25  0
1  26  4.05002e+06
1  27  2.53087e+06
1  28  5.84023e+06
1  29  5.0018e+06
1  30  1.54524e+06
1  31  1.94214e+06
1  32  981689
1  33  2.4976e+06
1  34  0
1  35  2.42814e+06
1  36  6.34673e+06
1  37  5.87551e+06
1  38  4.87433e+06
1  39  3.75717e+06
1  40  5.481e+06
1  41  5.8031e+06
1  42  1.52024e+06
1  43  4.34753e+06
1  44  3.91688e+06
1  45  6.41286e+06
1  46  4.83733e+06
1  47  5.27885e+06
1  48  6.07963e+06
1  49  4.12213e+06
1  50  1.12543e+06
1  51  545427
1  52  6.31445e+06
1  53  6.65067e+06
1  54  3.30629e+06
1  55  2.97508e+06
1  56  4.56163e+06
1  57  4.75935e+06
1  58  3.88105e+06
1  59  3.65234e+06
1  60  5.60318e+06
1  61  3.94997e+06
1  62  5.1246e+06
1  63  2.77426e+06
1  64  2.53695e+06
1  65  6.4601e+06
1  66  6.15613e+06
1  67  4.04172e+06
1  68  9.47498e+06
1  69  5.19406e+06
1  70  1.18889e+06
1  71  7.15189e+06
1  72  6.86793e+06
1  73  8.5863e+06
1  74  3.31704e+06
1  75  5.81211e+06
1  76  3.65943e+06
1  77  2.73805e+06
1  78  6.15493e+06
1  79  7.77324e+06
1  80  2.5927e+06
1  81  8.41236e+06
1  82  8.09328e+06
1  83  3.89976e+06
1  84  4.20701e+06
1  85  3.35828e+06
1  86  9.40361e+06
1  87  5.71855e+06
1  88  7.52535e+06
1  89  6.61057e+06
1  90  5.10671e+06
1  91  6.35334e+06
1  92  7.96335e+06
1  93  4.28018e+06
1  94  2.36803e+06
1  95  8.68125e+06
1  96  4.95593e+06
1  97  5.47163e+06
1  98  9.88576e+06
1  99  1.74219e+06
1  100  4.82678e+06
2  0  2.63164e+06
2  1  1.85819e+06
2  2  1.74865e+06
2  3  2.29928e+06
2  4  2.92665e+06
2  5  0
2  6  0
2  7  0
2  8  2.38796e+06
2  9  1.92807e+06
2  10  2.95636e+06
2  11  3.09745e+06
2  12  5.74244e+06
2  13  4.77907e+06
2  14  3.1502e+06
2  15  1.66022e+06
2  16  5.04776e+06
2  17  3.69924e+06
2  18  6.89233e+06
2  19  5.1742e+06
2  20  3.52938e+06
2  21  5.45854e+06
2  22  3.02288e+06
2  23  4.63718e+06
2  24  2.77908e+06
2  25  361128
2  26  3.93831e+06
2  27  6.30219e+06
2  28  3.92845e+06
2  29  3.62911e+06
2  30  3.42109e+06
2  31  2.06605e+06
2  32  2.22105e+06
2  33  3.4275e+06
2  34  3.90654e+06
2  35  937596
2  36  4.97012e+06
2  37  4.97e+06
2  38  6.59216e+06
2  39  6.20034e+06
2  40  7.75917e+06
2  41  4.21806e+06
2  42  6.82685e+06
2  43  6.4797e+06
2  44  4.22624e+06
2  45  3.89225e+06
2  46  5.00487e+06
2  47  1.88232e+06
2  48  2.62348e+06
2  49  4.86146e+06
2  50  4.58788e+06
2  51  1.18916e+06
2  52  2.32809e+06
2  53  7.9969e+06
2  54  1.86228e+06
2  55  4.16094e+06
2  56  3.82296e+06
2  57  5.21597e+06
2  58  6.10967e+06
2  59  4.87161e+06
2  60  8.99034e+06
2  61  6.99674e+06
2  62  1.96529e+06
2  63  2.72274e+06
2  64  7.06733e+06
2  65  9.44977e+06
2  66  6.2037e+06
2  67  6.17532e+06
2  68  6.37718e+06
2  69  6.79952e+06
2  70  5.81655e+06
2  71  3.74759e+06
2  72  4.35057e+06
2  73  3.69656e+06
2  74  3.15559e+06
2  75  7.77008e+06
2  76  6.69392e+06
2  77  4.63673e+06
2  78  7.50312e+06
2  79  7.26767e+06
2  80  6.0856e+06
2  81  8.05087e+06
2  82  5.51352e+06
2  83  5.54446e+06
2  84  6.13619e+06
2  85  6.21749e+06
2  86  1.21967e+07
2  87  3.79231e+06
2  88  5.18182e+06
2  89  8.80316e+06
2  90  7.93642e+06
2  91  4.03918e+06
2  92  8.08005e+06
2  93  6.01762e+06
2  94  7.93272e+06
2  95  4.99836e+06
2  96  4.77277e+06
2  97  3.95624e+06
2  98  6.0382e+06
2  99  3.90218e+06
2  100  7.11997e+06
3  0  1.41354e+06
3  1  1.85147e+06
3  2  3.10352e+06
3  3  1.8055e+06
3  4  4.13184e+06
