row  column  (images_11.edf Ca_K*images_11.edf Ar_K**2.3)
17  21  3.18751e+09
17  22  3.91176e+09
17  23  4.13685e+09
17  24  4.30743e+09
17  25  4.55704e+09
17  26  4.90676e+09
17  27  5.24369e+09
17  28  5.82523e+09
17  29  5.88783e+09
17  30  6.19548e+09
17  31  5.78096e+09
17  32  5.00904e+09
17  33  4.26259e+09
17  34  3.78728e+09
17  35  3.30854e+09
17  36  3.1133e+09
17  37  3.13858e+09
17  38  2.86921e+09
17  39  2.87679e+09
17  40  3.08255e+09
17  41  2.55772e+09
17  42  3.08875e+09
17  43  3.87831e+09
17  44  3.71393e+09
17  45  3.68892e+09
17  46  3.08738e+09
17  47  2.75838e+09
17  48  2.18407e+09
17  49  2.52223e+09
17  50  2.60747e+09
18  0  3.02357e+08
18  1  5.61315e+08
18  2  3.60699e+08
18  3  5.07005e+08
18  4  6.98703e+08
18  5  6.26117e+08
18  6  7.76387e+08
18  7  1.32711e+09
18  8  1.32271e+09
18  9  1.53153e+09
18  10  1.85499e+09
18  11  2.21302e+09
18  12  3.00035e+09
18  13  3.81289e+09
18  14  4.14868e+09
18  15  4.06571e+09
18  16  4.17517e+09
18  17  3.53756e+09
18  18  3.26425e+09
18  19  3.30918e+09
18  20  2.91851e+09
18  21  3.27357e+09
18  22  3.51415e+09
18  23  4.31305e+09
18  24  4.20154e+09
18  25  4.65071e+09
18  26  5.52003e+09
18  27  5.5057e+09
18  28  5.52565e+09
18  29  6.61303e+09
18  30  5.99858e+09
18  31  6.29646e+09
18  32  5.7328e+09
18  33  5.06023e+09
18  34  3.74759e+09
18  35  3.84847e+09
18  36  3.46518e+09
18  37  3.2969e+09
18  38  3.34823e+09
18  39  2.80179e+09
18  40  3.0927e+09
18  41  2.5619e+09
18  42  2.44223e+09
18  43  3.6827e+09
18  44  3.68908e+09
18  45  3.58328e+09
18  46  3.32399e+09
18  47  2.8851e+09
18  48  2.66309e+09
18  49  2.30546e+09
18  50  2.53202e+09
19  0  4.21378e+08
19  1  5.34877e+08
19  2  4.03618e+08
19  3  4.22411e+08
19  4  4.92711e+08
19  5  5.96146e+08
19  6  7.10034e+08
19  7  9.70155e+08
19  8  1.33599e+09
19  9  1.40928e+09
19  10  1.64972e+09
19  11  1.97444e+09
19  12  2.35181e+09
19  13  3.4627e+09
19  14  4.60907e+09
19  15  4.33177e+09
19  16  4.42634e+09
19  17  4.24296e+09
19  18  3.54493e+09
19  19  3.02258e+09
19  20  2.81303e+09
19  21  2.92197e+09
19  22  3.17138e+09
19  23  3.78379e+09
19  24  4.40284e+09
19  25  4.66099e+09
19  26  4.88657e+09
19  27  5.21952e+09
19  28  5.52137e+09
19  29  6.34802e+09
19  30  6.1959e+09
19  31  5.97886e+09
19  32  6.52722e+09
19  33  5.48786e+09
19  34  3.82829e+09
19  35  3.90579e+09
19  36  3.95482e+09
19  37  4.00024e+09
19  38  3.73657e+09
19  39  3.16466e+09
19  40  2.8218e+09
19  41  2.923e+09
19  42  2.82464e+09
19  43  2.70308e+09
19  44  3.77825e+09
19  45  3.02297e+09
19  46  2.95002e+09
19  47  2.96552e+09
19  48  2.56184e+09
19  49  2.19883e+09
19  50  2.57683e+09
20  0  3.54614e+08
20  1  4.44649e+08
20  2  3.79337e+08
20  3  4.88562e+08
20  4  5.13318e+08
20  5  5.51767e+08
20  6  6.10869e+08
20  7  1.02615e+09
20  8  1.33666e+09
20  9  1.67104e+09
20  10  1.80859e+09
20  11  2.22446e+09
20  12  2.72074e+09
20  13  4.82549e+09
20  14  4.1741e+09
20  15  4.0652e+09
20  16  4.15072e+09
20  17  3.40458e+09
20  18  2.87785e+09
20  19  3.07535e+09
20  20  2.72225e+09
20  21  3.19496e+09
20  22  4.035e+09
20  23  4.34124e+09
20  24  4.64307e+09
20  25  4.99434e+09
20  26  5.52064e+09
20  27  6.11935e+09
20  28  6.83941e+09
20  29  6.52727e+09
20  30  6.42614e+09
20  31  6.03043e+09
20  32  5.03905e+09
20  33  4.22434e+09
20  34  4.02793e+09
20  35  3.86985e+09
20  36  3.89672e+09
20  37  3.56359e+09
20  38  3.11145e+09
20  39  3.07455e+09
20  40  3.07092e+09
20  41  2.73822e+09
20  42  2.76038e+09
20  43  3.28207e+09
20  44  2.87138e+09
20  45  2.59451e+09
20  46  2.81535e+09
20  47  2.55799e+09
20  48  2.43173e+09
20  49  2.64417e+09
20  50  2.67102e+09
21  0  4.05005e+08
21  1  4.03181e+08
21  2  4.31325e+08
21  3  4.07373e+08
21  4  5.58836e+08
21  5  5.18673e+08
21  6  6.37308e+08
21  7  8.64605e+08
21  8  1.12194e+09
