row  column  (images_11.edf Fe_K*images_11.edf Ar_K**2.3)
3  49  2.90001e+08
3  50  2.94432e+08
4  0  0
4  1  4.92422e+07
4  2  1.50963e+08
4  3  2.18821e+08
4  4  1.30997e+08
4  5  1.86679e+08
4  6  2.46569e+08
4  7  2.99729e+08
4  8  4.21115e+08
4  9  3.60082e+08
4  10  4.40368e+08
4  11  3.8525e+08
4  12  3.6281e+08
4  13  3.10178e+08
4  14  3.65986e+08
4  15  4.19356e+08
4  16  3.98294e+08
4  17  4.46821e+08
4  18  3.19629e+08
4  19  2.07539e+08
4  20  2.93461e+08
4  21  3.43084e+08
4  22  3.71447e+08
4  23  4.03422e+08
4  24  4.18744e+08
4  25  4.06005e+08
4  26  4.6542e+08
4  27  5.43187e+08
4  28  5.99868e+08
4  29  6.46753e+08
4  30  3.78086e+08
4  31  4.54503e+08
4  32  4.51868e+08
4  33  4.32741e+08
4  34  3.78066e+08
4  35  4.97301e+08
4  36  4.4661e+08
4  37  5.19516e+08
4  38  4.09895e+08
4  39  3.69103e+08
4  40  3.77119e+08
4  41  3.80232e+08
4  42  4.01658e+08
4  43  3.71422e+08
4  44  3.8545e+08
4  45  4.01785e+08
4  46  3.18841e+08
4  47  3.15365e+08
4  48  3.6193e+08
4  49  3.11941e+08
4  50  3.50567e+08
5  0  0
5  1  0
5  2  1.56865e+08
5  3  1.71105e+08
5  4  2.28845e+08
5  5  1.73095e+08
5  6  2.74592e+08
5  7  2.98843e+08
5  8  3.24797e+08
5  9  2.97821e+08
5  10  4.59458e+08
5  11  3.83479e+08
5  12  3.29403e+08
5  13  3.87822e+08
5  14  4.89369e+08
5  15  4.36596e+08
5  16  3.43603e+08
5  17  4.74183e+08
5  18  3.24858e+08
5  19  2.96162e+08
5  20  3.26568e+08
5  21  3.11009e+08
5  22  3.14612e+08
5  23  3.28101e+08
5  24  3.22551e+08
5  25  4.6346e+08
5  26  5.57399e+08
5  27  5.98141e+08
5  28  7.30995e+08
5  29  4.50309e+08
5  30  5.0576e+08
5  31  4.27839e+08
5  32  3.76066e+08
5  33  4.20903e+08
5  34  4.71976e+08
5  35  4.219e+08
5  36  4.00959e+08
5  37  3.39618e+08
5  38  3.18738e+08
5  39  3.46696e+08
5  40  3.42571e+08
5  41  3.63656e+08
5  42  3.09223e+08
5  43  3.57673e+08
5  44  2.87634e+08
5  45  2.97216e+08
5  46  2.70002e+08
5  47  3.17048e+08
5  48  2.79133e+08
5  49  2.76167e+08
5  50  2.80343e+08
6  0  0
6  1  0
6  2  6.06046e+07
6  3  1.67426e+08
6  4  1.77471e+08
6  5  2.53735e+08
6  6  2.6207e+08
6  7  2.80828e+08
6  8  2.90667e+08
6  9  3.7956e+08
6  10  3.66598e+08
6  11  3.74066e+08
6  12  4.0143e+08
6  13  3.77107e+08
6  14  3.34102e+08
6  15  4.67689e+08
6  16  3.12291e+08
6  17  4.27669e+08
6  18  4.26665e+08
6  19  3.63476e+08
6  20  4.02355e+08
6  21  2.86462e+08
6  22  3.25626e+08
6  23  3.28136e+08
6  24  3.95649e+08
6  25  4.61216e+08
6  26  5.41592e+08
6  27  4.45662e+08
6  28  6.03101e+08
6  29  5.00653e+08
6  30  3.8007e+08
6  31  4.17227e+08
6  32  3.7045e+08
6  33  4.25637e+08
6  34  4.68321e+08
