row  column  (images_10_7103.edf Fe_K*images_10_7103.edf Ar_K**2.3)
7  47  5.61542e+08
7  48  5.02142e+08
7  49  4.64015e+08
7  50  4.89747e+08
8  0  3.16368e+08
8  1  3.01945e+08
8  2  2.81097e+08
8  3  2.78968e+08
8  4  2.43264e+08
8  5  2.80878e+08
8  6  2.23296e+08
8  7  1.92639e+08
8  8  2.55507e+08
8  9  3.01845e+08
8  10  3.42744e+08
8  11  2.87433e+08
8  12  2.53501e+08
8  13  2.8071e+08
8  14  2.8716e+08
8  15  2.37958e+08
8  16  3.19864e+08
8  17  2.61947e+08
8  18  2.70271e+08
8  19  3.53999e+08
8  20  4.46754e+08
8  21  3.61068e+08
8  22  3.86303e+08
8  23  3.4452e+08
8  24  4.70664e+08
8  25  2.81566e+08
8  26  3.55187e+08
8  27  4.22356e+08
8  28  4.40884e+08
8  29  4.00245e+08
8  30  4.6501e+08
8  31  4.92002e+08
8  32  4.39308e+08
8  33  4.77374e+08
8  34  5.55162e+08
8  35  3.38577e+08
8  36  4.54018e+08
8  37  4.31708e+08
8  38  4.8372e+08
8  39  4.53607e+08
8  40  5.41856e+08
8  41  4.81969e+08
8  42  5.97898e+08
8  43  5.80409e+08
8  44  5.92258e+08
8  45  6.40067e+08
8  46  5.9774e+08
8  47  4.68358e+08
8  48  4.03779e+08
8  49  4.6553e+08
8  50  4.24557e+08
9  0  4.47179e+08
9  1  2.82799e+08
9  2  2.79622e+08
9  3  2.91165e+08
9  4  3.16621e+08
9  5  2.60364e+08
9  6  2.86856e+08
9  7  2.59195e+08
9  8  1.90057e+08
9  9  2.9546e+08
9  10  3.36522e+08
9  11  3.32624e+08
9  12  2.22363e+08
9  13  3.13935e+08
9  14  3.16534e+08
9  15  2.95322e+08
9  16  3.44339e+08
9  17  2.24334e+08
9  18  3.28228e+08
9  19  3.27292e+08
9  20  4.86212e+08
9  21  3.58481e+08
9  22  3.39398e+08
9  23  3.3906e+08
9  24  3.59463e+08
9  25  3.70059e+08
9  26  4.59483e+08
9  27  3.39203e+08
9  28  4.78453e+08
9  29  4.2748e+08
9  30  4.22038e+08
9  31  5.5221e+08
9  32  4.36243e+08
9  33  4.67677e+08
9  34  5.43548e+08
9  35  4.73026e+08
9  36  4.74683e+08
9  37  4.72894e+08
9  38  4.43657e+08
9  39  4.86959e+08
9  40  5.72126e+08
9  41  5.18781e+08
9  42  6.05574e+08
9  43  4.97528e+08
9  44  5.5924e+08
9  45  5.1544e+08
9  46  5.00808e+08
9  47  5.32779e+08
9  48  5.03737e+08
9  49  4.19691e+08
9  50  4.96447e+08
10  0  4.1457e+08
10  1  3.30455e+08
10  2  3.14911e+08
10  3  3.15189e+08
10  4  3.05858e+08
10  5  2.41175e+08
10  6  3.12539e+08
10  7  2.95262e+08
10  8  2.56742e+08
10  9  3.19019e+08
10  10  3.45528e+08
10  11  3.36036e+08
10  12  2.79523e+08
10  13  3.54272e+08
10  14  3.12144e+08
10  15  2.62542e+08
10  16  3.25026e+08
10  17  3.33297e+08
10  18  3.07007e+08
10  19  3.60518e+08
10  20  4.71931e+08
10  21  4.28747e+08
10  22  3.64864e+08
10  23  3.72426e+08
10  24  3.60104e+08
10  25  3.4017e+08
10  26  4.401e+08
10  27  3.60035e+08
10  28  4.25186e+08
10  29  3.43369e+08
10  30  4.35541e+08
10  31  3.95161e+08
10  32  4.92006e+08
10  33  5.18553e+08
10  34  5.43666e+08
10  35  5.04315e+08
10  36  4.60235e+08
10  37  5.24381e+08
10  38  4.44438e+08
10  39  3.72743e+08
10  40  3.77724e+08
10  41  4.26101e+08
10  42  5.64618e+08
10  43  6.78927e+08
10  44  5.97384e+08
10  45  5.78233e+08
10  46  5.9232e+08
10  47  5.99682e+08
10  48  4.34555e+08
10  49  4.27212e+08
10  50  4.31941e+08
11  0  3.86323e+08
11  1  3.36498e+08
11  2  2.80723e+08
11  3  3.06731e+08
11  4  2.59954e+08
11  5  2.24075e+08
11  6  2.3359e+08
11  7  2.45797e+08
11  8  2.45214e+08
11  9  3.0735e+08
11  10  3.40322e+08
11  11  2.91291e+08
11  12  2.81294e+08
11  13  3.20364e+08
11  14  2.18646e+08
11  15  2.52651e+08
11  16  3.21082e+08
11  17  3.18786e+08
11  18  3.15342e+08
11  19  4.04168e+08
11  20  4.76849e+08
11  21  3.83931e+08
11  22  3.66343e+08
11  23  2.95826e+08
11  24  3.45205e+08
11  25  3.08019e+08
11  26  4.15007e+08
11  27  4.22595e+08
