row  column  (images_10_7103.edf Ca_K*images_10_7103.edf Ar_K**2.3)
7  10  7.31912e+09
7  11  8.56444e+09
7  12  7.53409e+09
7  13  7.76665e+09
7  14  8.08282e+09
7  15  8.13366e+09
7  16  7.98947e+09
7  17  6.4486e+09
7  18  6.86156e+09
7  19  8.08206e+09
7  20  7.86639e+09
7  21  7.15136e+09
7  22  7.36161e+09
7  23  8.44012e+09
7  24  8.58684e+09
7  25  5.94692e+09
7  26  5.7011e+09
7  27  5.85609e+09
7  28  6.64885e+09
7  29  6.19242e+09
7  30  6.01676e+09
7  31  6.42834e+09
7  32  6.28747e+09
7  33  5.20357e+09
7  34  5.85053e+09
7  35  5.67406e+09
7  36  5.94949e+09
7  37  6.17183e+09
7  38  5.29677e+09
7  39  5.31572e+09
7  40  5.63534e+09
7  41  5.42159e+09
7  42  7.1734e+09
7  43  6.26865e+09
7  44  6.016e+09
7  45  5.86106e+09
7  46  6.53217e+09
7  47  5.67031e+09
7  48  5.64596e+09
7  49  5.38893e+09
7  50  5.81283e+09
8  0  7.28609e+09
8  1  7.66883e+09
8  2  6.72636e+09
8  3  7.96371e+09
8  4  7.08478e+09
8  5  8.32367e+09
8  6  6.94067e+09
8  7  6.63278e+09
8  8  6.18263e+09
8  9  7.80455e+09
8  10  7.68454e+09
8  11  8.14578e+09
8  12  8.17835e+09
8  13  8.15083e+09
8  14  8.04894e+09
8  15  7.66564e+09
8  16  9.15666e+09
8  17  6.52018e+09
8  18  6.14705e+09
8  19  7.82501e+09
8  20  8.13591e+09
8  21  7.30315e+09
8  22  7.17546e+09
8  23  8.07827e+09
8  24  7.69425e+09
8  25  5.67735e+09
8  26  5.52415e+09
8  27  5.85678e+09
8  28  6.37015e+09
8  29  5.94137e+09
8  30  5.82348e+09
8  31  6.4137e+09
8  32  6.25004e+09
8  33  5.97653e+09
8  34  5.9815e+09
8  35  5.47075e+09
8  36  5.5261e+09
8  37  5.00174e+09
8  38  5.00367e+09
8  39  5.32829e+09
8  40  5.85448e+09
8  41  5.74831e+09
8  42  7.17609e+09
8  43  6.78994e+09
8  44  6.5926e+09
8  45  5.65563e+09
8  46  6.16438e+09
8  47  5.91944e+09
8  48  5.26974e+09
8  49  5.76294e+09
8  50  5.37192e+09
9  0  7.49737e+09
9  1  7.84194e+09
9  2  6.583e+09
9  3  7.64799e+09
9  4  6.49697e+09
9  5  7.98208e+09
9  6  7.05306e+09
9  7  6.15806e+09
9  8  6.68745e+09
9  9  7.47686e+09
9  10  7.88408e+09
9  11  7.89967e+09
9  12  7.33294e+09
9  13  8.10463e+09
9  14  7.75266e+09
9  15  7.90358e+09
9  16  8.05485e+09
9  17  6.09948e+09
9  18  6.5773e+09
9  19  7.89909e+09
9  20  7.56487e+09
9  21  6.60483e+09
9  22  6.83936e+09
9  23  6.45925e+09
9  24  7.32151e+09
9  25  5.29857e+09
9  26  5.32903e+09
9  27  5.50685e+09
9  28  6.33444e+09
9  29  5.39775e+09
9  30  5.65858e+09
9  31  6.36353e+09
9  32  6.30197e+09
9  33  5.79071e+09
9  34  5.87076e+09
9  35  5.72493e+09
9  36  5.89104e+09
9  37  5.46262e+09
9  38  5.18801e+09
9  39  5.49774e+09
9  40  5.70838e+09
9  41  6.24889e+09
9  42  7.47377e+09
9  43  6.55691e+09
9  44  6.16754e+09
9  45  4.94153e+09
9  46  6.09938e+09
9  47  6.07628e+09
9  48  5.23292e+09
9  49  5.35832e+09
9  50  5.01746e+09
10  0  7.51605e+09
10  1  6.44206e+09
10  2  6.61107e+09
10  3  7.24605e+09
10  4  6.53906e+09
10  5  7.19178e+09
10  6  6.66369e+09
10  7  5.63495e+09
10  8  6.08699e+09
10  9  7.79985e+09
10  10  8.23426e+09
10  11  7.52589e+09
10  12  7.53631e+09
10  13  7.97847e+09
10  14  7.5222e+09
10  15  7.64914e+09
10  16  8.00135e+09
10  17  6.47209e+09
10  18  6.77988e+09
10  19  7.48707e+09
10  20  7.40507e+09
10  21  7.28125e+09
10  22  6.3758e+09
10  23  6.36433e+09
10  24  6.4266e+09
10  25  5.33143e+09
10  26  5.67116e+09
10  27  5.85613e+09
10  28  6.42835e+09
10  29  5.89361e+09
10  30  5.80611e+09
10  31  6.30361e+09
10  32  5.78443e+09
10  33  5.74841e+09
10  34  5.9384e+09
10  35  6.13292e+09
10  36  6.12991e+09
10  37  5.16032e+09
10  38  5.3748e+09
10  39  5.6688e+09
10  40  5.61614e+09
10  41  6.05483e+09
10  42  7.50494e+09
10  43  6.86384e+09
10  44  6.53358e+09
10  45  4.95748e+09
10  46  6.06671e+09
10  47  5.95004e+09
10  48  5.40191e+09
10  49  5.44433e+09
10  50  5.17939e+09
11  0  7.72967e+09
11  1  6.91226e+09
11  2  6.51792e+09
11  3  7.25563e+09
11  4  6.7605e+09
11  5  7.36506e+09
11  6  6.34834e+09
11  7  5.57884e+09
11  8  6.24926e+09
11  9  7.4827e+09
11  10  7.70077e+09
11  11  7.41145e+09
11  12  7.78814e+09
11  13  7.94157e+09
11  14  6.79374e+09
11  15  7.64804e+09
11  16  8.2153e+09
11  17  6.15538e+09
11  18  7.23679e+09
11  19  7.46394e+09
11  20  6.53545e+09
11  21  6.77205e+09
11  22  6.18216e+09
11  23  6.57687e+09
11  24  6.67351e+09
11  25  5.29366e+09
11  26  6.18604e+09
11  27  6.21295e+09
11  28  6.7472e+09
11  29  5.62086e+09
11  30  5.84064e+09
11  31  6.65884e+09
11  32  6.00349e+09
11  33  5.9419e+09
11  34  6.46518e+09
11  35  6.35593e+09
11  36  5.67758e+09
11  37  5.48758e+09
11  38  4.97238e+09
11  39  5.64285e+09
11  40  5.13125e+09
11  41  6.73496e+09
11  42  7.91408e+09
11  43  7.01024e+09
11  44  5.61193e+09
11  45  4.59594e+09
11  46  5.73683e+09
11  47  6.15314e+09
11  48  5.85062e+09
11  49  5.48235e+09
11  50  5.25881e+09
12  0  7.43889e+09
12  1  7.13708e+09
