row  column  (images_10_7103.edf Cu_K*images_10_7103.edf Ar_K**2.3)
13  41  7.24641e+06
13  42  0
13  43  2.03768e+07
13  44  0
13  45  0
13  46  0
13  47  0
13  48  6.69733e+07
13  49  0
13  50  2.06751e+07
14  0  3.34485e+07
14  1  4.65532e+07
14  2  0
14  3  4.56813e+07
14  4  0
14  5  2.25215e+07
14  6  1.04755e+07
14  7  0
14  8  5.48106e+07
14  9  0
14  10  8.81976e+06
14  11  9.62332e+06
14  12  7.30908e+07
14  13  0
14  14  4.49009e+07
14  15  0
14  16  0
14  17  0
14  18  0
14  19  2.68601e+07
14  20  1.75343e+07
14  21  0
14  22  0
14  23  1.07066e+08
14  24  5.05648e+07
14  25  0
14  26  1.11048e+07
14  27  0
14  28  2.07723e+07
14  29  0
14  30  0
14  31  7.07873e+07
14  32  0
14  33  4.79659e+06
14  34  0
14  35  0
14  36  0
14  37  0
14  38  7.7018e+07
14  39  0
14  40  0
14  41  2.0377e+07
14  42  4.70335e+07
14  43  0
14  44  0
14  45  0
14  46  0
14  47  2.99668e+07
14  48  0
14  49  5.49603e+07
14  50  0
15  0  3.29114e+07
15  1  0
15  2  5.55312e+06
15  3  9.33059e+06
15  4  0
15  5  6.16401e+06
15  6  6.16277e+07
15  7  2.00667e+07
15  8  0
15  9  0
15  10  0
15  11  0
15  12  0
15  13  1.03298e+08
15  14  0
15  15  0
15  16  0
15  17  0
15  18  3.07029e+07
15  19  0
15  20  2.56287e+07
15  21  3.39282e+07
15  22  7.81312e+07
15  23  2.75542e+07
15  24  0
15  25  1.43099e+07
15  26  1.64619e+07
15  27  0
15  28  1.37005e+07
15  29  0
15  30  0
15  31  1.05056e+07
15  32  0
15  33  5.08124e+07
15  34  0
15  35  0
15  36  2.87051e+06
15  37  0
15  38  0
15  39  1.72491e+06
15  40  5.34348e+07
15  41  0
15  42  9.04065e+06
15  43  7.46139e+06
15  44  0
15  45  0
15  46  0
15  47  2.09722e+07
15  48  0
15  49  0
15  50  0
16  0  0
16  1  1.65391e+07
16  2  0
16  3  1.85326e+07
16  4  4.86438e+07
16  5  5.97333e+07
16  6  4.69026e+07
16  7  0
16  8  0
16  9  0
16  10  0
16  11  0
16  12  0
16  13  0
16  14  4.3853e+07
16  15  9.22959e+06
16  16  1.11155e+07
16  17  0
16  18  0
16  19  8.04181e+07
16  20  0
16  21  8.47444e+07
16  22  2.52257e+07
16  23  2.00553e+07
16  24  0
16  25  0
16  26  5.12243e+07
16  27  0
16  28  1.70111e+07
16  29  7.39021e+07
16  30  0
16  31  4.01889e+07
16  32  0
16  33  0
16  34  0
16  35  6.01239e+07
16  36  0
16  37  0
16  38  0
16  39  3.01203e+07
16  40  0
16  41  4.61871e+07
16  42  0
16  43  0
16  44  0
16  45  0
16  46  0
16  47  1.61113e+07
16  48  3.8795e+07
16  49  0
16  50  0
17  0  5.2726e+07
17  1  4.83595e+07
17  2  0
17  3  1.43358e+07
17  4  6.45939e+07
17  5  1.39199e+07
17  6  3.57362e+07
17  7  0
17  8  0
17  9  0
17  10  8.47461e+07
17  11  3.70177e+07
17  12  0
17  13  0
17  14  0
17  15  2.76485e+07
17  16  0
17  17  0
17  18  1.87273e+07
17  19  0
17  20  4.5576e+07
17  21  0
17  22  0
17  23  1.77345e+07
17  24  3.1232e+07
17  25  2.81258e+07
17  26  1.08517e+08
17  27  0
17  28  1.72003e+07
17  29  5.7678e+07
17  30  2.18888e+07
17  31  3.86365e+06
17  32  0
17  33  0
17  34  0
17  35  0
17  36  0
17  37  0
17  38  9.08911e+07
17  39  3.4092e+07
17  40  0
17  41  0
17  42  6.98259e+07
17  43  0
17  44  0
17  45  0
17  46  0
17  47  0
17  48  0
17  49  7.37589e+07
17  50  7.82062e+07
18  0  0
18  1  0
18  2  6.19074e+07
18  3  0
18  4  3.0486e+07
18  5  0
18  6  0
18  7  4.59424e+07
18  8  1.67721e+07
18  9  0
18  10  0
18  11  3.77545e+06
18  12  0
18  13  3.62276e+07
18  14  2.82961e+07
18  15  5.2531e+06
18  16  0
18  17  3.35151e+07
18  18  7.0463e+06
18  19  0
18  20  4.39822e+07
18  21  4.35884e+07
18  22  2.07059e+07
18  23  3.71726e+07
18  24  0
18  25  0
18  26  0
18  27  0
18  28  2.65716e+07
18  29  1.12899e+07
18  30  2.10779e+07
18  31  1.6278e+07
18  32  0
18  33  0
18  34  0
18  35  1.18787e+07
18  36  2.06386e+07
18  37  5.75719e+07
18  38  1.45191e+07
18  39  188389
18  40  0
18  41  0
18  42  2.48629e+07
18  43  3.02226e+07
18  44  0
18  45  1.3709e+07
18  46  0
18  47  0
18  48  1.27436e+06
18  49  1.25925e+07
18  50  2.26311e+07
19  0  8.93241e+06
19  1  1.98616e+07
19  2  3.11978e+07
19  3  4.86692e+07
19  4  0
19  5  7.05256e+07
19  6  0
19  7  4.81611e+07
19  8  0
19  9  0
19  10  5.57217e+06
19  11  3.36804e+07
19  12  0
19  13  0
19  14  0
19  15  0
19  16  0
19  17  0
19  18  3.99354e+07
19  19  0
19  20  2.23112e+07
19  21  9.88848e+06
19  22  8.15486e+06
19  23  0
19  24  0
19  25  0
19  26  5.99623e+07
19  27  0
19  28  0
19  29  0
19  30  1.50774e+07
19  31  0
19  32  2.16115e+07
19  33  4.30844e+07
19  34  2.34885e+07
19  35  0
19  36  2.91596e+07
19  37  5.97496e+07
19  38  1.29491e+07
19  39  0
19  40  1.64563e+06
19  41  0
19  42  3.31141e+07
19  43  3.19984e+07
19  44  0
19  45  5.70205e+06
19  46  2.3987e+07
19  47  0
19  48  1.98933e+07
19  49  0
19  50  2.65726e+07
20  0  1.80825e+07
20  1  1.70262e+07
20  2  1.43512e+07
20  3  4.75647e+07
20  4  0
20  5  5.24755e+07
20  6  4.34987e+07
20  7  0
20  8  4.90488e+06
20  9  0
20  10  7.13416e+06
20  11  1.07201e+07
20  12  9.7974e+06
20  13  0
20  14  2.4865e+07
20  15  2.54984e+07
20  16  1.4903e+07
20  17  0
20  18  0
20  19  4.61234e+07
20  20  9.19254e+06
20  21  0
20  22  0
20  23  1.76986e+07
20  24  0
20  25  0
20  26  1.17246e+06
20  27  2.25772e+07
20  28  0
20  29  0
20  30  0
20  31  1.40467e+07
20  32  3.52998e+07
20  33  0
20  34  0
20  35  1.67144e+07
20  36  0
20  37  1.09866e+07
20  38  8.83669e+07
20  39  1.3531e+07
20  40  0
20  41  3.62742e+07
20  42  0
20  43  4.5998e+06
20  44  0
20  45  3.3853e+07
20  46  0
20  47  4.81803e+07
20  48  0
20  49  0
20  50  1.84876e+07
21  0  4.06401e+07
21  1  0
21  2  357176
21  3  7.59528e+07
21  4  0
21  5  0
21  6  3.08495e+06
21  7  1.03781e+07
21  8  4.18151e+07
21  9  4.08164e+07
21  10  9.83563e+07
21  11  0
21  12  0
21  13  3.29874e+06
21  14  1.92687e+07
21  15  0
21  16  2.81726e+07
21  17  0
21  18  0
21  19  3.89953e+07
21  20  9.08403e+07
21  21  0
21  22  0
21  23  0
21  24  0
21  25  0
21  26  0
21  27  8.1291e+07
21  28  5.92464e+07
21  29  3.8688e+07
21  30  5.71052e+07
21  31  7.32416e+07
21  32  4.57357e+07
21  33  4.12558e+07
21  34  2.97883e+07
21  35  8.87892e+07
21  36  4.44334e+07
21  37  2.14868e+07
21  38  0
21  39  4.88559e+07
21  40  4.26207e+07
21  41  0
21  42  3.33936e+06
21  43  2.61129e+07
21  44  6.12253e+07
21  45  0
21  46  6.06845e+06
21  47  0
21  48  8.61772e+07
21  49  1.36871e+07
21  50  4.31559e+06
22  0  3.65092e+07
22  1  1.14969e+07
22  2  6.38284e+06
22  3  1.02312e+07
22  4  3.49659e+07
22  5  5.71794e+07
22  6  406929
22  7  904120
22  8  0
22  9  6.35785e+07
22  10  4.06063e+07
22  11  2.7461e+07
22  12  0
22  13  2.8136e+07
22  14  3.92465e+07
22  15  7.20701e+07
22  16  1.94068e+06
22  17  6.32204e+06
22  18  6.91078e+07
