row  column  (images_7.edf Mn-K*images_7.edf Ar-K**2.3)
0  85  1.53378e+07
0  86  1.7392e+07
0  87  997668
0  88  9.84137e+06
0  89  1.64121e+06
0  90  0
0  91  1.01224e+07
0  92  2.7158e+06
0  93  1.36246e+07
0  94  5.24403e+06
0  95  1.7512e+07
0  96  1.85382e+07
0  97  1.9968e+07
0  98  0
0  99  1.35188e+07
0  100  2.20068e+07
1  0  2.09688e+07
1  1  2.13058e+07
1  2  2.68229e+07
1  3  3.06305e+07
1  4  7.38656e+06
1  5  1.61574e+07
1  6  0
1  7  1.30018e+07
1  8  1.68844e+07
1  9  106211
1  10  7.7385e+06
1  11  7.01637e+06
1  12  5.9317e+06
1  13  6.20442e+06
1  14  1.13162e+07
1  15  1.30844e+06
1  16  3.2954e+06
1  17  1.35715e+07
1  18  9.83442e+06
1  19  2.36032e+06
1  20  1.11138e+07
1  21  7.47138e+06
1  22  4.95608e+06
1  23  7.8452e+06
1  24  6.93778e+06
1  25  8.25322e+06
1  26  4.83826e+06
1  27  1.74814e+07
1  28  0
1  29  7.60184e+06
1  30  1.34358e+07
1  31  8.3687e+06
1  32  1.08263e+07
1  33  5.95406e+06
1  34  2.73219e+06
1  35  1.04672e+07
1  36  1.27863e+07
1  37  1.01927e+06
1  38  6.147e+06
1  39  1.84469e+07
1  40  1.42183e+07
1  41  3.32273e+06
1  42  0
1  43  2.02365e+07
1  44  6.85668e+06
1  45  9.17695e+06
1  46  4.10003e+06
1  47  635585
1  48  1.44783e+07
1  49  4.45156e+06
1  50  8.39912e+06
1  51  6.98093e+06
1  52  2.95447e+06
1  53  1.3989e+07
1  54  6.35739e+06
1  55  0
1  56  265811
1  57  1.13103e+07
1  58  1.1473e+07
1  59  1.81563e+07
1  60  3.39304e+06
1  61  9.69965e+06
1  62  1.03927e+07
1  63  2.19233e+07
1  64  1.32166e+07
1  65  2.60559e+06
1  66  1.51344e+07
1  67  8.04118e+06
1  68  1.00431e+07
1  69  1.86728e+07
1  70  0
1  71  1.18716e+07
1  72  1.95686e+07
1  73  4.79356e+06
1  74  1.06923e+07
1  75  1.62368e+07
1  76  4.33285e+07
1  77  1.70125e+07
1  78  2.03842e+07
1  79  0
1  80  1.47483e+07
1  81  2.062e+07
1  82  3.84431e+06
1  83  2.03588e+06
1  84  1.2962e+07
1  85  9.4129e+06
1  86  8.45371e+06
1  87  2.5893e+07
1  88  4.03251e+06
