row  column  (images_7.edf K-K*images_7.edf Ar-K**2.3)
3  95  2.48333e+07
3  96  3.53582e+07
3  97  3.61134e+07
3  98  1.63806e+07
3  99  3.12329e+07
3  100  2.58002e+07
4  0  1.03807e+07
4  1  1.33408e+07
4  2  1.93186e+07
4  3  1.40135e+07
4  4  1.61746e+07
4  5  2.36504e+07
4  6  1.65816e+07
4  7  2.29807e+07
4  8  1.27962e+07
4  9  2.36365e+07
4  10  2.2853e+07
4  11  1.32413e+07
4  12  2.73626e+07
4  13  2.36657e+07
4  14  2.39644e+07
4  15  2.01743e+07
4  16  1.13184e+07
4  17  1.17075e+07
4  18  0
4  19  1.17211e+07
4  20  2.43058e+07
4  21  6.25399e+06
4  22  1.35623e+07
4  23  1.58726e+07
4  24  9.8392e+06
4  25  5.40889e+06
4  26  1.95986e+07
4  27  1.9501e+07
4  28  2.10902e+07
4  29  2.19434e+07
4  30  4.4661e+07
4  31  1.65415e+07
4  32  1.27029e+07
4  33  3.03848e+07
4  34  4.31514e+07
4  35  2.17824e+07
4  36  3.14038e+07
4  37  2.66538e+07
4  38  0
4  39  2.34635e+07
4  40  3.04502e+07
4  41  7.37291e+06
4  42  3.1572e+07
4  43  3.90909e+07
4  44  3.14657e+07
4  45  1.89287e+07
4  46  2.09596e+07
4  47  1.91519e+07
4  48  4.86437e+07
4  49  2.24039e+07
4  50  3.45717e+06
4  51  2.66562e+07
4  52  3.44717e+07
4  53  4.52644e+07
4  54  8.6435e+06
4  55  2.6751e+07
4  56  1.66903e+07
4  57  2.86649e+07
4  58  1.84139e+07
4  59  1.32264e+07
4  60  0
4  61  2.00363e+07
4  62  6.40599e+06
4  63  1.10206e+07
4  64  1.79263e+07
4  65  3.84699e+07
4  66  3.88458e+07
4  67  2.87274e+07
4  68  3.28463e+07
4  69  1.30855e+07
4  70  3.67293e+07
4  71  5.35533e+07
4  72  9.33111e+07
4  73  0
4  74  3.91706e+07
4  75  5.62185e+07
4  76  4.78524e+07
4  77  6.69134e+07
4  78  8.4343e+07
4  79  7.48943e+07
4  80  3.39249e+07
4  81  7.28711e+07
4  82  7.86403e+07
4  83  4.14276e+07
4  84  5.97064e+07
4  85  4.24715e+07
4  86  5.16127e+07
4  87  1.13499e+07
4  88  4.18598e+07
4  89  2.27811e+07
4  90  2.40589e+07
4  91  2.8719e+07
4  92  8.61203e+06
4  93  3.45321e+07
4  94  5.04726e+07
4  95  1.45931e+07
4  96  3.16116e+07
4  97  1.17982e+07
4  98  3.61867e+07
4  99  3.64186e+07
4  100  3.28977e+07
5  0  8.759e+06
5  1  1.59176e+07
5  2  1.57622e+07
5  3  1.5226e+07
5  4  4.96707e+06
5  5  1.30986e+07
5  6  1.91651e+07
5  7  2.63297e+07
5  8  1.2677e+07
5  9  8.19411e+06
5  10  2.83668e+07
5  11  3.12747e+07
5  12  1.5813e+07
5  13  2.21131e+07
5  14  1.53921e+07
5  15  2.00684e+07
5  16  4.97766e+06
5  17  2.71449e+07
5  18  1.53566e+07
5  19  2.22506e+07
5  20  3.3702e+07
5  21  2.15135e+07
5  22  1.41081e+06
5  23  2.49604e+07
5  24  3.01043e+07
5  25  1.70573e+07
5  26  2.83282e+07
5  27  1.20513e+07
5  28  3.1468e+07
5  29  1.36183e+07
5  30  0
5  31  2.48845e+07
5  32  0
5  33  2.40312e+07
5  34  2.54445e+07
5  35  2.31566e+07
5  36  2.17984e+07
5  37  2.68065e+07
5  38  2.65687e+07
5  39  3.31177e+07
5  40  3.84433e+07
5  41  2.64426e+07
5  42  4.5778e+06
5  43  4.22374e+07
5  44  2.77533e+07
5  45  820463
5  46  2.15351e+07
5  47  3.31723e+07
5  48  3.52432e+07
5  49  4.7304e+07
5  50  4.18521e+07
5  51  4.83776e+07
5  52  4.1501e+07
5  53  3.51841e+07
5  54  8.4563e+06
5  55  1.4656e+07
5  56  1.98894e+07
5  57  2.75968e+07
5  58  2.452e+07
5  59  2.53839e+07
5  60  2.57812e+07
5  61  4.90493e+06
5  62  0
5  63  3.4538e+07
5  64  2.49176e+07
5  65  2.58772e+07
5  66  2.92148e+07
5  67  4.62366e+07
5  68  4.65209e+07
5  69  4.0092e+07
5  70  4.8296e+07
5  71  2.26429e+07
5  72  4.56664e+07
5  73  5.72045e+07
5  74  5.15168e+07
5  75  7.95583e+07
5  76  6.73454e+07
5  77  1.29187e+08
5  78  6.41141e+07
5  79  7.39527e+07
5  80  4.78789e+07
5  81  7.58705e+07
5  82  4.26084e+07
5  83  3.70944e+07
5  84  6.40511e+07
5  85  6.75078e+07
5  86  3.02475e+07
5  87  2.07814e+07
5  88  4.55536e+07
5  89  4.1214e+07
5  90  4.37341e+07
5  91  2.59375e+07
5  92  3.79015e+07
5  93  3.62308e+07
5  94  3.28291e+07
5  95  1.08343e+07
5  96  2.47038e+07
5  97  3.97852e+07
5  98  3.40652e+07
5  99  3.85135e+07
5  100  3.05203e+07
6  0  1.30912e+07
6  1  1.49274e+07
6  2  1.06614e+07
6  3  3.89145e+06
6  4  1.96982e+07
6  5  1.44519e+07
6  6  0
6  7  6.29235e+06
6  8  3.36239e+07
6  9  1.62214e+07
6  10  1.41235e+07
6  11  2.19038e+07
6  12  1.49412e+07
6  13  1.43588e+07
6  14  2.16975e+07
6  15  3.31106e+07
6  16  1.81927e+07
6  17  3.3056e+07
6  18  1.56623e+06
6  19  2.2279e+07
6  20  2.11315e+07
6  21  3.52523e+07
6  22  2.44608e+07
6  23  7.11158e+06
6  24  3.02451e+07
6  25  2.35963e+07
6  26  4.91128e+06
6  27  2.9003e+07
6  28  1.59291e+07
6  29  2.69454e+07
6  30  1.15398e+07
6  31  2.68008e+07
6  32  0
6  33  1.74933e+07
6  34  8.02201e+06
6  35  1.82279e+07
6  36  5.42413e+07
6  37  2.70385e+07
6  38  3.38803e+07
6  39  2.54874e+07
6  40  5.42879e+06
6  41  4.15206e+07
6  42  0
6  43  4.05914e+07
6  44  3.47064e+07
6  45  2.48674e+07
6  46  4.63837e+07
6  47  2.25689e+07
6  48  4.58571e+07
6  49  4.23314e+07
6  50  3.31126e+07
6  51  2.39834e+07
6  52  2.64446e+07
6  53  2.55002e+07
6  54  4.17911e+06
6  55  2.31741e+07
6  56  3.05904e+07
6  57  1.07284e+06
6  58  3.0878e+07
6  59  3.74189e+07
6  60  1.58055e+07
6  61  1.71402e+06
6  62  1.08105e+07
6  63  1.80372e+07
6  64  4.0875e+07
6  65  6.83963e+06
6  66  3.43431e+07
6  67  4.99193e+07
6  68  0
6  69  1.46544e+07
6  70  7.50548e+07
6  71  5.02791e+07
6  72  7.07718e+07
6  73  6.15506e+07
6  74  3.72961e+07
6  75  0
6  76  6.81855e+07
6  77  1.0998e+08
6  78  1.21474e+08
6  79  7.79547e+07
6  80  8.76346e+06
6  81  9.99878e+07
6  82  6.5205e+07
6  83  8.5793e+07
6  84  3.07888e+07
6  85  5.53058e+07
6  86  5.91808e+07
6  87  3.82848e+07
6  88  4.40434e+07
6  89  1.91683e+07
6  90  3.74958e+07
6  91  2.1659e+07
6  92  2.11777e+07
6  93  1.17403e+07
6  94  3.76698e+07
6  95  1.94638e+07
6  96  3.64543e+07
6  97  0
6  98  2.32728e+07
6  99  3.45802e+07
6  100  3.64299e+07
7  0  8.39196e+06
7  1  8.82885e+06
7  2  1.20273e+07
7  3  7.71833e+06
7  4  1.62045e+07
7  5  9.311e+06
7  6  9.28718e+06
7  7  9.70767e+06
7  8  0
7  9  2.29649e+07
7  10  9.2384e+06
7  11  1.25174e+07
7  12  3.13731e+07
7  13  2.45539e+07
7  14  1.41562e+07
7  15  1.90781e+07
7  16  2.80095e+07
7  17  1.73382e+07
7  18  1.63326e+07
7  19  1.99564e+07
7  20  5.73543e+06
7  21  1.76872e+06
7  22  1.88429e+07
7  23  1.94136e+07
7  24  2.61435e+07
7  25  2.67324e+07
7  26  4.01687e+07
7  27  3.747e+07
7  28  1.55311e+07
7  29  3.29406e+07
7  30  5.74531e+06
7  31  4.27046e+07
7  32  2.98115e+07
7  33  3.85612e+07
7  34  3.87196e+07
7  35  3.3758e+07
7  36  4.33759e+07
7  37  3.11271e+07
7  38  3.39882e+07
7  39  2.7452e+07
7  40  2.70837e+07
7  41  4.01509e+07
7  42  4.38461e+07
7  43  1.59663e+07
7  44  2.26428e+07
7  45  2.67504e+07
7  46  1.94251e+07
7  47  1.83384e+07
7  48  3.27424e+07
7  49  2.52277e+07
7  50  3.06898e+07
7  51  2.85633e+07
7  52  2.2302e+07
7  53  4.11522e+07
7  54  3.95906e+07
7  55  3.90565e+07
7  56  3.24748e+07
7  57  1.97754e+07
7  58  0
7  59  3.2866e+07
7  60  1.78269e+07
7  61  3.14753e+07
7  62  2.46122e+07
