row  column  (images_7.edf Cu-K*images_7.edf Ar-K**2.3)
3  91  0
3  92  2.71036e+07
3  93  0
3  94  4.35901e+06
3  95  1.95642e+07
3  96  0
3  97  0
3  98  4.82122e+06
3  99  0
3  100  1.94455e+07
4  0  0
4  1  0
4  2  0
4  3  0
4  4  2.78796e+06
4  5  0
4  6  2.13238e+06
4  7  1.65812e+07
4  8  6.70283e+06
4  9  3.76582e+06
4  10  1.13298e+06
4  11  1.21309e+07
4  12  0
4  13  1.40059e+07
4  14  0
4  15  1.63847e+07
4  16  9.44299e+06
4  17  1.37647e+07
4  18  2.48323e+06
4  19  1.40602e+07
4  20  8.14931e+06
4  21  1.04067e+07
4  22  1.00812e+07
4  23  4.5299e+06
4  24  0
4  25  1.52225e+07
4  26  2.08904e+07
4  27  3.69806e+06
4  28  1.64148e+07
4  29  7.52085e+06
4  30  3.14029e+07
4  31  1.06887e+07
4  32  1.36279e+07
4  33  2.29528e+07
4  34  0
4  35  910582
4  36  0
4  37  3.86923e+06
4  38  6.82963e+06
4  39  1.09408e+07
4  40  0
4  41  2.56891e+07
4  42  0
4  43  0
4  44  7.04326e+06
4  45  7.29552e+06
4  46  1.24034e+06
4  47  2.278e+07
4  48  1.24412e+07
4  49  1.92006e+07
4  50  8.75107e+06
4  51  1.0738e+07
4  52  1.79649e+07
4  53  1.25851e+06
4  54  2.57196e+07
4  55  402653
4  56  1.49251e+06
4  57  1.14883e+07
4  58  1.84334e+07
4  59  1.33201e+07
4  60  1.22538e+07
4  61  222101
4  62  1.26263e+07
4  63  1.63759e+07
4  64  2.98906e+06
4  65  2.13935e+07
4  66  3.11371e+06
4  67  4.92736e+06
4  68  0
4  69  2.45615e+07
4  70  1.0752e+07
4  71  6.92697e+06
4  72  1.04298e+07
4  73  3.98016e+07
4  74  2.00552e+07
4  75  1.65665e+07
4  76  0
4  77  1.88979e+07
4  78  5.20584e+06
4  79  0
4  80  1.1336e+07
4  81  6.62434e+06
4  82  0
4  83  9.55122e+06
4  84  3.11837e+07
4  85  1.99365e+07
4  86  4.01524e+07
4  87  1.83287e+07
4  88  6.49738e+06
4  89  2.29206e+07
4  90  2.78411e+06
4  91  0
4  92  2.38883e+07
4  93  134173
4  94  2.28287e+07
4  95  0
4  96  6.60885e+06
4  97  0
4  98  1.15726e+07
4  99  5.29863e+06
4  100  0
5  0  0
5  1  0
5  2  4.56605e+06
5  3  0
5  4  4.03728e+06
5  5  2.62284e+06
5  6  6.85383e+06
5  7  0
5  8  2.83582e+06
5  9  1.15519e+06
5  10  774896
5  11  1.25879e+07
5  12  5.57607e+06
5  13  1.91026e+06
5  14  1.49726e+06
5  15  9.43411e+06
5  16  1.4672e+07
5  17  2.21353e+07
5  18  1.12904e+07
5  19  9.28487e+06
5  20  1.70297e+07
5  21  4.61823e+06
5  22  7.02177e+06
5  23  4.05367e+07
5  24  4.46288e+06
5  25  3.64317e+06
5  26  1.64121e+07
5  27  3.02473e+06
5  28  5.97686e+06
5  29  961519
5  30  1.83583e+07
5  31  4.78031e+06
5  32  1.97341e+07
5  33  9.21133e+06
5  34  1.07906e+07
5  35  0
5  36  1.57054e+07
5  37  0
5  38  5.69841e+06
5  39  3.0976e+06
5  40  3.27471e+07
5  41  0
5  42  7.9626e+06
5  43  0
5  44  24181.8
5  45  42943.6
5  46  5.79348e+06
5  47  1.21996e+06
5  48  4.33835e+06
5  49  5.4589e+06
5  50  2.64359e+06
5  51  1.12667e+06
5  52  3.03108e+07
5  53  5.58504e+06
5  54  7.38635e+06
5  55  8.00411e+06
5  56  324537
5  57  2.31768e+07
5  58  0
5  59  2.3287e+06
5  60  0
5  61  6.96325e+06
5  62  2.65206e+07
5  63  0
5  64  1.01146e+07
5  65  5.90584e+06
5  66  5.30638e+06
5  67  0
5  68  882302
5  69  4.31734e+07
5  70  1.97226e+07
5  71  1.69588e+07
5  72  4.74799e+06
5  73  4.93901e+06
5  74  9.77824e+06
5  75  0
5  76  0
5  77  4.65426e+06
5  78  2.84867e+07
5  79  5.70716e+06
5  80  0
5  81  0
5  82  1.07611e+07
5  83  2.48368e+07
5  84  1.1779e+06
5  85  0
5  86  9.0229e+06
5  87  0
5  88  0
5  89  8.89228e+06
5  90  4.3219e+07
5  91  4.63032e+06
5  92  0
5  93  1.84666e+06
5  94  1.17483e+06
5  95  0
5  96  1.89136e+07
5  97  7.21196e+06
5  98  1.74268e+07
5  99  0
5  100  1.64149e+07
6  0  0
6  1  0
6  2  0
6  3  1.1716e+06
6  4  0
6  5  0
6  6  9.1681e+06
6  7  0
6  8  1.0094e+07
6  9  0
6  10  2.47553e+06
6  11  0
6  12  7.11733e+06
6  13  373475
6  14  1.7354e+07
6  15  5.08468e+06
6  16  8.68717e+06
6  17  1.17255e+07
6  18  9.53137e+06
6  19  2.36551e+06
6  20  1.56786e+07
6  21  0
6  22  6.83613e+06
6  23  4.63383e+06
6  24  3.74591e+06
6  25  1.27587e+07
6  26  1.49985e+07
6  27  4.33258e+06
6  28  6.63595e+06
6  29  6.64894e+06
6  30  2.58849e+07
6  31  1.29131e+07
6  32  0
6  33  6.13398e+06
6  34  1.09698e+07
6  35  2.60498e+07
6  36  8.52627e+06
6  37  7.01972e+06
6  38  9.39645e+06
6  39  1.36456e+07
6  40  1.69319e+07
6  41  1.198e+07
6  42  4.95541e+06
6  43  0
6  44  5.61718e+06
6  45  7.96298e+06
6  46  4.11768e+06
6  47  2.06685e+06
6  48  0
6  49  1.98792e+06
6  50  6.26715e+06
6  51  1.47638e+07
6  52  0
6  53  2.93036e+07
6  54  4.14789e+07
6  55  1.51799e+06
6  56  4.45568e+06
6  57  0
6  58  2.30651e+07
