row  column  (images_7.edf S-K*images_7.edf Ar-K**2.3)
4  29  7.30899e+07
4  30  1.18729e+08
4  31  7.89891e+07
4  32  9.57583e+07
4  33  1.25746e+08
4  34  8.80603e+07
4  35  9.02479e+07
4  36  7.71379e+07
4  37  1.02392e+08
4  38  8.35771e+07
4  39  9.13224e+07
4  40  1.05839e+08
4  41  8.08537e+07
4  42  8.53838e+07
4  43  7.31329e+07
4  44  7.64293e+07
4  45  1.10174e+08
4  46  8.02898e+07
4  47  9.16058e+07
4  48  6.06694e+07
4  49  7.51736e+07
4  50  7.84546e+07
4  51  6.7336e+07
4  52  8.27152e+07
4  53  8.31062e+07
4  54  8.99471e+07
4  55  6.72054e+07
4  56  8.5749e+07
4  57  7.32699e+07
4  58  7.85027e+07
4  59  8.87127e+07
4  60  7.86038e+07
4  61  8.28353e+07
4  62  1.01772e+08
4  63  7.71294e+07
4  64  7.40689e+07
4  65  1.10712e+08
4  66  8.38333e+07
4  67  6.68046e+07
4  68  7.80468e+07
4  69  6.57626e+07
4  70  6.96268e+07
4  71  6.51228e+07
4  72  6.01954e+07
4  73  7.47284e+07
4  74  6.11508e+07
4  75  4.65032e+07
4  76  3.32374e+07
4  77  4.70853e+07
4  78  4.79085e+07
4  79  5.38264e+07
4  80  2.86751e+07
4  81  6.29601e+07
4  82  3.34775e+07
4  83  3.54608e+07
4  84  4.98618e+07
4  85  3.11823e+07
4  86  6.0216e+07
4  87  5.5731e+07
4  88  4.19248e+07
4  89  3.54114e+07
4  90  2.96367e+07
4  91  1.41299e+07
4  92  3.82288e+07
4  93  3.18695e+07
4  94  2.77125e+07
4  95  3.05511e+07
4  96  2.92006e+07
4  97  5.99201e+07
4  98  6.32966e+07
4  99  5.0754e+07
4  100  4.33336e+07
5  0  1.13085e+06
5  1  2.74442e+06
5  2  3.07017e+06
5  3  3.07461e+06
5  4  7.11658e+06
5  5  5.33058e+06
5  6  5.27677e+06
5  7  6.64158e+06
5  8  2.38498e+07
5  9  3.78314e+07
5  10  1.85529e+07
5  11  4.23327e+07
5  12  2.95059e+07
5  13  3.98757e+07
5  14  4.00717e+07
5  15  5.22081e+07
5  16  3.68678e+07
5  17  5.49716e+07
5  18  4.52762e+07
5  19  7.05106e+07
5  20  6.1156e+07
5  21  7.19939e+07
5  22  6.50544e+07
5  23  7.07301e+07
5  24  8.83058e+07
5  25  8.22462e+07
5  26  7.81788e+07
5  27  5.76822e+07
5  28  7.72664e+07
5  29  7.28227e+07
5  30  9.61099e+07
5  31  7.78036e+07
5  32  1.04956e+08
5  33  9.42797e+07
5  34  9.02654e+07
5  35  1.01914e+08
5  36  9.0303e+07
5  37  8.97324e+07
5  38  7.838e+07
5  39  1.04597e+08
5  40  9.06574e+07
5  41  8.39288e+07
5  42  1.03023e+08
5  43  9.28436e+07
5  44  7.9457e+07
5  45  1.07064e+08
5  46  7.74385e+07
5  47  7.94006e+07
5  48  8.50769e+07
5  49  6.45835e+07
5  50  7.10798e+07
5  51  6.85301e+07
5  52  6.8632e+07
5  53  7.52499e+07
5  54  9.61847e+07
5  55  7.22805e+07
5  56  6.82896e+07
5  57  8.77407e+07
5  58  7.68422e+07
5  59  9.16442e+07
