row  column  (images_4.edf P-K*images_4.edf Ar-K**2.3)
4  57  879835
4  58  642707
4  59  2.55423e+06
4  60  1.04844e+06
4  61  595728
4  62  6.14251e+06
4  63  3.02265e+06
4  64  3.85607e+06
4  65  2.00345e+06
4  66  3.32061e+06
4  67  1.27978e+06
4  68  2.07799e+06
4  69  0
4  70  4.66935e+06
4  71  6.48289e+06
4  72  6.6031e+06
4  73  2.25668e+06
4  74  1.39236e+06
4  75  6.44607e+06
4  76  9.48407e+06
4  77  7.07835e+06
4  78  1.36799e+06
4  79  6.53891e+06
4  80  3.7423e+06
4  81  3.60435e+06
4  82  111454
4  83  1.49265e+06
4  84  0
4  85  5.57299e+06
4  86  2.19779e+06
4  87  3.33658e+06
4  88  4.21978e+06
4  89  2.52284e+06
4  90  2.36871e+06
4  91  2.00109e+06
4  92  593846
4  93  0
4  94  4.35376e+06
4  95  2.79804e+06
4  96  2.30733e+06
4  97  6.03518e+06
4  98  8.4838e+06
4  99  6.83358e+06
4  100  1.39791e+07
5  0  1.36891e+07
5  1  1.12403e+07
5  2  6.69613e+06
5  3  1.28019e+07
5  4  5.90795e+06
5  5  6.66573e+06
5  6  5.90038e+06
5  7  4.60091e+06
5  8  1.9298e+06
5  9  4.05106e+06
5  10  9.39084e+06
5  11  7.23492e+06
5  12  9.02745e+06
5  13  1.49211e+06
5  14  1.09905e+06
5  15  3.9408e+06
5  16  0
5  17  0
5  18  1.63124e+06
5  19  48410.8
5  20  1.53221e+06
5  21  1.78383e+06
5  22  0
5  23  0
5  24  2.33593e+06
5  25  0
5  26  1.02255e+06
5  27  1.61019e+06
5  28  0
5  29  654126
5  30  0
5  31  1.69051e+06
5  32  563158
5  33  7.04123e+06
5  34  0
5  35  0
5  36  5.82155e+06
5  37  3.30351e+06
5  38  4.61763e+06
5  39  680915
5  40  2.56689e+06
5  41  4.57917e+06
5  42  0
5  43  802662
5  44  4.55692e+06
5  45  2.61235e+06
5  46  5.52305e+06
5  47  0
5  48  4.24008e+06
5  49  2.00037e+06
5  50  4.22087e+06
5  51  1.17872e+06
5  52  0
5  53  3.41698e+06
5  54  3.18015e+06
5  55  1.63437e+06
5  56  0
5  57  7.50799e+06
5  58  830066
5  59  1.90089e+06
5  60  3.01358e+06
5  61  2.56651e+06
5  62  281883
5  63  4.85959e+06
5  64  144772
5  65  3.61901e+06
5  66  4.84154e+06
5  67  284595
5  68  561876
5  69  1.73145e+06
5  70  6.74334e+06
5  71  5.7226e+06
5  72  5.7296e+06
5  73  8.20615e+06
5  74  7.66748e+06
5  75  4.58879e+06
5  76  1.79973e+07
5  77  8.92006e+06
5  78  4.45124e+06
5  79  5.23826e+06
5  80  7.91287e+06
5  81  3.32987e+06
5  82  9.22922e+06
5  83  4.29331e+06
5  84  6.17728e+06
5  85  5.10526e+06
5  86  6.80077e+06
5  87  5.12789e+06
5  88  9.30113e+06
5  89  6.68131e+06
5  90  3.2476e+06
5  91  582592
5  92  5.72593e+06
5  93  3.01861e+06
5  94  1.49871e+06
5  95  0
5  96  0
5  97  7.28429e+06
5  98  2.19408e+06
5  99  7.69198e+06
5  100  1.0519e+07
6  0  8.16344e+06
6  1  1.75255e+07
6  2  1.18366e+07
6  3  7.34005e+06
6  4  3.33481e+06
6  5  1.13854e+07
6  6  8.71614e+06
6  7  4.04941e+06
6  8  4.67827e+06
6  9  6.51079e+06
6  10  7.5406e+06
6  11  5.2621e+06
6  12  6.10901e+06
6  13  1.24099e+07
6  14  6.32819e+06
6  15  1.32703e+06
