row  column  (images_4.edf Zn-K*images_4.edf Ar-K**2.3)
10  40  4.04613e+07
10  41  4.55472e+07
10  42  5.60776e+07
10  43  4.97462e+07
10  44  4.99842e+07
10  45  4.35439e+07
10  46  4.66364e+07
10  47  3.84764e+07
10  48  3.26515e+07
10  49  4.41368e+07
10  50  6.19461e+07
10  51  5.12464e+07
10  52  4.30187e+07
10  53  3.64213e+07
10  54  4.82494e+07
10  55  5.28148e+07
10  56  5.07635e+07
10  57  7.48683e+07
10  58  5.79399e+07
10  59  4.85624e+07
10  60  4.05216e+07
10  61  4.599e+07
10  62  5.70491e+07
10  63  4.72369e+07
10  64  3.89164e+07
10  65  4.12701e+07
10  66  3.09327e+07
10  67  1.93802e+07
10  68  3.19836e+07
10  69  1.8883e+07
10  70  4.96557e+07
10  71  4.35637e+07
10  72  4.04418e+07
10  73  3.90329e+07
10  74  4.26615e+07
10  75  4.47071e+07
10  76  5.26086e+07
10  77  2.48048e+07
10  78  4.54125e+07
10  79  4.11875e+07
10  80  0
10  81  3.14645e+07
10  82  4.37706e+07
10  83  4.50346e+07
10  84  3.70404e+07
10  85  4.95637e+07
10  86  5.03048e+07
10  87  4.15409e+07
10  88  3.81959e+07
10  89  4.875e+07
10  90  5.94703e+07
10  91  4.13676e+07
10  92  4.66254e+07
10  93  2.98288e+07
10  94  4.39071e+07
10  95  4.75056e+07
10  96  4.31158e+07
10  97  3.70994e+07
10  98  4.43488e+07
10  99  0
10  100  4.86051e+07
11  0  4.6095e+07
11  1  4.72013e+07
11  2  4.94415e+07
11  3  4.18956e+07
11  4  4.07852e+07
11  5  5.82919e+07
11  6  4.72605e+07
11  7  6.79519e+07
11  8  5.46516e+07
11  9  4.19143e+07
11  10  4.56105e+07
11  11  4.73959e+07
11  12  5.05868e+07
11  13  5.27942e+07
11  14  3.19559e+07
11  15  3.82768e+07
11  16  2.67408e+07
11  17  2.31464e+07
11  18  6.2116e+07
11  19  3.03783e+07
11  20  3.96134e+07
11  21  5.34071e+07
11  22  4.43994e+07
11  23  5.9479e+07
11  24  4.06085e+07
11  25  3.33962e+07
11  26  2.97826e+07
11  27  4.38379e+07
11  28  3.59765e+07
11  29  5.45436e+07
11  30  3.85449e+07
11  31  4.40309e+07
11  32  4.11632e+07
11  33  7.28891e+07
11  34  7.04018e+07
11  35  5.24315e+07
11  36  4.74822e+07
11  37  3.74393e+07
11  38  6.22631e+07
11  39  5.83408e+07
11  40  6.96787e+07
11  41  5.4006e+07
11  42  6.11391e+07
11  43  5.10055e+07
11  44  5.86349e+07
11  45  5.71602e+07
11  46  4.20555e+07
11  47  5.27003e+07
11  48  2.85281e+07
