row  column  (images_16_017.edf Mn-K*images_16_017.edf Ar-K**2.3)
7  46  1.05503e+07
7  47  1.2633e+07
7  48  1.33119e+07
7  49  8.4593e+06
7  50  1.26591e+07
8  0  8.99791e+06
8  1  1.14614e+07
8  2  7.9809e+06
8  3  8.08041e+06
8  4  8.73313e+06
8  5  8.10066e+06
8  6  7.09151e+06
8  7  1.69068e+07
8  8  2.59367e+06
8  9  6.86122e+06
8  10  1.25555e+07
8  11  6.19073e+06
8  12  4.83755e+06
8  13  7.10461e+06
8  14  9.3101e+06
8  15  8.95654e+06
8  16  1.0092e+07
8  17  1.10833e+07
8  18  9.21376e+06
8  19  1.26225e+07
8  20  9.95714e+06
8  21  1.05303e+07
8  22  7.79341e+06
8  23  9.21068e+06
8  24  8.11883e+06
8  25  4.94302e+06
8  26  7.97702e+06
8  27  7.05299e+06
8  28  8.39534e+06
8  29  9.31448e+06
8  30  9.94073e+06
8  31  9.05126e+06
8  32  1.31022e+07
8  33  6.08594e+06
8  34  7.50102e+06
8  35  8.25234e+06
8  36  1.02233e+07
8  37  1.22888e+07
8  38  1.46556e+07
8  39  9.53739e+06
8  40  1.02963e+07
8  41  9.17229e+06
8  42  1.33695e+07
8  43  7.74287e+06
8  44  1.37444e+07
8  45  7.12996e+06
8  46  1.31559e+07
8  47  1.36715e+07
8  48  9.96594e+06
8  49  1.47013e+07
8  50  1.476e+07
9  0  1.02415e+07
9  1  6.70186e+06
9  2  7.09988e+06
9  3  9.69275e+06
9  4  9.79186e+06
9  5  6.63116e+06
9  6  3.53822e+06
9  7  9.66137e+06
9  8  2.34061e+06
9  9  1.17456e+07
9  10  1.39118e+07
9  11  8.19975e+06
9  12  7.79102e+06
9  13  1.00631e+07
9  14  8.70844e+06
9  15  1.0797e+07
9  16  1.1644e+07
9  17  5.64704e+06
9  18  6.50679e+06
9  19  1.23514e+07
9  20  9.84979e+06
9  21  1.32854e+07
9  22  8.76889e+06
9  23  1.06952e+07
9  24  1.03094e+07
9  25  1.16969e+07
9  26  7.02225e+06
9  27  7.76285e+06
9  28  3.86774e+06
9  29  1.34844e+07
9  30  3.79784e+06
9  31  7.19176e+06
9  32  7.39086e+06
9  33  9.04475e+06
9  34  7.27979e+06
9  35  1.20182e+07
9  36  1.05644e+07
9  37  1.30357e+07
9  38  1.14381e+07
9  39  1.23521e+07
9  40  7.7537e+06
9  41  9.07534e+06
9  42  1.14697e+07
9  43  1.55888e+07
9  44  8.80627e+06
9  45  1.29277e+07
9  46  9.05887e+06
9  47  9.93721e+06
9  48  1.40167e+07
9  49  8.21581e+06
9  50  7.30868e+06
10  0  8.92412e+06
10  1  3.15242e+06
10  2  1.46328e+07
10  3  6.57645e+06
10  4  1.30731e+07
10  5  8.06077e+06
10  6  5.86188e+06
10  7  1.11625e+07
10  8  1.2294e+07
10  9  8.27159e+06
10  10  6.21581e+06
10  11  1.14396e+07
10  12  9.94934e+06
10  13  8.32885e+06
10  14  2.61213e+06
10  15  8.15223e+06
10  16  1.26202e+07
10  17  6.89662e+06
10  18  9.9872e+06
10  19  9.6075e+06
10  20  7.08653e+06
10  21  7.58657e+06
10  22  1.13113e+07
10  23  7.4907e+06
10  24  1.03772e+07
10  25  1.29359e+07
10  26  2.89602e+06
10  27  1.30749e+07
10  28  1.0232e+07
10  29  7.08767e+06
10  30  1.51221e+07
10  31  1.6958e+07
10  32  5.6951e+06
10  33  1.20906e+07
10  34  1.44858e+07
10  35  1.31567e+07
10  36  1.13622e+07
10  37  7.80098e+06
10  38  9.56726e+06
10  39  9.90633e+06
10  40  1.12321e+07
10  41  9.85833e+06
10  42  7.18592e+06
10  43  1.40842e+07
10  44  1.32878e+07
10  45  1.0983e+07
