row  column  (images_17_538.edf Cu-K*images_17_538.edf Ar-K**2.3)
3  54  2.24686e+06
3  55  3.37723e+06
3  56  3.68092e+06
3  57  3.76318e+06
3  58  2.90044e+06
3  59  4.85856e+06
3  60  7.24575e+06
3  61  2.71585e+06
3  62  6.09252e+06
3  63  3.42764e+06
3  64  5.53004e+06
3  65  3.33589e+06
3  66  4.57333e+06
3  67  5.26788e+06
3  68  1.63257e+06
3  69  4.09466e+06
3  70  4.67294e+06
3  71  1.69906e+06
3  72  4.70459e+06
3  73  8.2644e+06
3  74  8.00255e+06
3  75  7.3735e+06
3  76  2.93454e+06
3  77  3.73836e+06
3  78  6.63276e+06
3  79  6.46324e+06
3  80  3.98571e+06
4  0  6.66045e+06
4  1  5.4777e+06
4  2  4.03243e+06
4  3  5.4503e+06
4  4  5.72451e+06
4  5  5.91872e+06
4  6  6.16682e+06
4  7  5.91155e+06
4  8  4.13517e+06
4  9  4.18048e+06
4  10  5.82437e+06
4  11  4.10387e+06
4  12  5.21466e+06
4  13  3.47165e+06
4  14  5.06919e+06
4  15  5.06813e+06
4  16  2.85837e+06
4  17  3.19811e+06
4  18  2.59959e+06
4  19  4.85791e+06
4  20  5.43168e+06
4  21  4.54994e+06
4  22  2.10899e+06
4  23  5.54e+06
4  24  3.89925e+06
4  25  1.26925e+06
4  26  4.3749e+06
4  27  2.4245e+06
4  28  5.67876e+06
4  29  6.29878e+06
4  30  1.18657e+06
4  31  3.19242e+06
4  32  4.07069e+06
4  33  4.61024e+06
4  34  3.20954e+06
4  35  5.68983e+06
4  36  4.9207e+06
4  37  4.07945e+06
4  38  5.74611e+06
4  39  9.29818e+06
4  40  1.1063e+06
4  41  7.88763e+06
4  42  2.69678e+06
4  43  3.84078e+06
4  44  5.79068e+06
4  45  1.00326e+06
4  46  2.20009e+06
4  47  1.72993e+06
4  48  5.59273e+06
4  49  2.98563e+06
4  50  1.94113e+06
4  51  1.80184e+06
4  52  3.65339e+06
4  53  5.01327e+06
4  54  3.60755e+06
4  55  1.94942e+06
4  56  3.86848e+06
4  57  5.63456e+06
4  58  6.67112e+06
4  59  4.45509e+06
4  60  2.33495e+06
4  61  3.7326e+06
4  62  4.04694e+06
4  63  140392
4  64  2.70558e+06
4  65  3.29653e+06
4  66  5.78293e+06
4  67  1.01907e+07
4  68  2.18324e+06
4  69  1.91227e+06
4  70  4.41263e+06
4  71  5.48569e+06
4  72  8.41263e+06
4  73  5.71424e+06
4  74  5.80319e+06
4  75  5.27141e+06
4  76  5.4238e+06
4  77  3.99117e+06
4  78  4.3091e+06
4  79  4.89707e+06
4  80  6.50167e+06
5  0  5.52744e+06
5  1  4.51713e+06
5  2  7.62454e+06
5  3  5.14746e+06
5  4  4.00281e+06
5  5  4.55855e+06
5  6  5.91164e+06
5  7  5.4822e+06
5  8  4.45917e+06
5  9  8.35351e+06
5  10  3.68767e+06
5  11  3.2554e+06
5  12  3.61715e+06
5  13  4.10822e+06
5  14  4.74434e+06
5  15  5.98762e+06
5  16  2.84808e+06
5  17  5.48467e+06
5  18  6.66447e+06
5  19  6.58951e+06
5  20  2.4723e+06
5  21  4.57453e+06
5  22  2.11748e+06
5  23  3.81664e+06
5  24  2.57014e+06
5  25  5.05766e+06
5  26  4.60006e+06
5  27  4.27314e+06
5  28  6.41253e+06
5  29  5.90097e+06
