row  column  (images_17_538.edf Ca-K*images_17_538.edf Ar-K**2.3)
8  43  4.93478e+08
8  44  4.41374e+08
8  45  4.90937e+08
8  46  5.03835e+08
8  47  4.56316e+08
8  48  4.54342e+08
8  49  5.05107e+08
8  50  5.72871e+08
8  51  6.05162e+08
8  52  6.99147e+08
8  53  7.11322e+08
8  54  6.79421e+08
8  55  6.58331e+08
8  56  6.85152e+08
8  57  5.88172e+08
8  58  6.38513e+08
8  59  5.7118e+08
8  60  6.49986e+08
8  61  6.71257e+08
8  62  6.39459e+08
8  63  6.78039e+08
8  64  6.47027e+08
8  65  5.87748e+08
8  66  6.16208e+08
8  67  6.03261e+08
8  68  5.66796e+08
8  69  5.98863e+08
8  70  6.64572e+08
8  71  6.69199e+08
8  72  7.14495e+08
8  73  7.2192e+08
8  74  7.47509e+08
8  75  7.15196e+08
8  76  6.88355e+08
8  77  6.74027e+08
8  78  7.08796e+08
8  79  6.27265e+08
8  80  6.48928e+08
9  0  8.67658e+08
9  1  8.97236e+08
9  2  7.93872e+08
9  3  7.16283e+08
9  4  9.01626e+08
9  5  7.52059e+08
9  6  7.6848e+08
9  7  7.80089e+08
9  8  7.96533e+08
9  9  7.43979e+08
9  10  6.97806e+08
9  11  7.16786e+08
9  12  7.29076e+08
9  13  7.17415e+08
9  14  7.12459e+08
9  15  7.41224e+08
9  16  7.7534e+08
9  17  7.09326e+08
9  18  7.28287e+08
9  19  7.35906e+08
9  20  7.08048e+08
9  21  6.20289e+08
9  22  6.67268e+08
9  23  6.47436e+08
9  24  6.64702e+08
9  25  6.48511e+08
9  26  6.47939e+08
9  27  5.68356e+08
9  28  5.50511e+08
9  29  5.30035e+08
9  30  5.63159e+08
9  31  5.66748e+08
9  32  4.94212e+08
9  33  5.86837e+08
9  34  5.84434e+08
9  35  5.36484e+08
9  36  5.83273e+08
9  37  4.83453e+08
9  38  4.99752e+08
9  39  5.54181e+08
9  40  5.53382e+08
9  41  5.53481e+08
9  42  5.04297e+08
9  43  4.99005e+08
9  44  5.45279e+08
9  45  4.8077e+08
9  46  4.7515e+08
9  47  4.25577e+08
9  48  4.92771e+08
9  49  5.371e+08
9  50  5.46192e+08
9  51  6.17114e+08
9  52  6.2333e+08
9  53  5.93338e+08
9  54  5.94697e+08
9  55  6.05893e+08
9  56  6.27098e+08
9  57  6.39383e+08
9  58  6.09794e+08
9  59  6.24941e+08
9  60  6.16015e+08
9  61  6.1106e+08
9  62  6.0495e+08
9  63  5.675e+08
9  64  6.75609e+08
9  65  6.13747e+08
9  66  6.08096e+08
9  67  6.41846e+08
9  68  5.59907e+08
9  69  5.89934e+08
9  70  6.37562e+08
9  71  5.94771e+08
9  72  6.6562e+08
9  73  7.13068e+08
9  74  6.65684e+08
9  75  6.56527e+08
9  76  6.33217e+08
9  77  6.4366e+08
9  78  6.48835e+08
9  79  6.43421e+08
9  80  5.57899e+08
10  0  8.32194e+08
10  1  8.1572e+08
