row  column  (images_1.edf Ca-K*images_1.edf Ar-K**2.3)
7  33  1.75487e+09
7  34  1.59128e+09
7  35  1.78501e+09
7  36  1.89028e+09
7  37  1.66003e+09
7  38  1.62736e+09
7  39  1.42192e+09
7  40  1.11288e+09
7  41  8.57762e+08
7  42  7.06344e+08
7  43  6.24928e+08
7  44  9.1307e+08
7  45  1.25939e+09
7  46  6.29661e+08
7  47  4.88131e+08
7  48  2.52903e+08
7  49  2.05757e+08
7  50  1.49144e+08
8  0  7.78575e+08
8  1  7.89865e+08
8  2  7.55015e+08
8  3  9.81657e+08
8  4  1.48125e+09
8  5  2.04949e+09
8  6  2.07251e+09
8  7  2.39741e+09
8  8  2.3628e+09
8  9  2.52325e+09
8  10  2.26931e+09
8  11  2.31502e+09
8  12  2.34847e+09
8  13  2.05528e+09
8  14  2.01773e+09
8  15  2.0788e+09
8  16  2.11448e+09
8  17  1.94403e+09
8  18  2.24959e+09
8  19  2.4591e+09
8  20  2.08463e+09
8  21  2.36874e+09
8  22  2.03053e+09
8  23  1.99694e+09
8  24  2.09411e+09
8  25  2.36268e+09
8  26  2.21098e+09
8  27  2.30851e+09
8  28  1.95979e+09
8  29  1.89684e+09
8  30  1.91291e+09
8  31  1.73301e+09
8  32  1.89738e+09
8  33  1.77675e+09
8  34  1.83807e+09
8  35  1.703e+09
8  36  1.7388e+09
8  37  1.72157e+09
8  38  1.67058e+09
8  39  1.33732e+09
8  40  1.18535e+09
8  41  8.55791e+08
8  42  5.36862e+08
8  43  6.19599e+08
8  44  7.83439e+08
8  45  7.59583e+08
8  46  6.0822e+08
8  47  3.50788e+08
8  48  2.49182e+08
8  49  1.68981e+08
8  50  1.56031e+08
9  0  9.65543e+08
9  1  9.58975e+08
9  2  9.09681e+08
9  3  1.00458e+09
9  4  1.63452e+09
9  5  1.95601e+09
9  6  1.79678e+09
9  7  2.28981e+09
9  8  2.64197e+09
9  9  2.18068e+09
9  10  2.18301e+09
9  11  2.31543e+09
9  12  2.00132e+09
9  13  1.90919e+09
9  14  1.98067e+09
9  15  2.0168e+09
9  16  2.31902e+09
9  17  2.05894e+09
9  18  2.27839e+09
9  19  2.28012e+09
9  20  2.34056e+09
9  21  2.35674e+09
9  22  2.34698e+09
9  23  2.28211e+09
9  24  2.28245e+09
9  25  2.50516e+09
9  26  2.23272e+09
9  27  2.3178e+09
9  28  2.39791e+09
9  29  2.09604e+09
9  30  1.96303e+09
9  31  2.00655e+09
9  32  1.8321e+09
9  33  1.71443e+09
9  34  1.79693e+09
9  35  1.90108e+09
9  36  1.8382e+09
9  37  1.73738e+09
9  38  1.98155e+09
9  39  1.34761e+09
9  40  1.13177e+09
9  41  7.27258e+08
9  42  6.64099e+08
9  43  5.57187e+08
9  44  6.6938e+08
9  45  7.07447e+08
9  46  5.45497e+08
9  47  3.20981e+08
9  48  1.98556e+08
9  49  1.62662e+08
9  50  1.12397e+08
10  0  1.1341e+09
10  1  9.83265e+08
10  2  9.18865e+08
10  3  1.16039e+09
10  4  1.34908e+09
10  5  1.69281e+09
10  6  2.30632e+09
10  7  2.243e+09
10  8  2.4938e+09
10  9  2.14013e+09
10  10  2.16553e+09
10  11  2.05536e+09
10  12  2.17975e+09
10  13  2.00234e+09
10  14  1.79557e+09
10  15  1.77012e+09
10  16  2.01825e+09
10  17  2.04812e+09
10  18  2.00464e+09
10  19  2.39888e+09
10  20  2.40158e+09
10  21  2.53865e+09
10  22  2.46562e+09
10  23  2.48368e+09
10  24  2.2608e+09
10  25  2.20349e+09
10  26  2.25579e+09
10  27  2.42457e+09
10  28  2.24733e+09
10  29  1.97269e+09
10  30  2.06066e+09
10  31  1.96807e+09
10  32  1.84778e+09
10  33  1.93272e+09
10  34  1.86648e+09
10  35  1.58713e+09
10  36  1.72196e+09
10  37  1.68717e+09
10  38  1.62732e+09
10  39  1.62243e+09
10  40  1.01245e+09
10  41  8.18099e+08
10  42  6.44524e+08
10  43  6.08391e+08
10  44  6.92293e+08
10  45  6.12655e+08
10  46  4.50138e+08
10  47  2.97954e+08
10  48  1.66845e+08
10  49  1.84173e+08
10  50  1.34245e+08
11  0  1.2871e+09
11  1  1.29988e+09
11  2  1.12268e+09
11  3  1.14586e+09
11  4  1.47575e+09
11  5  1.60755e+09
11  6  1.93334e+09
11  7  2.0549e+09
11  8  2.14829e+09
11  9  1.96942e+09
11  10  2.28647e+09
11  11  2.04085e+09
11  12  2.00945e+09
11  13  1.9675e+09
11  14  1.79744e+09
11  15  2.03045e+09
11  16  2.08601e+09
11  17  1.99494e+09
11  18  2.05041e+09
11  19  2.34455e+09
11  20  2.2612e+09
11  21  2.20576e+09
11  22  2.18814e+09
11  23  2.0867e+09
11  24  2.04466e+09
11  25  2.46326e+09
11  26  2.64348e+09
11  27  2.62162e+09
11  28  2.47978e+09
11  29  2.35125e+09
11  30  2.17629e+09
11  31  2.12096e+09
11  32  2.05093e+09
11  33  1.97015e+09
11  34  1.8492e+09
11  35  1.7355e+09
11  36  1.86421e+09
11  37  1.80624e+09
11  38  1.70006e+09
11  39  1.40276e+09
11  40  1.22337e+09
11  41  8.7706e+08
11  42  6.9372e+08
11  43  6.15228e+08
11  44  6.84599e+08
11  45  6.1604e+08
11  46  4.04312e+08
11  47  2.65099e+08
11  48  1.90436e+08
11  49  1.47329e+08
11  50  1.12148e+08
12  0  1.63146e+09
12  1  1.50428e+09
12  2  1.16484e+09
12  3  1.29265e+09
12  4  1.48232e+09
12  5  1.75888e+09
12  6  1.81959e+09
12  7  2.00978e+09
12  8  1.95405e+09
12  9  2.0006e+09
12  10  2.11551e+09
12  11  2.08832e+09
12  12  1.74471e+09
12  13  1.86546e+09
12  14  1.75108e+09
12  15  1.85661e+09
12  16  1.99816e+09
12  17  2.06217e+09
12  18  1.91616e+09
12  19  2.1722e+09
12  20  2.20656e+09
12  21  2.3489e+09
12  22  2.21416e+09
12  23  2.17884e+09
12  24  2.05956e+09
12  25  2.31661e+09
12  26  2.41776e+09
12  27  2.49088e+09
12  28  2.55516e+09
12  29  2.26622e+09
12  30  2.49359e+09
12  31  2.33423e+09
12  32  2.2476e+09
12  33  2.27584e+09
12  34  1.89214e+09
12  35  1.79793e+09
12  36  1.84618e+09
12  37  1.90002e+09
12  38  1.89835e+09
12  39  1.71539e+09
12  40  1.00908e+09
12  41  8.71522e+08
12  42  6.61675e+08
12  43  7.27096e+08
12  44  6.72039e+08
12  45  5.47742e+08
12  46  4.07573e+08
12  47  2.76918e+08
12  48  2.03572e+08
12  49  1.43813e+08
12  50  1.13148e+08
13  0  1.69777e+09
13  1  1.58213e+09
13  2  1.36316e+09
13  3  1.32658e+09
13  4  1.5719e+09
13  5  1.52089e+09
13  6  1.74361e+09
13  7  1.80011e+09
13  8  1.9689e+09
13  9  2.03403e+09
13  10  1.91898e+09
13  11  1.76211e+09
13  12  2.10618e+09
13  13  1.70077e+09
13  14  1.5977e+09
13  15  1.85111e+09
13  16  1.98165e+09
13  17  2.1014e+09
13  18  1.82338e+09
13  19  2.16184e+09
13  20  2.06975e+09
13  21  1.9736e+09
13  22  2.11233e+09
13  23  2.03074e+09
13  24  1.90136e+09
13  25  2.20914e+09
13  26  2.1857e+09
13  27  2.12111e+09
13  28  2.54801e+09
13  29  2.23646e+09
13  30  2.20584e+09
13  31  2.3722e+09
13  32  2.05043e+09
13  33  1.7685e+09
13  34  1.96554e+09
13  35  1.82242e+09
13  36  1.81298e+09
13  37  2.03473e+09
13  38  1.67511e+09
13  39  1.5277e+09
13  40  1.10372e+09
13  41  9.71966e+08
13  42  6.36525e+08
13  43  6.96848e+08
13  44  6.31307e+08
13  45  5.77357e+08
13  46  4.26433e+08
13  47  3.04572e+08
13  48  2.12881e+08
13  49  1.43202e+08
13  50  1.18794e+08
14  0  1.87169e+09
14  1  1.72492e+09
14  2  1.30211e+09
14  3  1.30149e+09
14  4  1.51666e+09
14  5  1.60877e+09
14  6  1.71764e+09
14  7  1.75382e+09
14  8  1.95603e+09
14  9  1.75507e+09
14  10  2.03975e+09
14  11  1.88697e+09
14  12  1.79392e+09
14  13  1.7843e+09
14  14  1.74896e+09
14  15  1.67107e+09
14  16  1.87729e+09
14  17  2.03861e+09
14  18  1.77344e+09
14  19  2.00118e+09
14  20  2.05242e+09
14  21  2.03306e+09
14  22  1.96579e+09
14  23  2.10489e+09
14  24  1.65416e+09
14  25  1.77543e+09
14  26  2.17584e+09
14  27  1.92005e+09
14  28  2.1529e+09
14  29  1.73766e+09
14  30  2.11477e+09
14  31  2.11086e+09
14  32  2.02662e+09
14  33  1.99056e+09
14  34  1.98384e+09
14  35  1.76563e+09
14  36  1.85188e+09
14  37  1.59612e+09
14  38  1.66295e+09
14  39  1.65663e+09
14  40  1.33259e+09
14  41  1.09482e+09
14  42  7.99322e+08
14  43  7.06762e+08
14  44  8.32725e+08
14  45  5.76393e+08
14  46  4.64008e+08
14  47  2.76761e+08
14  48  1.99153e+08
14  49  1.30555e+08
14  50  1.35911e+08
15  0  1.87556e+09
15  1  1.85154e+09
15  2  1.42135e+09
15  3  1.13254e+09
15  4  1.34494e+09
15  5  1.59713e+09
15  6  1.54149e+09
15  7  1.83703e+09
15  8  1.52716e+09
15  9  1.90189e+09
15  10  2.02604e+09
15  11  1.88208e+09
15  12  1.73117e+09
15  13  1.78133e+09
15  14  1.76443e+09
15  15  1.64693e+09
15  16  1.86611e+09
15  17  1.6356e+09
15  18  1.80514e+09
15  19  1.93025e+09
15  20  2.20505e+09
15  21  2.17917e+09
15  22  2.21648e+09
15  23  1.93488e+09
15  24  1.83801e+09
15  25  1.71326e+09
15  26  1.71779e+09
15  27  1.98423e+09
15  28  2.02276e+09
15  29  1.89074e+09
15  30  1.66894e+09
15  31  1.9035e+09
15  32  2.02073e+09
15  33  2.08467e+09
15  34  1.88854e+09
15  35  1.85489e+09
15  36  1.67668e+09
15  37  1.78095e+09
15  38  1.81836e+09
15  39  1.52343e+09
15  40  1.13289e+09
15  41  1.0602e+09
15  42  7.06435e+08
15  43  7.48474e+08
15  44  7.39663e+08
15  45  6.15437e+08
15  46  4.42291e+08
15  47  2.71343e+08
15  48  1.72994e+08
15  49  1.55644e+08
15  50  1.28332e+08
16  0  1.73896e+09
16  1  1.53115e+09
16  2  1.32343e+09
16  3  1.26671e+09
16  4  1.32209e+09
16  5  1.26504e+09
16  6  1.40811e+09
16  7  1.71489e+09
16  8  1.49379e+09
16  9  1.611e+09
16  10  1.86643e+09
16  11  1.63339e+09
16  12  1.81084e+09
16  13  1.6746e+09
16  14  1.67116e+09
16  15  1.54117e+09
16  16  1.73453e+09
16  17  1.93242e+09
16  18  1.76775e+09
16  19  2.08708e+09
16  20  2.08153e+09
16  21  2.29865e+09
16  22  2.1539e+09
16  23  1.93734e+09
16  24  1.85416e+09
16  25  1.53985e+09
16  26  1.66268e+09
16  27  1.52094e+09
16  28  1.57011e+09
16  29  1.71948e+09
16  30  1.66388e+09
16  31  1.78207e+09
16  32  1.8002e+09
16  33  1.85795e+09
16  34  1.84349e+09
16  35  1.56714e+09
16  36  1.59117e+09
16  37  1.43339e+09
16  38  1.55334e+09
16  39  1.53311e+09
16  40  1.35628e+09
16  41  1.09149e+09
16  42  7.74149e+08
16  43  7.02297e+08
16  44  8.03229e+08
16  45  6.28957e+08
16  46  4.18677e+08
16  47  2.40321e+08
16  48  2.02365e+08
16  49  1.331e+08
16  50  1.29057e+08
17  0  1.52402e+09
17  1  1.29442e+09
17  2  1.0772e+09
17  3  1.04885e+09
17  4  1.00001e+09
