row  column  (images_28.edf Ca-K*images_28.edf Ar-K**2.3)
1  101  4.37887e+08
1  102  3.55244e+08
1  103  3.34454e+08
1  104  2.46054e+08
1  105  2.48755e+08
1  106  2.02149e+08
1  107  1.76698e+08
1  108  1.49087e+08
1  109  1.61836e+08
1  110  1.21677e+08
1  111  1.12723e+08
1  112  1.12407e+08
1  113  1.16765e+08
1  114  8.80254e+07
1  115  6.5684e+07
1  116  6.10929e+07
1  117  6.17189e+07
1  118  3.31539e+07
1  119  2.22685e+07
1  120  2.19557e+07
2  0  2.14191e+08
2  1  2.36245e+08
2  2  2.44321e+08
2  3  2.69563e+08
2  4  3.19973e+08
2  5  3.65548e+08
2  6  4.5674e+08
2  7  5.36636e+08
2  8  6.7779e+08
2  9  6.36416e+08
2  10  6.85415e+08
2  11  7.24791e+08
2  12  6.46677e+08
2  13  7.08839e+08
2  14  7.44672e+08
2  15  6.70734e+08
2  16  5.91865e+08
2  17  4.84655e+08
2  18  4.51525e+08
2  19  3.61651e+08
2  20  3.33911e+08
2  21  3.27099e+08
2  22  3.33287e+08
2  23  2.96911e+08
2  24  3.10597e+08
2  25  3.27494e+08
2  26  3.39763e+08
2  27  4.29581e+08
2  28  5.08771e+08
2  29  5.22517e+08
2  30  5.21241e+08
2  31  6.18122e+08
2  32  5.59968e+08
2  33  5.71009e+08
2  34  6.33349e+08
2  35  5.51361e+08
2  36  5.50824e+08
2  37  5.66746e+08
2  38  6.00338e+08
2  39  5.87182e+08
2  40  5.97398e+08
2  41  5.55465e+08
2  42  5.4694e+08
2  43  5.59917e+08
2  44  6.356e+08
2  45  5.36952e+08
2  46  5.95632e+08
2  47  5.24941e+08
2  48  5.93544e+08
2  49  5.73114e+08
2  50  5.90093e+08
2  51  6.02002e+08
2  52  6.34358e+08
2  53  5.88566e+08
2  54  6.15732e+08
2  55  5.97706e+08
2  56  6.27247e+08
2  57  6.07178e+08
2  58  6.33856e+08
2  59  6.32099e+08
2  60  5.9989e+08
2  61  5.75478e+08
2  62  5.79112e+08
2  63  6.04711e+08
2  64  6.54064e+08
2  65  7.15951e+08
2  66  8.68939e+08
2  67  1.34431e+09
2  68  1.54531e+09
2  69  9.04643e+08
2  70  7.021e+08
2  71  6.44372e+08
2  72  5.86377e+08
2  73  6.09862e+08
2  74  5.47023e+08
2  75  6.34676e+08
2  76  6.73796e+08
2  77  6.704e+08
2  78  6.64975e+08
2  79  6.5786e+08
2  80  7.41918e+08
2  81  7.13022e+08
2  82  7.10191e+08
2  83  6.7456e+08
2  84  6.66145e+08
2  85  6.56109e+08
2  86  7.66166e+08
2  87  7.74782e+08
2  88  8.11569e+08
2  89  7.73501e+08
2  90  7.24842e+08
2  91  7.88943e+08
2  92  8.32707e+08
2  93  7.74629e+08
2  94  7.6413e+08
2  95  8.31165e+08
2  96  7.51587e+08
2  97  7.70299e+08
2  98  6.35271e+08
2  99  5.66275e+08
2  100  5.28426e+08
2  101  4.47234e+08
2  102  4.25686e+08
2  103  3.52227e+08
2  104  2.81429e+08
2  105  3.0695e+08
2  106  1.91006e+08
2  107  2.02278e+08
2  108  1.64464e+08
2  109  1.5939e+08
2  110  1.16812e+08
2  111  1.12163e+08
