row  column  (images_8.edf Ca_K*images_8.edf Ar_K**2.3)
7  10  1.06369e+09
7  11  1.19873e+09
7  12  1.11667e+09
7  13  1.3219e+09
7  14  1.28228e+09
7  15  1.52039e+09
7  16  1.44738e+09
7  17  1.43073e+09
7  18  1.5828e+09
7  19  1.62802e+09
7  20  1.59862e+09
7  21  1.64152e+09
7  22  1.62152e+09
7  23  1.58807e+09
7  24  1.53803e+09
7  25  1.34451e+09
7  26  1.23171e+09
7  27  1.31926e+09
7  28  1.13342e+09
7  29  9.21494e+08
7  30  1.04339e+09
7  31  1.11713e+09
7  32  1.23574e+09
7  33  1.18534e+09
7  34  1.12714e+09
7  35  1.30736e+09
7  36  1.3231e+09
7  37  1.14847e+09
7  38  1.00401e+09
7  39  7.95823e+08
7  40  5.25958e+08
7  41  4.4149e+08
7  42  4.56278e+08
7  43  4.30912e+08
7  44  4.22202e+08
7  45  3.46292e+08
7  46  2.94915e+08
7  47  2.6696e+08
7  48  2.25481e+08
7  49  2.13173e+08
7  50  1.65863e+08
8  0  1.07916e+09
8  1  1.10798e+09
8  2  1.23963e+09
8  3  1.25973e+09
8  4  1.09594e+09
8  5  1.20376e+09
8  6  1.17144e+09
8  7  1.14297e+09
8  8  9.84883e+08
8  9  1.06154e+09
8  10  1.07784e+09
8  11  1.29626e+09
8  12  1.36975e+09
8  13  1.34033e+09
8  14  1.32037e+09
8  15  1.36531e+09
8  16  1.48114e+09
8  17  1.49398e+09
8  18  1.68036e+09
8  19  1.55811e+09
8  20  1.63582e+09
8  21  1.64786e+09
8  22  1.77524e+09
8  23  1.86364e+09
8  24  1.59077e+09
8  25  1.57408e+09
8  26  1.36632e+09
8  27  1.3338e+09
8  28  1.07439e+09
8  29  9.93251e+08
8  30  1.03223e+09
8  31  1.31367e+09
8  32  1.32539e+09
8  33  1.17123e+09
8  34  1.252e+09
8  35  1.37544e+09
8  36  1.4229e+09
8  37  1.23921e+09
8  38  1.1001e+09
8  39  8.48847e+08
8  40  5.86286e+08
8  41  5.38846e+08
8  42  5.63358e+08
8  43  5.41177e+08
8  44  5.26146e+08
8  45  4.19362e+08
8  46  3.63534e+08
8  47  3.26437e+08
8  48  2.44025e+08
8  49  2.37312e+08
8  50  1.65886e+08
9  0  1.11779e+09
9  1  1.10917e+09
9  2  1.28567e+09
9  3  1.36387e+09
9  4  1.29078e+09
9  5  1.14178e+09
9  6  1.1679e+09
9  7  1.02316e+09
9  8  1.00168e+09
9  9  9.64566e+08
9  10  1.09753e+09
9  11  1.37407e+09
9  12  1.47246e+09
9  13  1.29942e+09
9  14  1.49729e+09
9  15  1.37013e+09
9  16  1.5172e+09
9  17  1.47944e+09
9  18  1.59529e+09
9  19  1.69693e+09
9  20  1.58238e+09
9  21  1.56412e+09
9  22  1.49613e+09
9  23  1.7269e+09
9  24  1.54481e+09
9  25  1.56957e+09
9  26  1.38358e+09
9  27  1.25967e+09
9  28  1.2165e+09
9  29  1.0395e+09
9  30  1.31496e+09
9  31  1.21981e+09
9  32  1.29578e+09
9  33  1.34566e+09
9  34  1.29681e+09
9  35  1.31029e+09
9  36  1.41142e+09
9  37  1.31974e+09
9  38  1.05258e+09
9  39  8.77915e+08
9  40  5.95523e+08
9  41  6.1851e+08
9  42  5.92648e+08
9  43  6.90537e+08
9  44  6.08546e+08
9  45  5.54129e+08
9  46  4.57773e+08
9  47  3.68638e+08
9  48  2.98593e+08
9  49  2.75297e+08
9  50  2.14044e+08
10  0  1.24951e+09
10  1  1.09366e+09
10  2  1.43746e+09
10  3  1.26497e+09
10  4  1.16589e+09
10  5  1.40577e+09
10  6  1.35998e+09
10  7  1.03393e+09
10  8  9.7091e+08
10  9  1.11878e+09
10  10  1.09191e+09
10  11  1.28491e+09
10  12  1.4261e+09
10  13  1.27537e+09
10  14  1.34777e+09
10  15  1.50939e+09
10  16  1.5964e+09
10  17  1.59617e+09
10  18  1.60024e+09
10  19  1.76252e+09
10  20  1.46296e+09
10  21  1.33573e+09
10  22  1.5333e+09
10  23  1.61733e+09
10  24  1.61907e+09
10  25  1.44694e+09
10  26  1.47828e+09
10  27  1.31053e+09
10  28  1.07429e+09
10  29  1.07387e+09
10  30  1.16779e+09
10  31  1.39014e+09
10  32  1.15662e+09
10  33  1.23313e+09
10  34  1.18106e+09
10  35  1.24525e+09
10  36  1.16215e+09
10  37  1.25019e+09
