row  column  (images_8.edf Fe_K*images_8.edf Ar_K**2.3)
7  33  9.83571e+07
7  34  1.23383e+08
7  35  1.07265e+08
7  36  1.14803e+08
7  37  9.40194e+07
7  38  7.19412e+07
7  39  5.54325e+07
7  40  5.83913e+07
7  41  3.75812e+07
7  42  3.44251e+07
7  43  3.85807e+07
7  44  4.0762e+07
7  45  4.79366e+07
7  46  4.57487e+07
7  47  3.63405e+07
7  48  3.39695e+07
7  49  4.54794e+07
7  50  3.29463e+07
8  0  5.25811e+07
8  1  5.48788e+07
8  2  5.64035e+07
8  3  6.63977e+07
8  4  4.73221e+07
8  5  5.44813e+07
8  6  5.28774e+07
8  7  5.59825e+07
8  8  5.24944e+07
8  9  5.85621e+07
8  10  6.76662e+07
8  11  5.53051e+07
8  12  5.69241e+07
8  13  6.63559e+07
8  14  6.5445e+07
8  15  8.15668e+07
8  16  9.66585e+07
8  17  9.80381e+07
8  18  8.81408e+07
8  19  1.05151e+08
8  20  1.19413e+08
8  21  1.33552e+08
8  22  1.60898e+08
8  23  1.78937e+08
8  24  1.84496e+08
8  25  1.61007e+08
8  26  1.27887e+08
8  27  1.05084e+08
8  28  8.84693e+07
8  29  8.15386e+07
8  30  5.7692e+07
8  31  7.21733e+07
8  32  9.91113e+07
8  33  9.14226e+07
8  34  1.46771e+08
8  35  1.10852e+08
8  36  1.14641e+08
8  37  8.9557e+07
8  38  9.09593e+07
8  39  7.63586e+07
8  40  5.73062e+07
8  41  5.67853e+07
8  42  5.18735e+07
8  43  6.09923e+07
8  44  5.02073e+07
8  45  3.79001e+07
8  46  4.09906e+07
8  47  4.68205e+07
8  48  3.24937e+07
8  49  4.64574e+07
8  50  3.18763e+07
9  0  5.65057e+07
9  1  4.71558e+07
9  2  5.504e+07
9  3  6.57448e+07
9  4  5.55102e+07
9  5  5.8336e+07
9  6  4.84708e+07
9  7  5.52346e+07
9  8  5.43564e+07
9  9  5.11139e+07
9  10  5.40403e+07
9  11  5.00538e+07
9  12  7.05117e+07
9  13  6.43489e+07
9  14  8.43313e+07
9  15  9.36238e+07
9  16  1.1405e+08
9  17  7.93803e+07
9  18  9.58543e+07
9  19  1.20404e+08
9  20  1.3961e+08
9  21  1.38565e+08
9  22  1.45246e+08
9  23  1.68444e+08
9  24  1.9028e+08
9  25  1.45925e+08
9  26  1.11936e+08
9  27  1.01263e+08
9  28  8.74341e+07
9  29  7.10663e+07
9  30  9.05455e+07
9  31  7.36897e+07
9  32  8.32705e+07
9  33  1.03328e+08
9  34  1.65415e+08
9  35  1.18708e+08
9  36  1.06063e+08
9  37  1.1209e+08
9  38  1.02125e+08
9  39  7.50863e+07
9  40  5.10092e+07
9  41  4.98418e+07
9  42  5.84743e+07
9  43  4.42873e+07
9  44  6.27415e+07
9  45  5.78618e+07
9  46  5.61057e+07
9  47  4.52155e+07
9  48  3.36614e+07
9  49  3.33024e+07
9  50  3.38171e+07
10  0  5.71578e+07
10  1  5.1877e+07
10  2  4.62396e+07
10  3  5.91468e+07
10  4  5.54816e+07
10  5  6.44194e+07
10  6  6.0292e+07
10  7  4.69626e+07
10  8  5.11924e+07
10  9  5.2156e+07
10  10  5.23161e+07
10  11  5.21053e+07
10  12  6.43574e+07
10  13  6.72013e+07
10  14  7.28128e+07
10  15  9.25001e+07
10  16  1.09534e+08
10  17  1.00515e+08
10  18  9.46549e+07
10  19  1.16518e+08
10  20  1.13403e+08
10  21  1.1909e+08
10  22  1.40062e+08
10  23  1.62072e+08
10  24  2.00845e+08
10  25  1.4674e+08
10  26  1.2755e+08
10  27  1.07995e+08
10  28  8.24364e+07
10  29  1.01624e+08
10  30  8.40106e+07
10  31  1.16978e+08
10  32  9.10179e+07
10  33  1.07981e+08
10  34  1.68449e+08
10  35  1.14964e+08
10  36  9.30071e+07
10  37  9.57095e+07
10  38  9.32578e+07
10  39  6.7953e+07
10  40  5.64626e+07
10  41  5.89415e+07
10  42  5.02955e+07
10  43  5.68789e+07
10  44  5.89341e+07
10  45  5.79218e+07
10  46  5.18403e+07
10  47  4.6121e+07
10  48  2.71059e+07
10  49  4.99986e+07
10  50  3.27599e+07
11  0  5.19296e+07
11  1  4.7971e+07
11  2  6.33719e+07
11  3  6.00168e+07
11  4  4.94724e+07
11  5  5.8528e+07
11  6  5.76772e+07
11  7  6.21847e+07
11  8  6.37406e+07
