row  column  (images_8.edf Mn_K*images_8.edf Ar_K**2.3)
6  43  1.26346e+07
6  44  2.31061e+07
6  45  8.84366e+06
6  46  2.38371e+07
6  47  2.17283e+07
6  48  1.74539e+07
6  49  1.4082e+07
6  50  1.6973e+07
7  0  4.60702e+06
7  1  7.40879e+06
7  2  1.07409e+07
7  3  8.10407e+06
7  4  1.21192e+07
7  5  1.22039e+07
7  6  7.61237e+06
7  7  7.93668e+06
7  8  1.27938e+07
7  9  7.54537e+06
7  10  1.04881e+07
7  11  8.7223e+06
7  12  8.71351e+06
7  13  1.18979e+07
7  14  1.16683e+07
7  15  4.22715e+06
7  16  8.72244e+06
7  17  6.92888e+06
7  18  7.42453e+06
7  19  8.63886e+06
7  20  1.30411e+07
7  21  6.46712e+06
7  22  0
7  23  5.12913e+06
7  24  8.17719e+06
7  25  7.06236e+06
7  26  1.41536e+07
7  27  1.05619e+07
7  28  1.01839e+07
7  29  1.65171e+07
7  30  1.20728e+07
7  31  9.77784e+06
7  32  1.1062e+07
7  33  8.35039e+06
7  34  1.12364e+07
7  35  6.75823e+06
7  36  7.51573e+06
7  37  1.07312e+07
7  38  1.16991e+07
7  39  7.20612e+06
7  40  1.11851e+07
7  41  1.3754e+07
7  42  2.17938e+07
7  43  1.42452e+07
7  44  2.40997e+07
7  45  2.44525e+07
7  46  1.87219e+07
7  47  2.37536e+07
7  48  1.1053e+07
7  49  1.80652e+07
7  50  1.72589e+07
8  0  8.55148e+06
8  1  1.14863e+07
8  2  5.69955e+06
8  3  7.88097e+06
8  4  8.55517e+06
8  5  6.74334e+06
8  6  2.77532e+06
8  7  6.3584e+06
8  8  1.22552e+07
8  9  6.97907e+06
8  10  7.91086e+06
8  11  6.44502e+06
8  12  6.51317e+06
8  13  9.41831e+06
8  14  8.351e+06
8  15  8.8278e+06
8  16  9.58867e+06
8  17  1.87008e+06
8  18  4.43297e+06
8  19  8.09206e+06
8  20  1.15775e+07
8  21  7.60729e+06
8  22  6.33052e+06
8  23  6.54822e+06
8  24  1.09673e+07
