row  column  (images_8.edf Zn_K*images_8.edf Ar_K**2.3)
16  30  7.1084e+07
16  31  9.90346e+07
16  32  8.4298e+07
16  33  4.9344e+07
16  34  5.87171e+07
16  35  5.55996e+07
16  36  4.36273e+07
16  37  2.01862e+07
16  38  3.74534e+07
16  39  4.29552e+07
16  40  3.33653e+07
16  41  4.95969e+07
16  42  5.1096e+07
16  43  9.97673e+07
16  44  7.82907e+07
16  45  7.3632e+07
16  46  5.63699e+07
16  47  4.82869e+07
16  48  5.00363e+07
16  49  5.954e+07
16  50  4.83772e+07
17  0  6.45424e+07
17  1  7.56754e+07
17  2  8.90103e+07
17  3  8.22312e+07
17  4  6.58018e+07
17  5  6.64668e+07
17  6  5.85347e+07
17  7  4.7217e+07
17  8  5.67457e+07
17  9  8.14456e+07
17  10  9.12741e+07
17  11  7.9106e+07
17  12  9.54476e+07
17  13  8.34786e+07
17  14  6.53115e+07
17  15  6.53131e+07
17  16  6.36234e+07
17  17  6.39807e+07
17  18  9.48373e+07
17  19  8.54661e+07
17  20  5.82638e+07
17  21  3.36724e+07
17  22  5.31258e+07
17  23  5.82873e+07
17  24  4.39819e+07
17  25  6.51549e+07
17  26  5.97549e+07
17  27  5.95446e+07
17  28  6.35543e+07
17  29  8.44309e+07
17  30  8.67281e+07
17  31  9.52801e+07
17  32  9.50992e+07
17  33  7.84983e+07
17  34  8.08786e+07
17  35  8.14369e+07
17  36  4.46657e+07
17  37  2.19846e+07
17  38  5.13214e+07
17  39  4.34694e+07
17  40  3.8631e+07
17  41  4.71416e+07
17  42  4.44323e+07
17  43  6.32852e+07
17  44  7.35893e+07
17  45  7.27657e+07
17  46  8.66596e+07
17  47  4.37967e+07
17  48  2.62342e+07
17  49  3.9023e+07
17  50  3.20248e+07
18  0  7.66458e+07
18  1  7.66583e+07
18  2  8.02809e+07
18  3  7.38044e+07
18  4  8.58586e+07
18  5  7.29403e+07
18  6  6.18021e+07
18  7  5.65133e+07
18  8  5.02239e+07
18  9  7.87768e+07
18  10  8.5267e+07
18  11  9.00252e+07
18  12  8.40144e+07
18  13  7.94104e+07
18  14  5.42908e+07
18  15  6.9729e+07
18  16  4.89545e+07
18  17  6.29899e+07
18  18  7.95892e+07
18  19  8.28839e+07
18  20  4.82309e+07
18  21  3.27859e+07
18  22  4.56931e+07
18  23  6.3482e+07
18  24  3.80209e+07
18  25  4.61425e+07
18  26  6.08964e+07
18  27  6.41597e+07
18  28  6.4045e+07
18  29  9.49789e+07
18  30  8.90095e+07
18  31  7.83906e+07
18  32  8.86702e+07
18  33  9.66716e+07
18  34  1.16113e+08
18  35  8.67961e+07
18  36  3.9178e+07
18  37  2.72086e+07
18  38  3.55942e+07
18  39  4.09707e+07
18  40  2.52281e+07
18  41  3.0444e+07
18  42  3.0205e+07
18  43  4.62166e+07
18  44  5.58945e+07
18  45  5.66841e+07
18  46  6.98004e+07
18  47  4.14413e+07
18  48  2.96659e+07
18  49  2.72868e+07
18  50  2.32853e+07
19  0  8.90301e+07
19  1  7.24441e+07
19  2  9.45968e+07
19  3  6.94948e+07
19  4  7.52334e+07
19  5  6.70762e+07
19  6  6.18506e+07
19  7  4.68897e+07
19  8  4.1931e+07
19  9  7.08738e+07
19  10  7.56451e+07
19  11  7.46279e+07
19  12  7.5384e+07
19  13  8.08e+07
19  14  5.52928e+07
19  15  6.46472e+07
19  16  5.45778e+07
19  17  6.50004e+07
19  18  7.73323e+07
19  19  6.71485e+07
19  20  3.82636e+07
19  21  2.13308e+07
19  22  4.31604e+07
19  23  4.61554e+07
19  24  3.65635e+07
19  25  7.27702e+07
19  26  5.94549e+07
19  27  6.99754e+07
19  28  7.51099e+07
19  29  9.26847e+07
19  30  8.01461e+07
19  31  9.66059e+07
19  32  9.74695e+07
19  33  1.02515e+08
19  34  1.03136e+08
19  35  1.06823e+08
19  36  4.27745e+07
19  37  2.35041e+07
19  38  5.08031e+07
19  39  3.94058e+07
19  40  3.10119e+07
19  41  3.08592e+07
19  42  3.5254e+07
19  43  4.1537e+07
19  44  3.58963e+07
19  45  4.85119e+07
19  46  4.53316e+07
19  47  2.75606e+07
19  48  2.66915e+07
19  49  2.52072e+07
19  50  4.02117e+07
20  0  7.97401e+07
20  1  6.9151e+07
20  2  8.88011e+07
20  3  7.13668e+07
20  4  6.4555e+07
20  5  8.34356e+07
20  6  7.27552e+07
20  7  4.09399e+07
20  8  6.61882e+07
20  9  7.08693e+07
20  10  7.11451e+07
20  11  6.67912e+07
20  12  8.36453e+07
20  13  7.43205e+07
20  14  6.91453e+07
20  15  8.8486e+07
20  16  7.23157e+07
20  17  7.37475e+07
20  18  7.92432e+07
20  19  6.12662e+07
20  20  5.49532e+07
20  21  2.40042e+07
20  22  3.20419e+07
20  23  3.36475e+07
20  24  2.30497e+07
20  25  5.24817e+07
20  26  6.93077e+07
20  27  7.71982e+07
20  28  7.20234e+07
20  29  8.12171e+07
20  30  8.25798e+07
20  31  7.87848e+07
20  32  9.34218e+07
20  33  8.58288e+07
20  34  1.05611e+08
20  35  9.55787e+07
20  36  6.41746e+07
20  37  3.10184e+07
20  38  8.12721e+07
20  39  3.3291e+07
20  40  2.88283e+07
20  41  2.63787e+07
20  42  3.11304e+07
20  43  3.32622e+07
20  44  3.25316e+07
20  45  4.24883e+07
20  46  4.77523e+07
20  47  2.56759e+07
20  48  4.66543e+07
20  49  3.38508e+07
20  50  3.32535e+07
21  0  8.348e+07
21  1  7.79641e+07
21  2  8.51715e+07
21  3  5.30228e+07
21  4  7.14268e+07
21  5  9.33583e+07
21  6  9.39351e+07
21  7  8.36557e+07
21  8  6.66662e+07
21  9  6.39014e+07
21  10  8.43018e+07
21  11  1.02837e+08
21  12  9.31884e+07
21  13  8.50871e+07
21  14  8.52848e+07
21  15  8.75862e+07
21  16  8.65131e+07
21  17  1.02294e+08
21  18  7.41454e+07
21  19  7.0212e+07
21  20  5.29756e+07
21  21  1.76907e+07
21  22  2.13846e+07
21  23  2.74076e+07
21  24  4.3285e+07
21  25  6.21483e+07
21  26  4.48752e+07
21  27  6.04456e+07
21  28  6.92598e+07
21  29  6.14191e+07
21  30  5.54844e+07
21  31  6.33638e+07
21  32  6.71231e+07
21  33  7.53424e+07
21  34  9.57873e+07
21  35  8.99448e+07
21  36  6.25525e+07
21  37  2.59288e+07
21  38  7.18887e+07
21  39  4.19945e+07
21  40  3.78354e+07
21  41  2.46633e+07
21  42  4.4539e+07
21  43  3.20282e+07
21  44  4.07429e+07
21  45  3.15476e+07
21  46  5.37508e+07
21  47  4.42559e+07
21  48  5.16016e+07
21  49  5.02387e+07
21  50  4.32055e+07
22  0  7.48759e+07
22  1  8.74484e+07
22  2  1.01044e+08
22  3  5.92338e+07
22  4  7.03331e+07
22  5  1.02507e+08
22  6  1.14577e+08
22  7  9.14664e+07
22  8  7.80372e+07
22  9  7.98583e+07
22  10  7.69193e+07
22  11  9.60535e+07
22  12  1.13986e+08
22  13  1.0975e+08
22  14  9.47443e+07
22  15  8.36223e+07
22  16  1.00683e+08
22  17  7.95021e+07
22  18  8.37864e+07
22  19  8.4225e+07
22  20  6.07748e+07
22  21  3.3892e+07
22  22  1.93004e+07
22  23  3.20849e+07
22  24  3.4385e+07
22  25  3.23817e+07
22  26  4.61709e+07
22  27  4.19672e+07
22  28  5.43944e+07
22  29  5.51586e+07
22  30  4.63033e+07
22  31  6.49411e+07
22  32  5.04334e+07
22  33  6.8107e+07
22  34  6.92408e+07
22  35  6.7647e+07
22  36  5.77445e+07
22  37  4.30331e+07
22  38  6.97475e+07
22  39  6.01947e+07
22  40  5.0039e+07
22  41  5.09854e+07
22  42  4.73583e+07
22  43  5.88396e+07
22  44  5.54743e+07
22  45  4.35795e+07
22  46  5.77115e+07
22  47  6.30672e+07
22  48  6.27039e+07
22  49  7.07388e+07
22  50  6.9242e+07
23  0  7.93823e+07
23  1  8.25487e+07
23  2  9.76316e+07
23  3  5.05693e+07
23  4  8.96572e+07
23  5  1.24446e+08
23  6  1.1554e+08
23  7  1.12139e+08
23  8  1.01798e+08
23  9  8.12276e+07
23  10  8.57774e+07
