row  column  (images_8.edf Cu_K*images_8.edf Ar_K**2.3)
20  36  1.44452e+07
20  37  0
20  38  1.45321e+07
20  39  6.64543e+06
20  40  858243
20  41  5.7736e+06
20  42  1.00509e+07
20  43  8.04312e+06
20  44  9.62231e+06
20  45  5.299e+06
20  46  5.55039e+06
20  47  0
20  48  1.68611e+07
20  49  3.03337e+06
20  50  8.79442e+06
21  0  1.00503e+07
21  1  1.12936e+07
21  2  6.26937e+06
21  3  1.29805e+07
21  4  8.98688e+06
21  5  8.7183e+06
21  6  8.17245e+06
21  7  5.91186e+06
21  8  8.71741e+06
21  9  1.11365e+07
21  10  8.39667e+06
21  11  7.99205e+06
21  12  1.43499e+07
21  13  1.27312e+07
21  14  4.97716e+06
21  15  1.27822e+07
21  16  1.39021e+07
21  17  1.58792e+07
21  18  1.67317e+07
21  19  1.30312e+07
21  20  9.92533e+06
21  21  7.48812e+06
21  22  238287
21  23  9.85285e+06
21  24  9.5451e+06
21  25  1.4281e+07
21  26  8.55191e+06
21  27  1.34324e+07
21  28  1.62889e+07
21  29  5.06833e+06
21  30  6.91641e+06
21  31  9.45595e+06
21  32  6.27012e+06
21  33  1.64446e+07
21  34  9.34355e+06
21  35  1.13662e+07
21  36  1.43377e+07
21  37  1.70752e+07
21  38  1.02264e+07
21  39  9.78461e+06
21  40  8.70606e+06
21  41  7.31708e+06
21  42  6.40107e+06
21  43  6.85114e+06
21  44  5.67516e+06
21  45  1.22329e+07
21  46  1.02715e+07
21  47  1.13747e+07
21  48  5.69774e+06
21  49  1.2916e+07
21  50  5.83987e+06
22  0  6.2318e+06
22  1  8.27652e+06
22  2  8.85154e+06
22  3  5.49403e+06
22  4  1.3085e+07
22  5  6.91146e+06
22  6  1.19091e+07
22  7  7.223e+06
22  8  7.83628e+06
22  9  8.59943e+06
22  10  8.65743e+06
22  11  8.1013e+06
22  12  1.49788e+07
22  13  1.79739e+07
22  14  1.21829e+07
22  15  1.28447e+07
22  16  1.34343e+07
22  17  1.06566e+07
22  18  1.19843e+07
22  19  1.32175e+07
22  20  1.06523e+07
22  21  6.2284e+06
22  22  1.12835e+07
22  23  7.8642e+06
22  24  6.76333e+06
