row  column  (images_8.edf P_K*images_8.edf Ar_K**2.3)
14  41  0
14  42  0
14  43  7.28286e+06
14  44  0
14  45  0
14  46  0
14  47  0
14  48  0
14  49  0
14  50  0
15  0  0
15  1  0
15  2  0
15  3  0
15  4  0
15  5  0
15  6  6.77234e+06
15  7  0
15  8  7.25305e+06
15  9  0
15  10  0
15  11  7.87743e+06
15  12  0
15  13  0
15  14  1.18697e+07
15  15  8.3916e+06
15  16  1.38919e+07
15  17  1.20474e+07
15  18  1.62409e+07
15  19  0
15  20  0
15  21  0
15  22  0
15  23  0
15  24  7.55891e+06
15  25  0
15  26  8.70147e+06
15  27  1.75266e+07
15  28  1.12187e+07
15  29  1.04108e+07
15  30  1.15942e+07
15  31  1.67323e+07
15  32  1.89757e+07
15  33  7.68093e+06
15  34  0
15  35  0
15  36  0
15  37  0
15  38  1.86446e+07
15  39  1.28638e+07
15  40  0
15  41  0
15  42  1.10832e+07
15  43  0
15  44  1.25618e+07
15  45  0
15  46  0
15  47  0
15  48  0
15  49  0
15  50  0
16  0  0
16  1  0
16  2  0
16  3  1.03023e+07
16  4  6.35443e+06
16  5  0
16  6  0
16  7  0
16  8  0
16  9  0
16  10  0
16  11  1.02761e+07
16  12  0
16  13  0
16  14  9.2652e+06
16  15  0
16  16  0
16  17  1.68352e+07
16  18  2.35176e+07
16  19  1.62932e+07
16  20  0
16  21  0
16  22  0
16  23  8.12548e+06
16  24  8.36823e+06
16  25  1.55696e+07
16  26  0
16  27  1.43664e+07
16  28  1.49247e+07
16  29  1.78084e+07
16  30  1.39152e+07
16  31  0
16  32  1.23176e+07
16  33  0
16  34  0
16  35  0
16  36  0
16  37  1.10641e+07
16  38  1.71726e+07
16  39  8.53378e+06
16  40  0
16  41  7.38239e+06
16  42  0
16  43  0
16  44  0
16  45  0
16  46  0
16  47  0
16  48  0
16  49  0
16  50  0
17  0  0
17  1  0
17  2  0
17  3  0
17  4  0
17  5  0
17  6  0
17  7  0
17  8  1.3756e+07
17  9  0
17  10  0
17  11  0
17  12  1.58438e+07
17  13  0
17  14  0
17  15  7.13474e+06
17  16  0
17  17  1.28873e+07
17  18  2.12528e+07
17  19  9.85089e+06
17  20  0
17  21  0
17  22  0
17  23  0
17  24  0
17  25  1.00367e+07
17  26  1.07042e+07
17  27  7.02796e+06
17  28  1.35505e+07
17  29  1.71547e+07
17  30  1.20707e+07
17  31  7.47861e+06
17  32  1.31388e+07
17  33  1.22055e+07
17  34  0
17  35  0
17  36  1.40994e+07
17  37  0
17  38  1.3664e+07
17  39  1.14245e+07
17  40  0
17  41  0
17  42  0
17  43  0
17  44  0
17  45  0
17  46  0
17  47  0
