row  column  (images_8.edf S_K*images_8.edf Ar_K**2.3)
10  9  3.95706e+07
10  10  3.82704e+07
10  11  5.93523e+07
10  12  6.52431e+07
10  13  5.62586e+07
10  14  6.96645e+07
10  15  7.22629e+07
10  16  6.19169e+07
10  17  5.93413e+07
10  18  4.87766e+07
10  19  5.58754e+07
10  20  4.15495e+07
10  21  3.83452e+07
10  22  4.13917e+07
10  23  3.18148e+07
10  24  4.43206e+07
10  25  2.87523e+07
10  26  3.61654e+07
10  27  3.76029e+07
10  28  1.39533e+07
10  29  0
10  30  1.5552e+07
10  31  2.39989e+07
10  32  1.39052e+07
10  33  2.03913e+07
10  34  2.02055e+07
10  35  1.1801e+07
10  36  2.29505e+06
10  37  2.50339e+07
10  38  1.70064e+07
10  39  0
10  40  0
10  41  0
10  42  0
10  43  0
10  44  0
10  45  0
10  46  0
10  47  0
10  48  0
10  49  0
10  50  0
11  0  4.86209e+07
11  1  4.84645e+07
11  2  6.06472e+07
11  3  5.054e+07
11  4  5.42811e+07
11  5  6.47975e+07
11  6  5.64826e+07
11  7  3.42499e+07
11  8  3.45514e+07
11  9  3.32918e+07
11  10  5.13091e+07
11  11  6.73902e+07
11  12  5.43204e+07
11  13  7.04745e+07
11  14  6.34094e+07
11  15  5.4867e+07
11  16  7.44869e+07
11  17  5.54674e+07
11  18  5.99904e+07
11  19  4.46381e+07
11  20  4.39025e+07
11  21  4.33298e+07
11  22  3.99784e+07
11  23  2.8535e+07
11  24  2.94786e+07
11  25  2.77496e+07
11  26  2.28714e+07
11  27  2.56883e+07
11  28  2.35573e+07
11  29  1.2558e+07
11  30  1.50668e+07
11  31  2.77706e+07
11  32  1.07563e+07
11  33  2.29716e+07
11  34  1.60343e+07
11  35  1.29826e+07
11  36  2.1825e+07
11  37  1.41475e+07
11  38  0
11  39  0
11  40  0
11  41  0
11  42  0
11  43  0
11  44  0
11  45  0
11  46  0
11  47  0
11  48  0
11  49  0
11  50  0
12  0  4.28462e+07
12  1  4.21202e+07
12  2  5.01667e+07
12  3  4.29508e+07
12  4  4.87599e+07
12  5  6.06779e+07
12  6  5.79081e+07
12  7  3.34457e+07
12  8  4.04705e+07
12  9  4.50837e+07
12  10  4.39465e+07
12  11  5.92053e+07
12  12  7.34795e+07
12  13  6.32084e+07
12  14  6.37865e+07
12  15  5.20943e+07
12  16  7.76938e+07
12  17  4.51762e+07
12  18  5.37687e+07
12  19  5.79657e+07
12  20  3.35346e+07
12  21  2.72205e+07
12  22  3.18386e+07
12  23  4.72715e+07
12  24  2.88974e+07
12  25  3.71505e+07
12  26  1.92649e+07
12  27  2.78243e+07
12  28  2.78416e+07
12  29  2.31866e+07
12  30  2.2011e+07
12  31  2.65543e+07
12  32  1.71681e+07
12  33  2.83626e+07
12  34  2.14562e+07
12  35  1.20466e+07
12  36  2.53737e+07
12  37  1.50663e+07
12  38  2.12934e+07
12  39  0
