row  column  (images_33.edf S-K*images_33.edf Ar-K**2.3)
11  29  2.92927e+07
11  30  0
11  31  0
11  32  0
11  33  2.03343e+07
11  34  2.45365e+07
11  35  3.02251e+07
11  36  3.74511e+07
11  37  4.06693e+07
11  38  7.5321e+07
11  39  2.85849e+07
11  40  0
11  41  2.65601e+07
11  42  0
11  43  3.28744e+07
11  44  2.96615e+07
11  45  0
11  46  0
11  47  0
11  48  0
11  49  0
11  50  0
12  0  0
12  1  0
12  2  0
12  3  0
12  4  0
12  5  0
12  6  0
12  7  2.95051e+07
12  8  6.22884e+07
12  9  6.38109e+07
12  10  2.69295e+07
12  11  0
12  12  0
12  13  0
12  14  0
12  15  0
12  16  0
12  17  3.43499e+07
12  18  2.29632e+07
12  19  5.32964e+07
12  20  2.66465e+07
12  21  3.62657e+07
12  22  2.95297e+07
12  23  5.12164e+07
12  24  2.54272e+07
12  25  3.23519e+07
12  26  4.443e+07
12  27  2.60996e+07
12  28  0
12  29  0
12  30  0
12  31  0
12  32  0
12  33  0
12  34  3.76777e+07
12  35  2.98025e+07
12  36  5.01391e+07
12  37  4.16527e+07
12  38  4.59554e+07
12  39  5.34442e+07
12  40  2.93197e+07
12  41  2.34735e+07
12  42  1.6641e+07
12  43  2.9707e+07
12  44  5.21799e+07
12  45  3.46456e+07
12  46  0
12  47  0
12  48  0
12  49  0
12  50  0
13  0  0
13  1  0
13  2  0
13  3  0
13  4  0
13  5  0
13  6  0
13  7  1.71124e+07
13  8  4.86211e+07
13  9  8.54405e+07
13  10  3.00558e+07
13  11  0
13  12  0
13  13  0
13  14  0
13  15  0
13  16  1.47787e+07
13  17  0
13  18  2.59824e+07
13  19  0
13  20  3.68351e+07
13  21  3.47206e+07
13  22  5.188e+07
13  23  2.746e+07
13  24  0
13  25  3.72483e+07
13  26  5.15991e+07
13  27  4.25666e+07
13  28  0
13  29  2.04841e+07
13  30  0
13  31  0
13  32  0
13  33  0
13  34  2.9527e+07
13  35  6.26996e+07
13  36  8.15168e+07
13  37  4.1281e+07
13  38  4.64167e+07
13  39  5.42666e+07
13  40  5.77674e+07
13  41  5.49851e+07
13  42  2.42144e+07
13  43  5.08051e+07
13  44  5.25404e+07
13  45  3.12636e+07
13  46  0
13  47  0
13  48  0
13  49  0
13  50  0
14  0  0
14  1  0
14  2  0
14  3  0
14  4  0
14  5  0
14  6  0
14  7  1.62003e+07
14  8  8.37708e+07
14  9  5.86141e+07
14  10  0
14  11  0
14  12  0
14  13  0
14  14  0
14  15  0
14  16  0
14  17  0
14  18  0
14  19  1.99985e+07
14  20  3.99448e+07
14  21  4.12505e+07
14  22  5.73143e+07
14  23  5.67053e+07
14  24  4.37353e+07
14  25  2.52017e+07
14  26  2.21435e+07
14  27  4.88163e+07
14  28  0
14  29  2.83078e+07
14  30  2.48299e+07
14  31  0
14  32  0
14  33  0
14  34  2.05845e+07
14  35  3.59871e+07
14  36  4.98559e+07
14  37  4.8517e+07
14  38  5.87267e+07
14  39  6.4034e+07
14  40  4.69504e+07
14  41  3.96125e+07
14  42  1.36893e+07
14  43  3.29137e+07
14  44  3.93616e+07
14  45  3.89893e+07
14  46  0
14  47  0
14  48  0
14  49  0
14  50  0
15  0  0
15  1  0
15  2  0
15  3  0
15  4  0
15  5  0
15  6  0
15  7  1.07345e+07
15  8  4.28099e+07
15  9  8.70396e+07
15  10  3.18405e+07
15  11  0
15  12  0
15  13  0
15  14  0
15  15  0
15  16  0
15  17  1.92348e+07
15  18  2.21611e+07
15  19  7.4351e+06
15  20  4.83969e+07
15  21  5.03701e+07
15  22  3.40565e+07
15  23  4.49837e+07
15  24  2.27776e+07
15  25  6.28764e+07
15  26  5.43728e+07
15  27  4.72643e+07
15  28  2.81964e+07
15  29  0
