row  column  (images_33.edf Fe-K*images_33.edf Ar-K**2.3)
8  9  2.11243e+08
8  10  1.27797e+08
8  11  1.27559e+08
8  12  1.31162e+08
8  13  1.91926e+08
8  14  1.36943e+08
8  15  2.15703e+08
8  16  2.34218e+08
8  17  2.2184e+08
8  18  1.9025e+08
8  19  1.38995e+08
8  20  1.36056e+08
8  21  1.41165e+08
8  22  1.24503e+08
8  23  1.5049e+08
8  24  1.21153e+08
8  25  1.49572e+08
8  26  1.38948e+08
8  27  1.33131e+08
8  28  1.30784e+08
8  29  1.66774e+08
8  30  1.60557e+08
8  31  1.64369e+08
8  32  1.61283e+08
8  33  1.59576e+08
8  34  1.48304e+08
8  35  1.6601e+08
8  36  1.9098e+08
8  37  1.7661e+08
8  38  1.66205e+08
8  39  1.77533e+08
8  40  1.47046e+08
8  41  2.27923e+08
8  42  4.47645e+08
8  43  2.83509e+08
8  44  2.77255e+08
8  45  4.12741e+08
8  46  8.19964e+08
8  47  3.81211e+08
8  48  2.83181e+08
8  49  2.28556e+08
8  50  2.42974e+08
9  0  6.61709e+07
9  1  4.95378e+07
9  2  4.64769e+07
9  3  8.11528e+07
9  4  1.08489e+08
9  5  1.12293e+08
9  6  1.23057e+08
9  7  1.65588e+08
9  8  2.00032e+08
9  9  1.77344e+08
9  10  1.47504e+08
9  11  1.81684e+08
9  12  1.011e+08
9  13  1.87579e+08
9  14  1.41731e+08
9  15  2.54893e+08
9  16  2.49685e+08
9  17  2.31718e+08
9  18  1.83672e+08
9  19  1.39651e+08
9  20  1.38494e+08
9  21  1.33603e+08
9  22  1.32112e+08
9  23  1.46275e+08
9  24  1.19344e+08
9  25  1.09253e+08
9  26  1.34836e+08
9  27  1.20017e+08
9  28  1.0172e+08
9  29  1.53762e+08
9  30  1.48914e+08
9  31  1.47877e+08
9  32  1.78729e+08
9  33  1.53266e+08
9  34  1.67924e+08
9  35  1.60485e+08
9  36  1.70919e+08
9  37  1.6365e+08
9  38  1.67269e+08
9  39  1.9402e+08
9  40  1.86092e+08
9  41  2.77976e+08
9  42  5.53397e+08
9  43  3.91552e+08
9  44  2.72494e+08
9  45  3.51717e+08
9  46  9.92457e+08
9  47  3.49801e+08
9  48  3.17969e+08
9  49  2.21209e+08
9  50  2.75037e+08
10  0  4.92281e+07
10  1  7.76766e+07
10  2  5.47875e+07
10  3  7.77318e+07
10  4  8.01744e+07
10  5  7.25416e+07
10  6  1.32199e+08
10  7  1.13707e+08
10  8  1.86568e+08
10  9  2.00231e+08
10  10  1.59276e+08
10  11  2.16287e+08
10  12  1.14062e+08
10  13  1.89171e+08
10  14  1.23987e+08
10  15  1.87036e+08
10  16  2.46538e+08
10  17  2.08714e+08
10  18  2.20688e+08
10  19  1.45824e+08
10  20  1.27267e+08
10  21  1.4129e+08
10  22  1.33483e+08
10  23  1.2689e+08
10  24  1.3408e+08
10  25  1.15455e+08
10  26  1.22724e+08
10  27  1.24476e+08
10  28  1.08833e+08
10  29  1.28371e+08
10  30  1.58829e+08
10  31  1.63293e+08
10  32  1.65013e+08
10  33  1.4067e+08
10  34  1.48427e+08
10  35  1.66182e+08
10  36  1.94987e+08
10  37  1.74093e+08
10  38  1.81964e+08
10  39  1.82602e+08
10  40  1.70329e+08
10  41  2.85804e+08
10  42  5.80316e+08
10  43  4.45585e+08
10  44  3.20104e+08
10  45  3.91076e+08
10  46  1.2397e+09
10  47  3.93005e+08
10  48  3.06897e+08
10  49  2.40388e+08
10  50  2.82635e+08
11  0  4.82792e+07
11  1  4.45668e+07
11  2  5.9674e+07
11  3  6.93491e+07
11  4  1.07429e+08
11  5  9.35593e+07
11  6  9.81302e+07
11  7  1.85437e+08
11  8  1.75886e+08
11  9  2.10805e+08
11  10  1.7594e+08
11  11  1.37128e+08
11  12  1.33155e+08
11  13  1.03895e+08
11  14  1.45614e+08
11  15  2.35321e+08
11  16  2.29094e+08
11  17  2.02217e+08
11  18  1.76853e+08
11  19  2.02211e+08
11  20  1.61198e+08
11  21  1.21957e+08
11  22  1.23039e+08
11  23  1.3027e+08
11  24  1.08253e+08
11  25  1.33076e+08
11  26  1.25463e+08
11  27  1.40286e+08
11  28  1.34874e+08
11  29  1.27282e+08
11  30  1.6177e+08
11  31  1.65707e+08
11  32  1.63173e+08
11  33  1.65736e+08
11  34  1.77723e+08
11  35  1.63566e+08
11  36  1.75791e+08
11  37  1.82142e+08
11  38  2.38098e+08
11  39  1.94182e+08
11  40  2.0873e+08
11  41  3.13134e+08
11  42  8.66512e+08
11  43  4.41081e+08
11  44  3.53737e+08
11  45  4.40383e+08
11  46  1.42838e+09
11  47  4.37026e+08
11  48  3.19284e+08
11  49  3.23153e+08
11  50  3.90295e+08
12  0  5.00442e+07
12  1  4.8442e+07
12  2  4.81988e+07
12  3  7.51105e+07
12  4  9.41527e+07
12  5  9.42683e+07
12  6  1.137e+08
12  7  1.71356e+08
12  8  1.73868e+08
12  9  2.28061e+08
12  10  1.82781e+08
12  11  1.69539e+08
12  12  9.41509e+07
12  13  1.36654e+08
12  14  1.45764e+08
12  15  1.55381e+08
12  16  2.54231e+08
12  17  2.23029e+08
12  18  1.83137e+08
12  19  1.79685e+08
12  20  1.51961e+08
12  21  1.2962e+08
12  22  1.09711e+08
12  23  1.21584e+08
12  24  1.0213e+08
12  25  1.30166e+08
12  26  1.22217e+08
12  27  1.22009e+08
12  28  1.14821e+08
12  29  1.25405e+08
12  30  1.55939e+08
12  31  1.85407e+08
12  32  1.61378e+08
12  33  1.71691e+08
12  34  1.91974e+08
12  35  2.0438e+08
12  36  1.85366e+08
12  37  1.70497e+08
12  38  2.00406e+08
12  39  2.4418e+08
12  40  1.72058e+08
12  41  3.26268e+08
12  42  9.60676e+08
12  43  6.38279e+08
12  44  3.78497e+08
12  45  3.07735e+08
12  46  8.86057e+08
12  47  3.82331e+08
12  48  3.27691e+08
12  49  2.6122e+08
12  50  3.25152e+08
13  0  5.48321e+07
13  1  5.27852e+07
13  2  6.01101e+07
13  3  6.466e+07
13  4  8.71648e+07
13  5  9.08396e+07
13  6  1.22391e+08
13  7  1.74768e+08
13  8  1.90535e+08
13  9  2.25525e+08
13  10  1.63558e+08
13  11  1.37002e+08
13  12  1.25044e+08
13  13  1.2749e+08
13  14  1.16878e+08
13  15  1.6781e+08
13  16  1.87948e+08
13  17  1.95929e+08
13  18  1.99758e+08
13  19  1.55002e+08
13  20  1.72403e+08
13  21  1.47064e+08
13  22  9.95819e+07
13  23  1.00398e+08
13  24  1.10547e+08
13  25  1.05404e+08
13  26  1.26131e+08
13  27  9.13937e+07
13  28  1.12224e+08
13  29  1.37332e+08
13  30  1.63497e+08
13  31  1.42914e+08
13  32  1.6003e+08
13  33  1.56188e+08
13  34  1.32381e+08
13  35  2.09428e+08
13  36  1.72432e+08
13  37  1.91598e+08
13  38  2.10535e+08
13  39  2.22725e+08
13  40  2.835e+08
13  41  3.92229e+08
13  42  1.33843e+09
13  43  5.3074e+08
13  44  3.4851e+08
13  45  3.53515e+08
13  46  6.48579e+08
13  47  3.36725e+08
13  48  3.80163e+08
13  49  2.94603e+08
13  50  3.67711e+08
14  0  5.55383e+07
14  1  5.83079e+07
14  2  4.89307e+07
14  3  6.05413e+07
14  4  1.0272e+08
14  5  7.84802e+07
14  6  8.37008e+07
14  7  2.19302e+08
14  8  1.78239e+08
14  9  2.63111e+08
14  10  1.92088e+08
14  11  1.27968e+08
14  12  8.89862e+07
14  13  1.33372e+08
14  14  1.30746e+08
14  15  1.77023e+08
14  16  1.77775e+08
14  17  1.82195e+08
14  18  1.8366e+08
14  19  2.01266e+08
14  20  1.6985e+08
14  21  1.41953e+08
14  22  1.09404e+08
14  23  1.222e+08
14  24  1.23987e+08
14  25  8.96917e+07
14  26  1.26989e+08
14  27  1.19123e+08
14  28  1.20901e+08
14  29  1.37035e+08
14  30  1.64145e+08
14  31  1.81361e+08
