row  column  (images_12_23nov.edf P_K*images_12_23nov.edf Ar_K**2.3)
8  46  1.52392e+08
8  47  1.14643e+08
8  48  2.22101e+08
8  49  1.51725e+08
8  50  2.1571e+08
9  0  0
9  1  0
9  2  0
9  3  0
9  4  4.97838e+07
9  5  7.91567e+07
9  6  0
9  7  0
9  8  0
9  9  5.31777e+07
9  10  4.86217e+07
9  11  0
9  12  0
9  13  0
9  14  0
9  15  0
9  16  0
9  17  5.28839e+07
9  18  0
9  19  0
9  20  0
9  21  0
9  22  0
9  23  0
9  24  0
9  25  0
9  26  0
9  27  0
9  28  1.79243e+06
9  29  4.95744e+07
9  30  9.52754e+06
9  31  0
9  32  0
9  33  0
9  34  4.00596e+07
9  35  0
9  36  0
9  37  0
9  38  0
9  39  4.67512e+07
9  40  4.54497e+07
9  41  9.73581e+07
9  42  1.47589e+08
9  43  1.09332e+08
9  44  1.35241e+08
9  45  1.55503e+08
9  46  2.03063e+08
9  47  1.56647e+08
9  48  2.54679e+08
9  49  1.24057e+08
9  50  1.74232e+08
10  0  0
10  1  0
10  2  0
10  3  0
10  4  5.43177e+07
10  5  3.56381e+07
10  6  0
10  7  0
10  8  0
10  9  0
10  10  7.23565e+07
10  11  0
10  12  0
10  13  0
10  14  0
10  15  0
10  16  0
10  17  4.74853e+07
10  18  0
10  19  0
10  20  0
10  21  0
10  22  0
10  23  0
10  24  0
10  25  0
10  26  0
10  27  0
10  28  0
10  29  0
10  30  0
10  31  0
10  32  4.36448e+07
10  33  0
10  34  0
10  35  0
10  36  0
10  37  0
10  38  0
10  39  0
10  40  3.49762e+07
10  41  9.82128e+07
10  42  1.66298e+08
10  43  1.09332e+08
10  44  1.42697e+08
10  45  1.10974e+08
10  46  1.53793e+08
10  47  8.79845e+07
10  48  2.04407e+08
