row  column  (images_12_23nov.edf Fe_K*images_12_23nov.edf Ar_K**2.3)
2  9  5.79668e+08
2  10  5.19444e+08
2  11  5.02333e+08
2  12  5.93766e+08
2  13  5.45046e+08
2  14  5.0212e+08
2  15  5.33647e+08
2  16  5.67816e+08
2  17  5.05895e+08
2  18  4.07257e+08
2  19  5.84825e+08
2  20  4.42846e+08
2  21  5.74829e+08
2  22  4.57998e+08
2  23  5.29079e+08
2  24  4.85197e+08
2  25  5.5089e+08
2  26  7.32756e+08
2  27  6.066e+08
2  28  4.98125e+08
2  29  5.56096e+08
2  30  7.24004e+08
2  31  7.53548e+08
2  32  5.98323e+08
2  33  7.75823e+08
2  34  5.9737e+08
2  35  5.85673e+08
2  36  8.07425e+08
2  37  6.80271e+08
2  38  7.18277e+08
2  39  6.45517e+08
2  40  6.06285e+08
2  41  5.90648e+08
2  42  6.55792e+08
2  43  5.80584e+08
2  44  5.55727e+08
2  45  6.91027e+08
2  46  6.15072e+08
2  47  5.35449e+08
2  48  6.22633e+08
2  49  6.7729e+08
2  50  6.56352e+08
3  0  3.57827e+08
3  1  4.35579e+08
3  2  7.27717e+08
3  3  7.58508e+08
3  4  6.75994e+08
3  5  6.57523e+08
3  6  6.51049e+08
3  7  5.99911e+08
3  8  4.99032e+08
3  9  6.35142e+08
3  10  5.616e+08
3  11  4.79351e+08
3  12  4.5972e+08
3  13  4.38173e+08
3  14  5.16071e+08
3  15  4.66448e+08
3  16  5.12651e+08
3  17  5.54177e+08
3  18  3.45628e+08
3  19  5.17492e+08
3  20  5.88409e+08
3  21  5.3758e+08
3  22  5.53099e+08
3  23  5.91886e+08
3  24  6.02561e+08
3  25  7.28872e+08
3  26  5.56673e+08
3  27  5.72433e+08
3  28  5.77291e+08
3  29  5.56923e+08
3  30  5.75638e+08
3  31  8.41768e+08
3  32  5.91735e+08
3  33  6.9807e+08
3  34  6.11051e+08
3  35  5.59853e+08
3  36  6.55192e+08
3  37  7.03365e+08
3  38  6.26949e+08
3  39  7.09962e+08
3  40  4.98517e+08
3  41  5.9604e+08
3  42  5.3812e+08
3  43  6.27453e+08
3  44  5.56525e+08
3  45  6.85569e+08
3  46  7.27067e+08
3  47  6.18424e+08
3  48  6.04535e+08
3  49  5.87392e+08
3  50  6.16802e+08
4  0  3.31093e+08
4  1  4.1936e+08
4  2  5.53711e+08
4  3  6.87704e+08
4  4  6.39509e+08
4  5  5.47797e+08
4  6  6.22446e+08
4  7  6.0134e+08
4  8  5.82963e+08
4  9  5.1922e+08
4  10  6.0129e+08
4  11  4.58143e+08
4  12  5.17701e+08
4  13  4.81608e+08
4  14  4.88518e+08
4  15  5.38592e+08
4  16  7.06638e+08
4  17  5.5522e+08
4  18  5.05286e+08
4  19  4.66638e+08
4  20  5.18758e+08
4  21  5.70981e+08
4  22  4.80963e+08
4  23  5.54666e+08
4  24  5.89073e+08
4  25  5.77544e+08
4  26  5.83263e+08
4  27  5.40061e+08
4  28  5.49026e+08
4  29  5.84293e+08
4  30  7.06917e+08
4  31  8.35244e+08
4  32  7.10543e+08
4  33  7.14657e+08
4  34  5.32651e+08
4  35  5.65377e+08
4  36  6.29297e+08
4  37  6.6517e+08
4  38  4.80015e+08
4  39  7.30437e+08
4  40  5.33351e+08
4  41  5.16637e+08
4  42  5.94733e+08
4  43  6.2897e+08
4  44  5.721e+08
4  45  6.87755e+08
4  46  6.27586e+08
4  47  5.50231e+08
4  48  5.66636e+08
4  49  5.7186e+08
4  50  5.76003e+08
5  0  4.04753e+08
5  1  4.35118e+08
5  2  4.717e+08
5  3  7.24728e+08
5  4  6.47784e+08
5  5  6.98406e+08
5  6  5.38799e+08
5  7  5.70184e+08
5  8  5.29594e+08
5  9  6.3851e+08
5  10  5.65457e+08
5  11  5.42205e+08
5  12  5.33536e+08
5  13  5.28461e+08
5  14  5.01685e+08
5  15  5.35821e+08
5  16  5.6189e+08
5  17  4.89873e+08
5  18  4.28573e+08
5  19  5.35593e+08
5  20  4.8865e+08
5  21  5.71892e+08
5  22  5.55732e+08
5  23  5.27779e+08
5  24  6.24164e+08
5  25  5.8822e+08
5  26  6.33573e+08
5  27  4.93062e+08
5  28  6.82959e+08
5  29  6.03926e+08
5  30  6.14068e+08
5  31  6.61883e+08
5  32  6.574e+08
5  33  6.45705e+08
5  34  6.4662e+08
5  35  5.76627e+08
5  36  7.64682e+08
5  37  5.75584e+08
5  38  5.36333e+08
5  39  7.03282e+08
5  40  5.36257e+08
5  41  5.3128e+08
5  42  4.98843e+08
5  43  5.19e+08
5  44  5.45991e+08
5  45  5.79525e+08
5  46  6.8339e+08
5  47  5.51471e+08
5  48  6.09057e+08
5  49  5.9883e+08
5  50  5.7463e+08
6  0  2.91235e+08
6  1  3.48828e+08
6  2  4.31202e+08
6  3  8.50089e+08
6  4  7.28825e+08
6  5  7.70105e+08
6  6  6.16645e+08
6  7  5.40698e+08
6  8  5.33376e+08
6  9  7.25952e+08
6  10  6.63661e+08
6  11  4.15636e+08
6  12  4.88161e+08
6  13  4.36517e+08
6  14  4.47698e+08
6  15  5.03789e+08
6  16  5.47301e+08
6  17  6.00081e+08
6  18  4.71027e+08
6  19  5.01118e+08
6  20  5.60169e+08
6  21  6.40482e+08
6  22  6.09698e+08
6  23  5.93959e+08
6  24  5.94965e+08
6  25  6.64652e+08
6  26  5.37873e+08
6  27  5.43547e+08
6  28  6.05677e+08
6  29  6.62452e+08
6  30  5.96034e+08
6  31  6.96697e+08
6  32  6.25876e+08
6  33  6.43462e+08
6  34  5.96592e+08
6  35  5.89875e+08
6  36  7.19353e+08
6  37  5.78833e+08
6  38  6.55568e+08
