row  column  (images_12_23nov.edf Zn_K*images_12_23nov.edf Ar_K**2.3)
7  25  2.7869e+08
7  26  2.5234e+08
7  27  2.6045e+08
7  28  3.56915e+08
7  29  4.48448e+08
7  30  4.20555e+08
7  31  2.91623e+08
7  32  3.29408e+08
7  33  4.02893e+08
7  34  4.65511e+08
7  35  5.79269e+08
7  36  6.35378e+08
7  37  2.73478e+08
7  38  3.63858e+08
7  39  4.64263e+08
7  40  3.57265e+08
7  41  4.03827e+08
7  42  6.09347e+08
7  43  5.43938e+08
7  44  5.50141e+08
7  45  5.32834e+08
7  46  6.72718e+08
7  47  6.77979e+08
7  48  8.10519e+08
7  49  6.9284e+08
7  50  8.21469e+08
8  0  1.07545e+07
8  1  1.0656e+07
8  2  1.00846e+06
8  3  2.75642e+08
8  4  5.60392e+08
8  5  5.82646e+08
8  6  2.86245e+08
8  7  2.65317e+08
8  8  3.14373e+08
8  9  3.54712e+08
8  10  3.43431e+08
8  11  1.31241e+08
8  12  2.49116e+08
8  13  1.89003e+08
8  14  2.6542e+08
8  15  4.23937e+08
8  16  2.46706e+08
8  17  2.5517e+08
8  18  3.89216e+08
8  19  2.42181e+08
8  20  2.77431e+08
8  21  3.48627e+08
8  22  3.40314e+08
8  23  4.15453e+08
8  24  2.80627e+08
8  25  2.34982e+08
8  26  2.98431e+08
8  27  1.21738e+08
8  28  3.4786e+08
8  29  4.00028e+08
8  30  4.12682e+08
8  31  2.57493e+08
8  32  3.27317e+08
8  33  3.70638e+08
8  34  4.63018e+08
8  35  5.14882e+08
8  36  6.34023e+08
8  37  3.91438e+08
8  38  3.24479e+08
8  39  4.70199e+08
8  40  3.7657e+08
8  41  4.40706e+08
8  42  5.52804e+08
8  43  5.52945e+08
8  44  5.50029e+08
8  45  5.29835e+08
8  46  6.40895e+08
8  47  7.42745e+08
8  48  7.52359e+08
8  49  7.22137e+08
8  50  7.0691e+08
9  0  0
9  1  0
9  2  4.40392e+07
9  3  1.65642e+08
9  4  4.85677e+08
9  5  6.52036e+08
9  6  3.33563e+08
9  7  1.62096e+08
9  8  2.33344e+08
9  9  2.30765e+08
9  10  4.20658e+08
9  11  2.69254e+08
9  12  2.57671e+08
9  13  1.205e+08
9  14  1.66801e+08
9  15  1.9417e+08
9  16  1.49001e+08
9  17  3.03448e+08
9  18  3.18383e+08
9  19  2.81595e+08
9  20  2.91533e+08
9  21  3.08622e+08
9  22  3.84271e+08
9  23  4.82357e+08
9  24  2.79058e+08
9  25  2.50647e+08
9  26  2.9064e+08
9  27  1.85241e+08
9  28  2.46809e+08
9  29  4.64045e+08
9  30  4.0743e+08
9  31  4.56242e+08
9  32  3.68271e+08
9  33  1.99868e+08
9  34  3.85504e+08
9  35  5.18371e+08
9  36  5.19634e+08
9  37  3.87802e+08
9  38  3.94597e+08
9  39  4.71369e+08
9  40  3.84863e+08
9  41  4.88351e+08
9  42  6.16075e+08
9  43  6.15115e+08
9  44  6.25728e+08
9  45  5.62007e+08
9  46  6.77476e+08
9  47  6.13498e+08
9  48  7.5008e+08
9  49  7.68106e+08
9  50  7.518e+08
10  0  0
10  1  3.91553e+07
10  2  7.85427e+06
10  3  2.03338e+08
10  4  4.16251e+08
10  5  6.18591e+08
10  6  4.67625e+08
10  7  2.77344e+08
10  8  2.77136e+08
10  9  3.60045e+08
10  10  4.99311e+08
10  11  3.87059e+08
10  12  2.8612e+08
