row  column  (images_18_844.edf S-K*images_18_844.edf Ar-K**2.3)
8  60  0
9  0  0
9  1  7.35049e+06
9  2  0
9  3  0
9  4  8.0772e+06
9  5  1.00206e+07
9  6  8.96343e+06
9  7  1.23482e+07
9  8  508456
9  9  6.91347e+06
9  10  7.37597e+06
9  11  1.32943e+07
9  12  0
9  13  0
9  14  0
9  15  0
9  16  0
9  17  0
9  18  0
9  19  0
9  20  0
9  21  0
9  22  0
9  23  0
9  24  0
9  25  0
9  26  0
9  27  0
9  28  0
9  29  0
9  30  0
9  31  0
9  32  0
9  33  0
9  34  0
9  35  0
9  36  0
9  37  0
9  38  0
9  39  0
9  40  0
9  41  0
9  42  0
9  43  0
9  44  0
9  45  0
9  46  0
9  47  0
9  48  0
9  49  0
9  50  9.81033e+06
9  51  1.11128e+07
9  52  0
9  53  0
9  54  0
9  55  0
9  56  0
9  57  0
9  58  0
9  59  0
9  60  0
10  0  0
10  1  0
10  2  0
10  3  0
10  4  0
10  5  8.49344e+06
10  6  1.60496e+07
10  7  1.12779e+07
10  8  0
10  9  6.6657e+06
10  10  9.02471e+06
10  11  8.66377e+06
10  12  1.2183e+07
10  13  1.16259e+07
10  14  0
10  15  0
10  16  0
10  17  0
10  18  0
10  19  0
10  20  0
10  21  0
10  22  0
10  23  6.94027e+06
10  24  0
10  25  0
10  26  0
10  27  0
10  28  0
10  29  0
10  30  0
10  31  0
10  32  0
10  33  0
10  34  0
10  35  0
10  36  0
10  37  0
10  38  0
10  39  0
10  40  0
10  41  0
10  42  0
10  43  0
10  44  0
10  45  0
10  46  6.88318e+06
10  47  0
10  48  0
10  49  0
10  50  0
10  51  0
10  52  0
10  53  0
10  54  1.0145e+07
10  55  0
10  56  0
10  57  0
10  58  0
10  59  0
