row  column  (images_15_227.edf K-K*images_15_227.edf Ar-K**2.3)
3  55  1.83616e+07
3  56  0
3  57  0
3  58  9.84232e+06
3  59  1.25344e+07
3  60  1.3047e+07
3  61  0
3  62  0
3  63  0
3  64  0
3  65  0
3  66  0
3  67  2.00192e+07
3  68  1.03288e+07
3  69  1.61703e+07
3  70  0
3  71  0
3  72  0
3  73  1.1293e+07
3  74  1.40666e+07
3  75  0
3  76  1.50153e+07
3  77  0
3  78  0
3  79  1.60961e+07
3  80  2.15142e+07
3  81  0
3  82  1.26979e+07
3  83  0
3  84  1.22473e+07
3  85  1.9841e+07
3  86  0
3  87  0
3  88  0
3  89  0
3  90  0
3  91  1.18023e+07
3  92  0
3  93  0
3  94  0
3  95  0
3  96  2.27836e+07
3  97  1.66299e+07
3  98  0
3  99  0
3  100  0
4  0  7.65755e+06
4  1  2.13136e+07
4  2  1.73133e+07
4  3  1.75177e+07
4  4  2.23143e+07
4  5  2.12801e+07
4  6  1.75646e+07
4  7  6.9925e+06
4  8  1.77281e+07
4  9  0
4  10  0
4  11  0
4  12  1.25933e+07
4  13  0
4  14  1.76825e+07
4  15  1.75098e+07
4  16  1.77173e+07
4  17  9.40939e+06
4  18  9.56069e+06
4  19  2.75151e+07
4  20  1.85702e+07
4  21  1.81173e+07
4  22  1.84712e+07
4  23  8.93834e+06
4  24  0
4  25  1.14727e+07
4  26  0
4  27  0
4  28  0
4  29  0
4  30  1.65081e+07
4  31  9.95226e+06
4  32  0
4  33  8.06292e+06
4  34  1.47943e+07
4  35  1.45516e+07
4  36  1.94165e+07
4  37  0
4  38  1.93727e+07
4  39  1.21405e+07
4  40  0
4  41  1.3331e+07
4  42  1.20754e+07
4  43  0
4  44  1.75226e+07
4  45  0
4  46  0
4  47  0
4  48  0
4  49  0
4  50  1.42242e+07
4  51  0
4  52  1.22379e+07
4  53  0
4  54  0
4  55  0
4  56  1.26442e+07
4  57  0
4  58  0
4  59  0
4  60  9.20533e+06
4  61  0
4  62  0
4  63  9.74455e+06
4  64  0
4  65  0
4  66  1.07229e+07
4  67  0
4  68  1.19e+07
4  69  0
4  70  0
4  71  0
4  72  1.40352e+07
4  73  9.16956e+06
4  74  1.14977e+07
4  75  0
4  76  0
4  77  0
4  78  0
4  79  3.30956e+07
4  80  1.4651e+07
4  81  1.19643e+07
4  82  0
4  83  0
4  84  0
4  85  0
4  86  1.30475e+07
4  87  0
4  88  0
4  89  0
4  90  1.26349e+07
4  91  0
4  92  0
4  93  0
4  94  0
4  95  0
4  96  0
4  97  0
4  98  0
4  99  0
4  100  0
5  0  1.38634e+07
5  1  1.75175e+07
5  2  6.36146e+06
5  3  1.03047e+07
5  4  9.3988e+06
5  5  1.7972e+07
5  6  1.23557e+07
5  7  1.35295e+07
5  8  1.72334e+07
5  9  1.6667e+07
5  10  8.58871e+06
5  11  0
5  12  0
5  13  1.37639e+07
5  14  2.01111e+07
5  15  1.67288e+07
5  16  8.74998e+06
5  17  1.61535e+07
5  18  1.36672e+07
5  19  1.35014e+07
5  20  1.16152e+07
5  21  1.74194e+07
5  22  7.94396e+06
5  23  2.02571e+07
5  24  0
5  25  8.18238e+06
5  26  0
5  27  0
5  28  9.33205e+06
5  29  1.73466e+07
5  30  2.26774e+07
5  31  0
5  32  8.5916e+06
5  33  0
5  34  0
5  35  0
5  36  0
5  37  1.59312e+07
5  38  1.27569e+07
5  39  0
5  40  0
5  41  1.76302e+07
5  42  0
5  43  0
5  44  170687
5  45  0
5  46  0
5  47  0
5  48  0
5  49  0
5  50  0
5  51  0
5  52  0
5  53  0
5  54  0
5  55  0
5  56  0
5  57  0
5  58  0
5  59  0
5  60  8.73318e+06
5  61  0
5  62  0
5  63  9.65442e+06
5  64  0
5  65  0
5  66  2.30138e+07
5  67  0
5  68  1.3452e+07
5  69  2.22146e+07
5  70  1.12594e+07
5  71  2.60894e+07
5  72  2.42017e+07
5  73  0
5  74  7.91912e+06
5  75  0
5  76  0
5  77  1.81226e+07
5  78  0
5  79  1.48594e+07
5  80  2.07989e+07
5  81  0
5  82  1.04936e+07
5  83  0
5  84  1.99264e+07
5  85  0
5  86  1.65668e+07
5  87  0
5  88  0
5  89  1.10598e+07
5  90  9.61664e+06
5  91  1.9011e+07
5  92  0
5  93  0
5  94  0
5  95  1.2347e+07
5  96  1.38891e+07
5  97  0
5  98  0
5  99  0
5  100  0
6  0  9.041e+06
6  1  1.94073e+07
6  2  2.17023e+07
6  3  2.58383e+07
6  4  1.51599e+07
6  5  0
6  6  2.75662e+07
6  7  1.43836e+07
6  8  1.21271e+07
6  9  0
6  10  0
6  11  8.33074e+06
6  12  0
6  13  1.6323e+07
6  14  1.85606e+07
6  15  8.97715e+06
6  16  1.12065e+07
6  17  2.1581e+07
6  18  9.17721e+06
