row  column  (images_15_227.edf Zn-K*images_15_227.edf Ar-K**2.3)
3  87  8.73489e+07
3  88  7.19627e+07
3  89  1.00057e+08
3  90  9.70015e+07
3  91  8.75063e+07
3  92  6.64378e+07
3  93  8.35754e+07
3  94  8.375e+07
3  95  6.81643e+07
3  96  7.02956e+07
3  97  5.43416e+07
3  98  5.97327e+07
3  99  7.24001e+07
3  100  9.84713e+07
4  0  8.18568e+07
4  1  8.20091e+07
4  2  1.08974e+08
4  3  1.0185e+08
4  4  8.31234e+07
4  5  1.05113e+08
4  6  1.00809e+08
4  7  4.98783e+07
4  8  5.60632e+07
4  9  8.71284e+07
4  10  5.37817e+07
4  11  5.45082e+07
4  12  8.16356e+07
4  13  9.33186e+07
4  14  1.10814e+08
4  15  1.08943e+08
4  16  9.04181e+07
4  17  8.62284e+07
4  18  7.78633e+07
4  19  7.16205e+07
4  20  7.97571e+07
4  21  5.68606e+07
4  22  4.21695e+07
4  23  4.86203e+07
4  24  5.8914e+07
4  25  7.56703e+07
4  26  6.93048e+07
4  27  6.71035e+07
4  28  4.64665e+07
4  29  6.86104e+07
4  30  6.72683e+07
4  31  7.62858e+07
4  32  9.14131e+07
4  33  7.44655e+07
4  34  7.022e+07
4  35  1.10989e+08
4  36  7.32912e+07
4  37  8.34251e+07
4  38  8.42266e+07
4  39  5.64374e+07
4  40  4.3704e+07
4  41  4.69952e+07
4  42  5.45427e+07
4  43  9.14915e+07
4  44  7.67106e+07
4  45  7.65503e+07
4  46  5.04936e+07
4  47  5.07789e+07
4  48  3.85744e+07
4  49  5.34735e+07
4  50  8.81873e+07
4  51  8.41618e+07
4  52  9.40187e+07
4  53  9.68918e+07
4  54  6.78794e+07
4  55  7.49433e+07
4  56  8.83951e+07
4  57  7.80149e+07
4  58  9.90455e+07
4  59  1.08969e+08
4  60  9.41465e+07
4  61  9.19633e+07
4  62  5.77449e+07
4  63  6.05043e+07
4  64  8.40305e+07
4  65  5.47248e+07
4  66  5.8045e+07
4  67  8.23413e+07
4  68  7.87872e+07
4  69  7.19468e+07
4  70  6.48364e+07
4  71  8.24046e+07
4  72  7.83325e+07
4  73  3.65007e+07
4  74  3.98398e+07
4  75  4.74675e+07
4  76  6.66662e+07
4  77  5.61616e+07
4  78  7.30665e+07
4  79  9.69501e+07
4  80  1.03477e+08
4  81  9.2791e+07
4  82  8.72196e+07
4  83  1.06559e+08
4  84  1.22724e+08
4  85  1.05165e+08
4  86  1.0886e+08
4  87  1.06488e+08
4  88  1.00648e+08
4  89  7.4711e+07
4  90  8.35573e+07
4  91  8.15886e+07
4  92  6.80855e+07
4  93  6.97638e+07
4  94  6.63386e+07
4  95  6.57606e+07
4  96  7.86883e+07
4  97  5.16538e+07
4  98  3.95311e+07
4  99  5.52083e+07
4  100  5.93114e+07
5  0  8.6708e+07
5  1  9.42475e+07
5  2  7.45567e+07
5  3  1.10163e+08
5  4  9.9599e+07
5  5  9.90289e+07
5  6  6.81078e+07
5  7  5.29601e+07
5  8  5.69255e+07
5  9  7.20209e+07
5  10  5.29251e+07
5  11  6.27232e+07
5  12  9.98339e+07
5  13  8.52485e+07
5  14  9.12201e+07
5  15  9.39893e+07
5  16  9.86399e+07
5  17  9.38114e+07
5  18  8.6267e+07
5  19  8.76332e+07
5  20  6.87531e+07
5  21  7.14099e+07
5  22  3.91653e+07
5  23  5.82768e+07
5  24  6.44881e+07
5  25  7.05769e+07
5  26  8.26867e+07
5  27  7.71713e+07
5  28  4.74144e+07
5  29  6.3163e+07
5  30  7.26642e+07
5  31  6.04559e+07
5  32  7.99812e+07
5  33  9.15777e+07
5  34  1.01968e+08
5  35  1.05712e+08
5  36  6.86543e+07
5  37  6.60098e+07
5  38  5.9406e+07
5  39  6.66315e+07
