row  column  (images_6a.edf K-K*images_6a.edf Ar-K**2.3)
5  49  2.43029e+07
5  50  2.72645e+07
5  51  0
5  52  1.18886e+07
5  53  1.78263e+07
5  54  1.99323e+07
5  55  1.53903e+07
5  56  0
5  57  8.26876e+06
5  58  6.57755e+06
5  59  9.25233e+06
5  60  5.34321e+06
5  61  1.96756e+07
5  62  7.15539e+06
5  63  8.22128e+06
5  64  1.39152e+07
5  65  8.44867e+06
5  66  9.56115e+06
5  67  1.08915e+07
5  68  1.49568e+07
5  69  7.51979e+06
5  70  1.42412e+07
5  71  7.60286e+06
5  72  1.35687e+07
5  73  2.751e+07
5  74  2.07989e+07
5  75  2.13225e+07
5  76  2.26359e+07
5  77  1.04075e+07
5  78  7.21763e+06
5  79  1.19986e+07
5  80  1.83192e+07
5  81  1.88208e+07
5  82  2.31254e+07
5  83  1.27207e+07
5  84  4.44688e+06
5  85  75813.2
5  86  6.95361e+06
5  87  1.60819e+07
5  88  1.28723e+07
5  89  2.11837e+07
5  90  6.24513e+06
5  91  1.50255e+07
5  92  1.06054e+07
5  93  7.21574e+06
5  94  3.43311e+07
5  95  5.20459e+06
5  96  6.3216e+06
5  97  1.42518e+07
5  98  2.17063e+07
5  99  1.44583e+07
5  100  9.78378e+06
6  0  1.62909e+06
6  1  1.97509e+06
6  2  1.20681e+07
6  3  8.82427e+06
6  4  1.46252e+07
6  5  0
6  6  3.29615e+06
6  7  1.80728e+07
6  8  3.53783e+06
6  9  4.18975e+06
6  10  1.23166e+07
6  11  8.39313e+06
6  12  1.47863e+06
6  13  2.30627e+06
6  14  0
6  15  0
6  16  0
6  17  2.36534e+06
6  18  1.17657e+07
6  19  8.82486e+06
6  20  5.12374e+06
6  21  3.03557e+06
6  22  0
6  23  1.83492e+07
6  24  8.01887e+06
6  25  7.03741e+06
6  26  5.26229e+06
6  27  5.23701e+06
6  28  1.88575e+07
6  29  2.76132e+06
6  30  1.30537e+07
6  31  8.62652e+06
6  32  5.51778e+06
6  33  1.9706e+07
6  34  1.56101e+07
6  35  0
6  36  1.08012e+07
6  37  1.43839e+07
6  38  1.51182e+07
6  39  0
6  40  8.09996e+06
6  41  1.41099e+06
6  42  2.49642e+06
6  43  9.0134e+06
6  44  1.05649e+07
6  45  8.19985e+06
6  46  3.48266e+07
6  47  8.34289e+06
6  48  1.44308e+07
6  49  1.83861e+07
6  50  2.04948e+07
6  51  8.74181e+06
6  52  1.83191e+07
6  53  1.24016e+07
6  54  1.436e+07
6  55  1.70247e+07
6  56  4.51219e+06
6  57  1.13593e+07
6  58  5.14947e+06
6  59  1.88029e+07
6  60  1.02419e+07
6  61  2.71779e+07
6  62  0
6  63  1.76816e+07
6  64  1.44506e+07
6  65  9.06736e+06
6  66  8.81146e+06
6  67  1.03178e+07
6  68  1.54806e+07
6  69  1.80035e+07
6  70  1.7386e+06
6  71  2.39021e+07
6  72  1.21077e+07
6  73  3.78979e+07
6  74  3.2591e+07
6  75  2.50985e+07
6  76  3.1564e+07
6  77  1.96097e+07
6  78  1.13554e+07
6  79  1.00359e+07
6  80  1.80872e+07
6  81  1.11623e+07
6  82  2.98087e+06
6  83  1.26579e+07
6  84  6.94501e+06
6  85  7.99047e+06
6  86  2.53603e+07
6  87  1.25972e+06
6  88  8.28235e+06
6  89  8.53088e+06
6  90  1.44871e+07
6  91  1.37963e+07
6  92  1.5171e+07
6  93  1.07068e+07
6  94  2.17402e+06
6  95  4.81694e+06
6  96  7.27894e+06
6  97  1.17365e+07
6  98  6.58122e+06
6  99  1.16686e+07
6  100  1.1737e+07
7  0  3.34505e+06
7  1  9.14472e+06
7  2  1.48293e+06
7  3  1.55833e+07
7  4  4.23186e+06
7  5  0
7  6  1.54259e+06
7  7  6.44143e+06
7  8  3.34541e+06
7  9  2.06485e+06
7  10  1.2758e+07
7  11  0
7  12  8.38329e+06
7  13  0
7  14  1.6227e+07
7  15  6.57696e+06
7  16  9.43962e+06
7  17  1.33109e+07
7  18  5.69942e+06
7  19  1.36125e+07
7  20  0
7  21  1.3213e+07
7  22  8.22728e+06
7  23  8.92889e+06
7  24  4.98933e+06
7  25  0
7  26  1.08773e+07
7  27  3.98411e+06
