row  column  (images_6a.edf P-K*images_6a.edf Ar-K**2.3)
6  21  8.73391e+06
6  22  9.96558e+06
6  23  1.27546e+07
6  24  8.61222e+06
6  25  9.7611e+06
6  26  1.60807e+07
6  27  1.61507e+07
6  28  1.64251e+07
6  29  2.20714e+07
6  30  1.35615e+07
6  31  2.43995e+07
6  32  1.41599e+07
6  33  1.79257e+07
6  34  1.31587e+07
6  35  2.48221e+07
6  36  5.05912e+06
6  37  1.77058e+07
6  38  2.67407e+07
6  39  1.35575e+07
6  40  8.0487e+06
6  41  4.02704e+06
6  42  1.13277e+07
6  43  2.22781e+06
6  44  3.95868e+06
6  45  5.80071e+06
6  46  7.34524e+06
6  47  2.88459e+06
6  48  1.37945e+07
6  49  1.26014e+07
6  50  3.96845e+06
6  51  1.41896e+07
6  52  5.16914e+06
6  53  8.53295e+06
6  54  1.22727e+07
6  55  4.54706e+06
6  56  9.81189e+06
6  57  1.10276e+07
6  58  4.46383e+06
6  59  1.07418e+07
6  60  1.05921e+07
6  61  8.46523e+06
6  62  9.33256e+06
6  63  4.41744e+06
6  64  3.8114e+06
6  65  0
6  66  3.00356e+06
6  67  5.31802e+06
6  68  206266
6  69  5.79003e+06
6  70  0
6  71  3.2017e+06
6  72  0
6  73  2.79478e+06
6  74  0
6  75  0
6  76  2.25788e+06
6  77  0
6  78  0
6  79  0
6  80  1.1992e+06
6  81  1.10171e+06
6  82  707089
6  83  0
6  84  0
6  85  0
6  86  380890
6  87  0
6  88  1.07104e+06
6  89  0
6  90  606381
6  91  0
6  92  903733
6  93  849415
6  94  0
6  95  254021
6  96  432093
6  97  723244
6  98  0
6  99  0
6  100  716302
7  0  1.19472e+07
7  1  1.60563e+07
7  2  9.69162e+06
7  3  5.69047e+06
7  4  4.98626e+06
7  5  1.67843e+07
7  6  1.41316e+07
7  7  9.08553e+06
7  8  1.29802e+07
7  9  9.52873e+06
7  10  1.0765e+07
7  11  1.7335e+07
7  12  1.66029e+07
7  13  2.26562e+07
7  14  2.32099e+07
7  15  2.09746e+07
7  16  2.31056e+07
7  17  1.16541e+07
7  18  6.62485e+06
7  19  1.30569e+07
7  20  1.58113e+07
7  21  7.23262e+06
7  22  1.41964e+07
7  23  5.05766e+06
7  24  1.37413e+07
7  25  1.31983e+07
7  26  1.18127e+07
7  27  1.29815e+07
7  28  1.91981e+07
7  29  3.15547e+07
7  30  1.90665e+07
7  31  2.09483e+07
7  32  1.64371e+07
7  33  1.6588e+07
7  34  1.40186e+07
7  35  8.13514e+06
7  36  2.09314e+07
7  37  2.16689e+07
7  38  3.8817e+07
7  39  1.48768e+07
7  40  1.45322e+07
7  41  4.48722e+06
7  42  5.76741e+06
7  43  3.28952e+06
7  44  9.93005e+06
7  45  1.1611e+06
7  46  5.30944e+06
7  47  1.97262e+06
7  48  9.48951e+06
7  49  1.33567e+07
7  50  8.26301e+06
7  51  1.01004e+07
7  52  1.91556e+07
7  53  1.37963e+07
7  54  8.60444e+06
7  55  1.61185e+07
7  56  1.12237e+07
7  57  1.40447e+07
7  58  1.2945e+07
7  59  8.07143e+06
7  60  1.1481e+07
7  61  4.47651e+06
7  62  5.66908e+06
7  63  0
7  64  9.6371e+06
7  65  7.09065e+06
7  66  1.2539e+06
7  67  2.11203e+06
7  68  5.74157e+06
7  69  5.55399e+06
7  70  0
7  71  0
7  72  1.12636e+06
7  73  1.49302e+06
7  74  0
7  75  594309
7  76  877819
7  77  0
7  78  0
7  79  1.89097e+06
7  80  0
7  81  0
7  82  1.89327e+06
7  83  633010
7  84  910848
7  85  0
7  86  0
7  87  0
7  88  15040
7  89  591584
7  90  0
7  91  736462
7  92  1.44581e+06
7  93  1.64421e+06
7  94  928811
7  95  0
7  96  643158
7  97  0
7  98  0
7  99  1.25733e+06
7  100  398316
8  0  1.88133e+07
8  1  2.16687e+07
8  2  8.11499e+06
8  3  1.7564e+07
8  4  1.55426e+07
8  5  2.39146e+07
8  6  1.34369e+07
8  7  1.80485e+07
8  8  1.42076e+07
8  9  2.59834e+07
8  10  1.38018e+07
8  11  2.38248e+07
8  12  1.85294e+07
8  13  2.12291e+07
8  14  1.90113e+07
8  15  2.08556e+07
8  16  1.365e+07
8  17  1.19143e+07
8  18  1.56057e+07
8  19  1.93847e+07
8  20  8.66165e+06
8  21  1.34877e+07
8  22  1.04951e+07
8  23  5.40314e+06
8  24  5.04564e+06
8  25  1.9038e+07
8  26  1.41251e+07
8  27  1.28308e+07
8  28  4.01598e+07
8  29  2.04744e+07
8  30  2.43351e+07
8  31  2.29272e+07
8  32  1.78547e+07
8  33  1.94923e+07
8  34  1.79181e+07
8  35  2.58096e+07
8  36  1.92436e+07
8  37  3.2643e+07
8  38  2.69288e+07
8  39  1.55406e+07
8  40  1.00868e+07
8  41  7.47647e+06
8  42  1.07092e+07
8  43  36724.3
8  44  6.10961e+06
8  45  4.74588e+06
8  46  4.92406e+06
8  47  3.90136e+06
8  48  1.77322e+07
8  49  2.13538e+07
