row  column  (images_6a.edf Fe-K*images_6a.edf Ar-K**2.3)
0  88  2.37738e+07
0  89  3.2846e+07
0  90  2.90034e+07
0  91  2.45717e+07
0  92  2.83418e+07
0  93  1.40347e+07
0  94  1.85082e+07
0  95  6.1627e+06
0  96  2.27854e+07
0  97  2.70739e+07
0  98  6.90164e+06
0  99  8.35911e+07
0  100  1.30485e+08
1  0  8.41843e+07
1  1  7.4469e+07
1  2  6.80699e+07
1  3  5.79333e+07
1  4  7.44183e+07
1  5  9.99195e+07
1  6  9.46722e+07
1  7  9.43319e+07
1  8  9.40533e+07
1  9  7.50834e+07
1  10  6.05644e+07
1  11  7.7626e+07
1  12  8.0784e+07
1  13  7.32976e+07
1  14  7.74804e+07
1  15  8.39864e+07
1  16  7.78111e+07
1  17  6.97095e+07
1  18  7.70485e+07
1  19  5.23173e+07
1  20  5.44736e+07
1  21  6.42046e+07
1  22  9.30834e+07
1  23  6.45441e+07
1  24  8.15597e+07
1  25  5.96176e+07
1  26  6.71202e+07
1  27  7.7329e+07
1  28  8.62609e+07
1  29  6.45015e+07
1  30  5.46305e+07
1  31  6.32884e+07
1  32  6.7415e+07
1  33  6.18155e+07
1  34  9.20382e+07
1  35  6.72685e+07
1  36  8.81611e+07
1  37  7.95232e+07
1  38  1.04602e+08
1  39  1.22715e+08
1  40  6.93779e+07
1  41  7.43184e+07
1  42  7.54286e+07
1  43  8.76704e+07
1  44  6.51141e+07
1  45  3.75951e+07
1  46  5.90936e+07
1  47  6.81857e+07
1  48  4.51225e+07
1  49  5.5038e+07
1  50  6.15039e+07
1  51  4.06959e+07
1  52  6.9707e+07
1  53  1.11024e+08
1  54  1.36826e+08
1  55  9.47143e+07
1  56  9.39887e+07
1  57  7.53984e+07
1  58  8.45538e+07
1  59  1.15905e+08
1  60  1.12894e+08
1  61  1.12081e+08
1  62  7.4719e+07
1  63  7.31889e+07
1  64  6.35785e+07
1  65  3.90937e+07
1  66  6.28397e+07
1  67  4.334e+07
1  68  8.19982e+07
1  69  5.97877e+07
1  70  5.39074e+07
1  71  5.71513e+07
1  72  6.06766e+07
1  73  7.92317e+07
1  74  1.35149e+08
1  75  5.99747e+07
1  76  4.44801e+07
1  77  2.83246e+07
1  78  2.13831e+07
1  79  9.16266e+06
1  80  3.20446e+07
1  81  1.74205e+07
1  82  2.72185e+07
1  83  3.08206e+07
1  84  3.24854e+07
1  85  1.8285e+07
1  86  2.51024e+07
1  87  2.76404e+07
1  88  2.06324e+07
1  89  3.604e+07
1  90  1.53719e+07
1  91  1.09818e+07
1  92  1.74264e+06
1  93  2.07221e+07
1  94  0
1  95  3.00306e+07
1  96  4.43798e+07
1  97  2.75797e+07
1  98  5.08129e+07
1  99  1.66637e+08
1  100  4.51091e+07
2  0  9.91112e+07
2  1  8.80662e+07
2  2  6.88625e+07
2  3  8.10057e+07
2  4  7.84253e+07
2  5  9.79364e+07
2  6  9.46603e+07
2  7  9.54369e+07
2  8  9.12358e+07
2  9  7.08669e+07
2  10  6.79915e+07
2  11  5.75761e+07
2  12  8.24964e+07
2  13  7.6097e+07
2  14  7.96337e+07
2  15  8.42485e+07
2  16  7.86165e+07
2  17  8.25832e+07
2  18  7.09362e+07
2  19  6.46687e+07
2  20  6.80643e+07
2  21  6.02557e+07
2  22  8.92829e+07
2  23  6.50613e+07
2  24  4.97415e+07
2  25  5.85065e+07
2  26  4.7226e+07
2  27  7.90078e+07
2  28  9.38405e+07
2  29  7.63166e+07
2  30  7.77073e+07
2  31  5.5709e+07
2  32  4.80848e+07
2  33  7.56643e+07
2  34  1.0971e+08
2  35  9.46762e+07
2  36  9.03995e+07
2  37  1.06601e+08
2  38  1.3319e+08
2  39  1.34273e+08
2  40  6.01591e+07
2  41  5.21261e+07
2  42  5.84597e+07
2  43  6.96883e+07
2  44  6.32238e+07
2  45  3.96038e+07
2  46  5.30183e+07
2  47  6.28375e+07
2  48  8.76479e+07
2  49  7.73836e+07
2  50  5.67909e+07
2  51  5.95216e+07
2  52  7.87742e+07
2  53  1.34679e+08
2  54  1.56549e+08
2  55  1.44236e+08
2  56  8.38543e+07
2  57  1.03826e+08
2  58  1.0242e+08
2  59  9.05799e+07
2  60  1.33344e+08
2  61  1.1297e+08
2  62  8.75842e+07
