row  column  (images_6a.edf Cu-K*images_6a.edf Ar-K**2.3)
7  14  1.50355e+07
7  15  0
7  16  41334.2
7  17  0
7  18  0
7  19  1.13585e+07
7  20  1.13227e+07
7  21  0
7  22  0
7  23  0
7  24  1.3855e+07
7  25  9.97605e+06
7  26  0
7  27  7.1184e+06
7  28  0
7  29  0
7  30  1.01645e+07
7  31  4.8592e+06
7  32  0
7  33  4.23305e+06
7  34  0
7  35  0
7  36  9.66463e+06
7  37  3.1981e+06
7  38  1.20449e+07
7  39  8.07771e+06
7  40  1.16002e+07
7  41  988251
7  42  3.43793e+07
7  43  1.69155e+07
7  44  0
7  45  258166
7  46  1.0722e+07
7  47  0
7  48  2.95832e+07
7  49  2.39598e+07
7  50  0
7  51  0
7  52  1.98825e+06
7  53  712222
7  54  1.5357e+07
7  55  2.30522e+06
7  56  429197
7  57  0
7  58  1.54237e+07
7  59  5.57247e+06
7  60  1.26672e+07
7  61  0
7  62  1.96749e+07
7  63  0
7  64  2.65767e+07
7  65  1.74513e+07
7  66  1.1804e+07
7  67  6.33031e+06
7  68  1.78628e+07
7  69  0
7  70  1.82205e+07
7  71  0
7  72  3.60936e+06
7  73  8.45684e+06
7  74  1.75642e+07
7  75  2.46978e+07
7  76  0
7  77  2.37957e+06
7  78  4.98528e+06
7  79  5.05327e+06
7  80  3.22426e+06
7  81  0
7  82  1.48681e+07
7  83  1.74807e+07
7  84  2.81198e+07
7  85  1.12537e+07
7  86  0
7  87  3.06169e+07
7  88  5.35556e+06
7  89  0
7  90  0
7  91  2.51263e+06
7  92  1.86759e+06
7  93  1.45325e+07
7  94  4.92041e+06
7  95  2.63962e+07
7  96  1.22759e+07
7  97  1.07967e+07
7  98  2.20092e+07
7  99  1.75431e+06
7  100  3.20303e+07
8  0  0
8  1  4.68139e+06
8  2  1.76296e+07
8  3  1.70083e+06
8  4  3.16985e+07
8  5  1.11841e+07
8  6  1.6478e+07
8  7  6.76936e+06
8  8  4.50089e+06
8  9  5.46804e+06
8  10  8.17926e+06
8  11  8.10836e+06
8  12  9.15221e+06
8  13  0
8  14  4.768e+06
8  15  4.53215e+06
8  16  0
8  17  5.99697e+06
8  18  7.22953e+06
8  19  3.42851e+06
8  20  2.34325e+07
8  21  4.49205e+06
8  22  7.27743e+06
8  23  2.69696e+06
8  24  0
8  25  1.7125e+07
8  26  1.41089e+07
8  27  3.76683e+06
8  28  1.31222e+07
8  29  0
8  30  0
8  31  1.37814e+07
8  32  0
8  33  1.69281e+07
8  34  1.49336e+07
8  35  0
8  36  2.13725e+07
8  37  1.564e+07
8  38  0
8  39  2.27071e+06
8  40  2.33732e+06
8  41  1.17661e+07
8  42  0
8  43  0
8  44  5.16357e+06
8  45  2.24361e+07
8  46  1.77753e+07
8  47  1.96841e+07
8  48  172363
8  49  1.54904e+07
8  50  5.40025e+06
8  51  3.21403e+07
8  52  0
8  53  1.1931e+07
8  54  1.56951e+07
8  55  1.18909e+06
8  56  0
8  57  0
8  58  0
8  59  1.87468e+07
8  60  1.03312e+07
8  61  2.80502e+07
8  62  8.67857e+06
8  63  0
8  64  0
8  65  0
8  66  2.45631e+07
8  67  0
8  68  1.87934e+07
8  69  0
8  70  1.78062e+07
8  71  602507
8  72  0
8  73  1.94909e+07
8  74  8.76774e+06
8  75  0
8  76  1.49312e+07
8  77  2.83801e+06
8  78  1.35149e+06
8  79  2.5784e+06
8  80  1.04188e+07
8  81  2.40012e+07
8  82  1.95794e+07
8  83  1.77931e+07
8  84  0
8  85  5.29521e+06
8  86  0
8  87  8.03514e+06
8  88  3.28071e+06
8  89  1.89451e+06
8  90  0
8  91  0
8  92  0
8  93  0
8  94  0
8  95  0
8  96  3.12945e+07
8  97  556401
8  98  1.21087e+06
8  99  1.92599e+06
8  100  0
9  0  1.43207e+07
9  1  9.3267e+06
9  2  0
9  3  0
9  4  0
9  5  1.32678e+07
9  6  1.35688e+07
9  7  5.89526e+06
9  8  405995
