row  column  (images_6a.edf Ca-K*images_6a.edf Ar-K**2.3)
4  13  1.08165e+09
4  14  1.147e+09
4  15  1.30608e+09
4  16  1.12535e+09
4  17  1.0148e+09
4  18  1.07233e+09
4  19  9.53242e+08
4  20  9.13961e+08
4  21  9.12012e+08
4  22  8.49299e+08
4  23  9.64716e+08
4  24  8.68531e+08
4  25  9.6948e+08
4  26  9.77023e+08
4  27  1.08946e+09
4  28  1.00718e+09
4  29  1.04337e+09
4  30  1.17077e+09
4  31  1.1656e+09
4  32  9.48576e+08
4  33  1.04936e+09
4  34  9.28407e+08
4  35  1.01788e+09
4  36  1.16692e+09
4  37  1.31016e+09
4  38  1.44922e+09
4  39  1.404e+09
4  40  1.041e+09
4  41  8.0644e+08
4  42  7.29741e+08
4  43  6.3699e+08
4  44  5.68077e+08
4  45  5.62083e+08
4  46  6.39164e+08
4  47  6.85522e+08
4  48  7.91986e+08
4  49  9.14911e+08
4  50  9.23781e+08
4  51  9.31928e+08
4  52  9.21924e+08
4  53  1.02053e+09
4  54  1.02176e+09
4  55  1.09803e+09
4  56  9.38409e+08
4  57  8.3192e+08
4  58  8.94145e+08
4  59  9.17344e+08
4  60  9.7431e+08
4  61  8.24036e+08
4  62  6.80204e+08
4  63  6.53478e+08
4  64  6.76672e+08
4  65  5.86666e+08
4  66  4.94841e+08
4  67  4.68761e+08
4  68  4.97009e+08
4  69  3.92583e+08
4  70  4.17235e+08
4  71  3.188e+08
4  72  3.56003e+08
4  73  3.31494e+08
4  74  3.39966e+08
4  75  3.49605e+08
4  76  3.2625e+08
4  77  2.75184e+08
4  78  2.59287e+08
4  79  2.468e+08
4  80  2.09191e+08
4  81  1.71652e+08
4  82  1.60166e+08
4  83  1.44064e+08
4  84  1.60535e+08
4  85  1.6756e+08
4  86  1.20815e+08
4  87  1.28229e+08
4  88  1.35111e+08
4  89  1.1021e+08
4  90  1.11269e+08
4  91  1.20707e+08
4  92  8.99958e+07
4  93  8.06883e+07
4  94  1.02808e+08
4  95  1.09504e+08
4  96  1.02622e+08
4  97  1.18231e+08
4  98  1.52121e+08
4  99  1.81433e+08
4  100  1.47456e+08
5  0  1.08458e+09
5  1  1.18101e+09
5  2  9.52836e+08
5  3  9.90837e+08
5  4  1.00189e+09
5  5  1.12056e+09
5  6  1.08352e+09
5  7  1.06854e+09
5  8  1.17645e+09
5  9  1.08387e+09
5  10  1.17038e+09
5  11  1.28245e+09
5  12  1.27148e+09
5  13  1.21756e+09
5  14  1.35473e+09
5  15  1.20485e+09
5  16  1.07031e+09
5  17  1.02308e+09
5  18  1.02335e+09
5  19  1.09514e+09
5  20  1.14635e+09
5  21  8.90488e+08
5  22  9.91339e+08
5  23  1.00278e+09
5  24  1.07695e+09
5  25  1.06024e+09
5  26  1.05657e+09
5  27  1.15204e+09
5  28  1.12792e+09
5  29  1.12531e+09
5  30  1.15986e+09
5  31  1.18301e+09
5  32  1.09404e+09
5  33  1.0849e+09
5  34  1.04214e+09
5  35  1.18275e+09
5  36  1.22401e+09
5  37  1.49607e+09
5  38  1.63394e+09
5  39  1.64564e+09
5  40  1.2355e+09
5  41  8.54917e+08
5  42  7.26629e+08
5  43  6.23525e+08
5  44  5.6678e+08
5  45  5.69867e+08
5  46  7.43573e+08
5  47  8.50486e+08
5  48  9.11141e+08
5  49  1.01104e+09
5  50  9.70599e+08
5  51  1.02904e+09
5  52  1.00183e+09
5  53  1.20106e+09
5  54  1.13398e+09
5  55  1.17747e+09
5  56  1.04063e+09
5  57  9.91119e+08
5  58  1.02891e+09
5  59  1.02278e+09
5  60  9.42406e+08
5  61  8.33949e+08
5  62  7.66835e+08
5  63  7.11221e+08
5  64  6.76682e+08
5  65  5.78985e+08
5  66  5.86714e+08
5  67  5.00899e+08
5  68  4.57788e+08
5  69  4.20035e+08
5  70  4.00766e+08
5  71  3.83586e+08
5  72  3.9117e+08
5  73  3.90715e+08
5  74  3.93045e+08
5  75  3.32045e+08
5  76  3.1865e+08
5  77  2.9613e+08
5  78  2.95402e+08
5  79  2.12066e+08
5  80  2.04389e+08
5  81  2.02197e+08
5  82  1.70648e+08
5  83  1.72074e+08
5  84  1.57521e+08
5  85  1.51573e+08
5  86  1.52413e+08
5  87  1.43568e+08
5  88  1.44575e+08
5  89  1.28157e+08
5  90  1.20109e+08
5  91  1.41352e+08
5  92  1.1746e+08
5  93  9.28258e+07
5  94  1.18766e+08
5  95  1.12211e+08
5  96  1.08159e+08
5  97  1.2858e+08
5  98  1.49501e+08
5  99  1.60555e+08
5  100  1.23739e+08
6  0  1.08944e+09
6  1  9.74002e+08
6  2  1.14094e+09
6  3  1.01239e+09
6  4  1.02386e+09
6  5  1.19762e+09
6  6  1.20084e+09
6  7  1.11617e+09
6  8  1.20105e+09
6  9  1.3325e+09
6  10  1.22943e+09
6  11  1.34576e+09
6  12  1.36073e+09
6  13  1.18347e+09
6  14  1.35682e+09
6  15  1.28149e+09
6  16  1.42129e+09
6  17  1.27169e+09
6  18  1.17247e+09
6  19  1.02424e+09
6  20  1.08291e+09
6  21  9.7823e+08
6  22  1.05673e+09
6  23  1.06643e+09
6  24  1.11135e+09
6  25  1.15812e+09
6  26  1.17196e+09
6  27  1.25145e+09
6  28  1.23169e+09
6  29  1.18713e+09
6  30  1.29512e+09
6  31  1.15186e+09
6  32  1.18099e+09
6  33  1.22331e+09
6  34  1.2905e+09
6  35  1.36799e+09
6  36  1.46979e+09
6  37  1.53064e+09
6  38  2.0661e+09
6  39  1.75748e+09
6  40  1.25482e+09
6  41  9.76845e+08
6  42  9.35133e+08
6  43  6.55034e+08
6  44  6.56546e+08
6  45  6.06123e+08
6  46  7.71281e+08
6  47  7.8914e+08
6  48  1.00595e+09
6  49  1.05263e+09
6  50  1.15266e+09
6  51  1.04634e+09
6  52  1.15314e+09
6  53  1.25475e+09
6  54  1.09497e+09
6  55  1.18194e+09
6  56  1.03618e+09
6  57  1.0123e+09
6  58  1.08535e+09
6  59  1.07819e+09
6  60  1.06139e+09
6  61  9.69418e+08
6  62  8.9141e+08
6  63  7.27814e+08
6  64  7.83448e+08
6  65  6.76855e+08
6  66  6.33427e+08
6  67  5.31748e+08
6  68  4.7168e+08
6  69  5.11393e+08
6  70  4.35142e+08
6  71  4.15091e+08
6  72  3.31973e+08
6  73  4.00083e+08
6  74  4.5833e+08
6  75  3.74234e+08
6  76  3.7907e+08
6  77  3.74474e+08
6  78  2.86923e+08
6  79  2.61586e+08
6  80  2.14438e+08
6  81  1.89974e+08
6  82  2.07321e+08
6  83  1.97038e+08
6  84  1.86745e+08
6  85  1.58807e+08
6  86  1.60603e+08
6  87  1.46765e+08
6  88  1.66291e+08
6  89  1.30109e+08
6  90  1.27995e+08
6  91  1.36092e+08
6  92  1.13554e+08
6  93  1.10427e+08
6  94  1.04247e+08
6  95  9.35875e+07
6  96  1.0991e+08
6  97  9.30891e+07
6  98  1.37016e+08
6  99  1.6115e+08
6  100  1.15854e+08
7  0  1.27202e+09
7  1  1.29003e+09
7  2  1.20122e+09
7  3  1.15374e+09
7  4  1.01527e+09
7  5  1.21804e+09
7  6  1.23502e+09
7  7  1.17357e+09
7  8  1.24869e+09
7  9  1.26756e+09
7  10  1.43208e+09
7  11  1.45231e+09
7  12  1.4395e+09
7  13  1.41435e+09
7  14  1.57933e+09
7  15  1.44043e+09
7  16  1.33749e+09
7  17  1.23704e+09
7  18  1.21336e+09
7  19  1.26353e+09
7  20  1.14066e+09
7  21  1.0149e+09
7  22  1.08159e+09
7  23  1.22228e+09
7  24  1.18795e+09
7  25  1.2185e+09
7  26  1.21027e+09
7  27  1.3651e+09
7  28  1.33012e+09
7  29  1.48584e+09
7  30  1.30362e+09
7  31  1.38325e+09
7  32  1.28809e+09
7  33  1.21904e+09
7  34  1.37046e+09
7  35  1.44071e+09
7  36  1.60565e+09
7  37  1.65351e+09
7  38  2.12638e+09
7  39  1.70281e+09
7  40  1.3795e+09
7  41  9.98236e+08
7  42  9.01036e+08
7  43  7.11826e+08
7  44  6.45316e+08
7  45  6.70646e+08
7  46  7.81113e+08
7  47  9.41329e+08
7  48  1.09316e+09
7  49  1.10661e+09
7  50  1.09751e+09
7  51  1.15075e+09
7  52  1.16309e+09
7  53  1.31151e+09
7  54  1.23712e+09
7  55  1.28432e+09
7  56  1.06519e+09
7  57  1.11073e+09
7  58  1.13174e+09
7  59  1.11503e+09
7  60  1.15266e+09
7  61  9.68017e+08
7  62  9.45841e+08
7  63  8.75835e+08
7  64  8.30775e+08
7  65  7.14015e+08
7  66  7.29962e+08
7  67  5.47553e+08
7  68  5.90416e+08
7  69  5.31556e+08
7  70  4.59698e+08
7  71  4.65485e+08
7  72  4.2748e+08
7  73  4.02957e+08
7  74  5.20524e+08
7  75  4.42796e+08
7  76  4.06313e+08
7  77  3.62116e+08
7  78  3.55113e+08
7  79  2.84188e+08
7  80  2.35149e+08
7  81  2.12873e+08
7  82  1.76685e+08
7  83  2.15563e+08
7  84  1.97432e+08
7  85  1.7068e+08
7  86  1.66203e+08
7  87  1.54499e+08
7  88  1.62072e+08
7  89  1.24232e+08
7  90  1.19926e+08
7  91  1.14024e+08
7  92  1.04997e+08
7  93  1.1452e+08
7  94  1.15625e+08
7  95  1.14669e+08
7  96  1.32384e+08
7  97  1.18547e+08
7  98  1.61027e+08
7  99  1.62227e+08
7  100  1.35625e+08
8  0  1.28996e+09
8  1  1.25901e+09
8  2  1.21331e+09
8  3  1.18399e+09
8  4  1.16829e+09
8  5  1.19495e+09
8  6  1.31474e+09
8  7  1.41904e+09
8  8  1.33418e+09
8  9  1.5458e+09
8  10  1.3622e+09
8  11  1.52712e+09
8  12  1.42287e+09
8  13  1.50137e+09
8  14  1.49416e+09
8  15  1.60091e+09
8  16  1.45535e+09
8  17  1.28876e+09
8  18  1.27464e+09
8  19  1.2689e+09
8  20  1.18715e+09
8  21  1.21801e+09
8  22  1.16409e+09
8  23  1.17216e+09
8  24  1.25449e+09
8  25  1.24955e+09
8  26  1.44717e+09
8  27  1.28026e+09
8  28  1.5653e+09
8  29  1.52946e+09
8  30  1.55483e+09
8  31  1.45745e+09
8  32  1.4489e+09
8  33  1.44492e+09
8  34  1.4984e+09
8  35  1.60599e+09
8  36  1.56124e+09
8  37  1.83241e+09
8  38  2.29371e+09
8  39  1.92864e+09
8  40  1.52708e+09
8  41  1.07619e+09
8  42  1.03151e+09
8  43  7.15386e+08
8  44  7.02992e+08
8  45  7.23661e+08
8  46  8.38072e+08
8  47  9.49661e+08
8  48  1.1992e+09
8  49  1.37677e+09
8  50  1.26365e+09
8  51  1.24465e+09
8  52  1.26207e+09
8  53  1.34449e+09
8  54  1.36241e+09
8  55  1.26484e+09
8  56  1.25003e+09
8  57  1.21655e+09
8  58  1.09066e+09
8  59  1.23671e+09
8  60  1.08419e+09
8  61  1.07307e+09
8  62  8.79737e+08
8  63  9.1181e+08
8  64  9.49825e+08
8  65  7.98681e+08
8  66  6.89616e+08
8  67  6.68316e+08
8  68  6.59072e+08
8  69  5.8665e+08
8  70  5.48893e+08
8  71  4.94426e+08
8  72  4.25444e+08
8  73  4.22278e+08
8  74  4.77988e+08
8  75  4.64036e+08
8  76  4.24973e+08
8  77  3.90872e+08
8  78  3.41053e+08
8  79  3.28825e+08
8  80  2.86348e+08
8  81  2.55046e+08
8  82  2.44492e+08
8  83  2.12252e+08
8  84  1.74432e+08
8  85  1.68146e+08
8  86  1.79387e+08
8  87  1.7578e+08
8  88  1.48144e+08
8  89  1.48721e+08
8  90  1.40598e+08
8  91  1.2921e+08
8  92  1.20542e+08
8  93  9.65541e+07
8  94  1.01844e+08
8  95  1.28826e+08
8  96  1.29498e+08
8  97  1.1932e+08
8  98  1.26664e+08
8  99  1.63883e+08
8  100  1.35167e+08
9  0  1.33031e+09
9  1  1.34815e+09
9  2  1.26989e+09
9  3  1.19003e+09
9  4  1.22594e+09
9  5  1.33058e+09
9  6  1.35955e+09
9  7  1.36682e+09
9  8  1.37091e+09
9  9  1.51824e+09
9  10  1.51473e+09
9  11  1.54262e+09
9  12  1.54435e+09
9  13  1.76034e+09
9  14  1.78297e+09
9  15  1.70682e+09
9  16  1.49659e+09
9  17  1.48423e+09
9  18  1.33617e+09
9  19  1.31565e+09
9  20  1.33285e+09
9  21  1.14857e+09
9  22  1.35259e+09
9  23  1.50216e+09
9  24  1.34007e+09
9  25  1.3576e+09
9  26  1.40859e+09
9  27  1.54635e+09
9  28  1.4771e+09
9  29  1.65931e+09
9  30  1.68052e+09
9  31  1.58598e+09
9  32  1.46513e+09
9  33  1.59226e+09
9  34  1.53566e+09
9  35  1.47236e+09
9  36  1.75852e+09
9  37  2.38449e+09
9  38  2.43576e+09
9  39  1.94639e+09
9  40  1.50887e+09
9  41  1.13898e+09
9  42  8.92531e+08
9  43  7.68929e+08
9  44  6.98964e+08
9  45  7.59996e+08
9  46  8.76805e+08
9  47  9.87437e+08
9  48  1.36122e+09
9  49  1.30464e+09
9  50  1.42997e+09
9  51  1.2602e+09
9  52  1.46589e+09
9  53  1.42514e+09
9  54  1.27957e+09
9  55  1.33443e+09
9  56  1.20154e+09
9  57  1.28201e+09
9  58  1.27156e+09
9  59  1.36058e+09
9  60  1.25778e+09
9  61  1.1816e+09
9  62  1.02433e+09
9  63  9.41991e+08
9  64  9.8332e+08
9  65  8.24946e+08
9  66  8.32165e+08
9  67  7.02407e+08
9  68  6.97033e+08
9  69  5.14323e+08
9  70  4.85854e+08
9  71  4.79847e+08
9  72  4.33811e+08
9  73  4.44136e+08
9  74  5.09421e+08
9  75  5.28905e+08
9  76  4.11584e+08
9  77  4.55431e+08
9  78  4.05201e+08
9  79  3.33419e+08
9  80  2.84925e+08
9  81  2.71363e+08
9  82  2.13796e+08
9  83  2.16444e+08
9  84  1.94222e+08
9  85  2.03757e+08
9  86  1.85664e+08
9  87  1.74595e+08
9  88  1.65811e+08
9  89  1.64708e+08
9  90  1.61964e+08
9  91  1.30017e+08
9  92  1.2327e+08
9  93  1.26049e+08
9  94  1.16307e+08
9  95  1.18372e+08
9  96  1.05125e+08
9  97  1.11649e+08
9  98  1.44483e+08
9  99  1.40888e+08
9  100  1.33705e+08
10  0  1.37017e+09
10  1  1.45638e+09
10  2  1.39095e+09
10  3  1.28893e+09
10  4  1.29616e+09
10  5  1.29716e+09
10  6  1.62057e+09
10  7  1.45392e+09
10  8  1.44178e+09
10  9  1.59006e+09
10  10  1.72838e+09
10  11  1.75697e+09
10  12  1.68745e+09
10  13  1.71164e+09
10  14  1.83898e+09
10  15  1.72689e+09
10  16  1.64672e+09
10  17  1.52613e+09
10  18  1.5441e+09
10  19  1.42594e+09
10  20  1.37306e+09
10  21  1.38891e+09
10  22  1.18474e+09
10  23  1.24407e+09
10  24  1.53825e+09
10  25  1.43848e+09
10  26  1.66031e+09
10  27  1.51624e+09
10  28  1.73347e+09
10  29  1.73369e+09
10  30  1.91607e+09
10  31  1.70164e+09
10  32  1.76605e+09
10  33  1.62988e+09
10  34  1.50612e+09
10  35  1.72164e+09
10  36  1.94321e+09
10  37  2.25981e+09
10  38  2.68855e+09
10  39  2.33938e+09
10  40  1.60366e+09
10  41  1.1936e+09
10  42  1.03364e+09
10  43  7.75575e+08
10  44  7.98831e+08
10  45  8.02983e+08
10  46  8.5175e+08
10  47  1.01132e+09
10  48  1.3371e+09
10  49  1.37469e+09
10  50  1.5019e+09
10  51  1.3011e+09
10  52  1.50394e+09
10  53  1.62154e+09
10  54  1.55539e+09
10  55  1.43732e+09
10  56  1.36286e+09
10  57  1.31133e+09
10  58  1.33502e+09
10  59  1.31124e+09
10  60  1.42519e+09
10  61  1.29046e+09
10  62  9.35787e+08
10  63  9.95771e+08
10  64  9.32635e+08
10  65  9.11373e+08
10  66  7.64943e+08
10  67  8.90868e+08
10  68  6.64919e+08
10  69  7.01679e+08
10  70  5.94326e+08
10  71  5.56254e+08
10  72  4.6122e+08
10  73  4.9415e+08
10  74  4.50607e+08
10  75  4.53091e+08
10  76  4.84368e+08
10  77  4.29013e+08
10  78  4.39675e+08
10  79  3.7184e+08
10  80  3.15645e+08
10  81  3.09164e+08
10  82  2.49141e+08
10  83  2.34733e+08
10  84  2.15741e+08
10  85  2.03413e+08
10  86  2.00074e+08
10  87  1.84633e+08
10  88  1.84057e+08
10  89  1.67633e+08
10  90  1.47306e+08
10  91  1.37818e+08
10  92  1.25639e+08
10  93  1.17273e+08
10  94  1.32534e+08
10  95  1.24131e+08
10  96  1.36299e+08
10  97  1.2161e+08
10  98  1.2884e+08
10  99  1.4982e+08
10  100  1.33252e+08
11  0  1.55982e+09
11  1  1.55701e+09
11  2  1.36086e+09
11  3  1.37289e+09
11  4  1.41664e+09
11  5  1.62772e+09
11  6  1.65404e+09
11  7  1.51801e+09
11  8  1.51383e+09
11  9  1.57188e+09
11  10  1.77382e+09
11  11  1.84011e+09
11  12  1.83306e+09
11  13  1.86592e+09
11  14  1.82553e+09
11  15  1.80307e+09
11  16  1.69621e+09
11  17  1.68049e+09
11  18  1.80127e+09
11  19  1.63009e+09
11  20  1.57181e+09
11  21  1.46914e+09
11  22  1.506e+09
11  23  1.58388e+09
11  24  1.58961e+09
11  25  1.48179e+09
11  26  1.69873e+09
11  27  1.80145e+09
11  28  1.87705e+09
11  29  1.82358e+09
11  30  2.07252e+09
11  31  1.76402e+09
11  32  1.76557e+09
11  33  1.84677e+09
11  34  1.67256e+09
11  35  1.82918e+09
11  36  2.01074e+09
11  37  2.45528e+09
11  38  2.82078e+09
11  39  2.30022e+09
11  40  1.67345e+09
11  41  1.35109e+09
11  42  9.1377e+08
11  43  8.31097e+08
11  44  7.93065e+08
11  45  9.18421e+08
11  46  9.94056e+08
