row  column  (images_6a.edf Mn-K*images_6a.edf Ar-K**2.3)
4  98  4.77125e+06
4  99  0
4  100  7.66631e+06
5  0  1.18333e+07
5  1  1.04481e+07
5  2  3.14774e+06
5  3  1.31363e+07
5  4  1.54441e+06
5  5  1.80162e+06
5  6  6.96216e+06
5  7  7.08815e+06
5  8  342937
5  9  9.22151e+06
5  10  8.20464e+06
5  11  9.42174e+06
5  12  0
5  13  3.24783e+06
5  14  1.08445e+06
5  15  1.36167e+07
5  16  1.61499e+07
5  17  140665
5  18  1.06271e+07
5  19  1.05784e+07
5  20  2.48198e+06
5  21  5.80016e+06
5  22  1.49559e+07
5  23  4.46629e+06
5  24  2.66701e+06
5  25  5.50927e+06
5  26  5.47113e+06
5  27  1.24534e+07
5  28  0
5  29  1.50087e+07
5  30  1.78445e+07
5  31  491484
5  32  1.05747e+07
5  33  1.27399e+07
5  34  1.36274e+07
5  35  4.49507e+06
5  36  2.69901e+06
5  37  7.85571e+06
5  38  1.19929e+07
5  39  1.62387e+07
5  40  8.30256e+06
5  41  8.09348e+06
5  42  6.22979e+06
5  43  1.40669e+07
5  44  7.21543e+06
5  45  5.74078e+06
5  46  1.74258e+07
5  47  9.29699e+06
5  48  1.91335e+07
5  49  3.7058e+06
5  50  4.86704e+06
5  51  0
5  52  9.66547e+06
5  53  928743
5  54  1.20025e+07
5  55  8.93988e+06
5  56  815597
5  57  1.08948e+07
5  58  1.07058e+07
5  59  2.13912e+07
5  60  2.65093e+07
5  61  1.4718e+07
5  62  1.0468e+07
5  63  1.02094e+07
5  64  9.25525e+06
5  65  2.6871e+07
5  66  7.11793e+06
5  67  9.08891e+06
5  68  5.75904e+06
5  69  7.45413e+06
5  70  1.02851e+07
5  71  1.70762e+07
5  72  1.06443e+07
5  73  5.79439e+06
5  74  1.68263e+07
5  75  7.67917e+06
5  76  4.98251e+06
5  77  2.79947e+06
5  78  9.49284e+06
5  79  0
5  80  9.0048e+06
5  81  0
5  82  1.37804e+07
5  83  9.58506e+06
5  84  1.99583e+07
5  85  5.09726e+06
5  86  1.34468e+07
5  87  1.01037e+07
5  88  6.68986e+06
5  89  2.37388e+06
5  90  1.69328e+07
5  91  7.89313e+06
5  92  1.47811e+07
5  93  9.56129e+06
5  94  1.60977e+06
5  95  8.29182e+06
5  96  525408
5  97  1.69184e+07
5  98  4.5386e+06
5  99  1.85659e+07
5  100  1.13872e+07
6  0  8.56464e+06
6  1  1.23339e+07
6  2  0
6  3  5.50341e+06
6  4  7.84021e+06
6  5  0
6  6  4.41933e+06
6  7  8.34673e+06
6  8  5.86325e+06
6  9  1.31915e+06
6  10  6.73661e+06
6  11  5.94872e+06
6  12  0
6  13  1.48229e+07
6  14  1.04369e+07
6  15  1.08449e+07
6  16  1.35033e+07
6  17  0
6  18  1.74743e+07
6  19  7.55005e+06
6  20  9.72797e+06
6  21  2.77944e+06
6  22  1.17094e+07
6  23  1.34277e+07
6  24  1.3158e+07
6  25  1.72306e+07
6  26  1.03685e+07
6  27  1.42877e+07
6  28  1.04088e+07
6  29  1.00257e+07
6  30  6.11345e+06
6  31  2.08262e+07
6  32  1.9439e+07
6  33  7.86403e+06
6  34  7.76872e+06
6  35  2.36838e+06
6  36  6.59565e+06
6  37  1.23085e+06
6  38  1.67945e+07
6  39  1.21855e+07
6  40  9.97962e+06
6  41  4.72611e+06
6  42  6.33618e+06
6  43  7.50231e+06
6  44  4.85424e+06
6  45  1.33648e+07
6  46  0
6  47  1.84193e+07
6  48  2.03936e+07
6  49  0
6  50  2.23123e+07
6  51  7.54909e+06
6  52  8.82827e+06
6  53  7.48106e+06
6  54  101768
6  55  7.49355e+06
6  56  1.37766e+07
6  57  1.84646e+07
6  58  1.13485e+07
6  59  2.01175e+06
6  60  1.83113e+07
6  61  4.67427e+06
6  62  1.71145e+07
6  63  1.4686e+07
6  64  6.08912e+06
6  65  9.61627e+06
6  66  1.53421e+07
6  67  2.04786e+07
6  68  1.97693e+06
6  69  2.06994e+07
6  70  1.12274e+07
6  71  4.4614e+06
6  72  2.13086e+07
6  73  0
6  74  1.8348e+06
6  75  1.29272e+07
6  76  1.45532e+07
6  77  1.96547e+07
6  78  5.56952e+06
6  79  9.31104e+06
6  80  385326
6  81  1.49564e+07
6  82  0
6  83  153503
6  84  1.7485e+07
6  85  1.65631e+07
6  86  502232
6  87  1.00543e+07
6  88  1.4948e+07
6  89  1.36855e+07
6  90  1.48565e+07
6  91  0
6  92  1.61891e+07
6  93  8.53741e+06
6  94  5.68186e+06
6  95  8.16441e+06
6  96  1.6592e+07
6  97  1.17218e+07
6  98  1.8226e+07
6  99  0
6  100  8.37766e+06
7  0  5.53703e+06
7  1  7.82101e+06
7  2  7.80808e+06
7  3  1.08042e+07
7  4  8.92502e+06
7  5  5.51954e+06
7  6  9.61779e+06
7  7  7.692e+06
7  8  3.24526e+06
7  9  0
7  10  5.95973e+06
7  11  4.71036e+06
7  12  1.04368e+07
7  13  9.36822e+06
7  14  8.16982e+06
7  15  6.71454e+06
7  16  4.42093e+06
7  17  1.50572e+07
7  18  1.54549e+07
7  19  2.1918e+06
7  20  4.75367e+06
7  21  1.55615e+06
7  22  0
7  23  1.47282e+07
7  24  5.35749e+06
7  25  8.42687e+06
7  26  9.26684e+06
7  27  5.91433e+06
7  28  0
7  29  1.2348e+07
7  30  1.99741e+07
7  31  9.84228e+06
7  32  1.27204e+07
7  33  1.81447e+07
7  34  1.529e+07
7  35  6.91024e+06
7  36  6.76062e+06
7  37  1.70799e+07
7  38  4.42491e+06
7  39  1.43394e+07
7  40  2.37467e+06
7  41  6.60132e+06
7  42  757865
7  43  0
7  44  5.74351e+06
7  45  5.01528e+06
7  46  0
7  47  8.64333e+06
7  48  1.45712e+06
7  49  2.77673e+06
7  50  1.05832e+07
7  51  6.7325e+06
7  52  3.09678e+06
7  53  5.30719e+06
7  54  718030
7  55  5.05746e+06
7  56  0
7  57  1.11782e+07
7  58  1.48751e+07
7  59  0
7  60  1.10353e+07
7  61  1.39133e+07
7  62  0
7  63  1.75022e+07
7  64  1.4492e+06
7  65  9.4357e+06
7  66  6.27502e+06
7  67  1.64384e+07
7  68  0
7  69  0
7  70  3.07019e+07
7  71  1.17563e+07
7  72  8.11495e+06
7  73  1.65056e+07
7  74  1.5501e+07
7  75  9.54875e+06
7  76  1.26459e+07
7  77  5.47094e+06
7  78  2.13872e+06
7  79  0
7  80  0
7  81  7.63104e+06
7  82  2.81376e+07
7  83  277002
7  84  0
7  85  6.16985e+06
7  86  0
7  87  3.10181e+06
7  88  1.42946e+07
7  89  1.4234e+07
7  90  1.90333e+07
7  91  8.16583e+06
7  92  1.86152e+07
7  93  2.16315e+06
7  94  1.12493e+07
7  95  9.7324e+06
7  96  2.5315e+06
7  97  1.01333e+06
7  98  3.57215e+06
7  99  2.78267e+06
7  100  0
8  0  3.93055e+06
8  1  1.15149e+07
8  2  5.25724e+06
8  3  4.97424e+06
8  4  1.29082e+07
8  5  7.00738e+06
8  6  3.74043e+06
8  7  9.33799e+06
8  8  1.08095e+07
8  9  0
8  10  754042
8  11  0
8  12  1.56105e+07
8  13  1.28138e+07
8  14  9.31871e+06
8  15  6.27326e+06
8  16  9.37948e+06
8  17  7.71348e+06
8  18  4.46165e+06
8  19  1.2973e+07
8  20  1.75706e+07
8  21  0
8  22  6.97937e+06
8  23  1.58248e+07
8  24  3.59828e+06
8  25  6.39677e+06
8  26  2.77835e+07
8  27  1.48658e+07
8  28  9.76357e+06
8  29  1.43358e+07
8  30  9.11472e+06
8  31  1.04751e+07
8  32  1.422e+07
8  33  7.80855e+06
8  34  0
8  35  7.84564e+06
8  36  1.23115e+07
8  37  2.69563e+06
8  38  6.94645e+06
8  39  8.59481e+06
8  40  6.46784e+06
8  41  9.3601e+06
8  42  8.07883e+06
8  43  1.20069e+07
8  44  1.31408e+07
8  45  1.25672e+07
8  46  1.02197e+07
8  47  0
8  48  1.1661e+07
8  49  9.36506e+06
8  50  3.27969e+06
8  51  1.68603e+07
8  52  9.99633e+06
8  53  1.31934e+07
8  54  1.14365e+07
8  55  0
8  56  1.10864e+06
8  57  0
8  58  1.14763e+07
8  59  0
8  60  1.61306e+07
8  61  0
8  62  1.02692e+07
8  63  5.8558e+06
8  64  9.37508e+06
8  65  0
8  66  9.84916e+06
8  67  1.4558e+07
8  68  2.87997e+07
8  69  1.75004e+07
8  70  0
8  71  9.35463e+06
8  72  3.9216e+06
8  73  6.80512e+06
8  74  6.44478e+06
8  75  7.64645e+06
8  76  2.11016e+07
8  77  6.05296e+06
8  78  1.40804e+06
8  79  1.02936e+07
8  80  8.52618e+06
8  81  1.32008e+07
8  82  748498
8  83  6.62842e+06
8  84  1.54717e+07
8  85  9.1813e+06
8  86  1.06179e+07
8  87  1.12525e+07
8  88  9.61557e+06
8  89  1.06997e+07
8  90  353820
8  91  1.35004e+07
8  92  9.30891e+06
8  93  9.27674e+06
8  94  1.92293e+07
8  95  1.41922e+07
8  96  1.60622e+07
8  97  4.42855e+06
8  98  2.4907e+07
8  99  3.12796e+06
8  100  1.25243e+07
9  0  6.93151e+06
9  1  0
9  2  6.59131e+06
9  3  9.04525e+06
9  4  4.29691e+06
9  5  2.60096e+06
9  6  0
9  7  6.21922e+06
9  8  9.00649e+06
9  9  3.0082e+06
9  10  6.92916e+06
9  11  1.73382e+07
9  12  0
9  13  141506
9  14  1.13238e+07
9  15  9.27099e+06
9  16  5.47998e+06
9  17  7.13881e+06
9  18  0
9  19  5.52402e+06
9  20  4.1527e+06
9  21  1.47928e+07
9  22  6.78762e+06
9  23  4.37569e+06
9  24  1.67638e+06
9  25  9.41826e+06
9  26  1.15089e+07
9  27  0
9  28  1.0006e+07
9  29  1.4796e+06
9  30  1.62389e+07
9  31  2.43062e+07
9  32  1.67435e+07
9  33  0
9  34  1.50515e+07
9  35  1.59851e+07
9  36  1.658e+07
9  37  3.26066e+06
9  38  0
9  39  7.9528e+06
9  40  8.55262e+06
9  41  1.10598e+07
9  42  1.05064e+07
9  43  1.27882e+06
9  44  0
9  45  9.79252e+06
9  46  4.13588e+06
9  47  1.31111e+07
9  48  0
9  49  1.43678e+07
9  50  1.21038e+07
9  51  0
9  52  1.22902e+07
9  53  1.70059e+07
9  54  1.00168e+07
9  55  1.84075e+07
9  56  1.28964e+07
9  57  1.49156e+07
9  58  0
9  59  5.60285e+06
9  60  1.63345e+07
9  61  1.49334e+07
9  62  0
9  63  196390
9  64  6.3083e+06
9  65  1.54105e+07
9  66  2.36344e+07
9  67  1.72498e+07
9  68  9.97346e+06
9  69  0
9  70  2.01389e+07
9  71  1.53709e+07
9  72  0
9  73  1.18937e+07
9  74  3.55484e+06
9  75  1.39509e+07
9  76  1.39336e+07
9  77  0
9  78  1.15528e+07
9  79  1.5148e+07
9  80  4.57315e+06
9  81  3.70797e+06
9  82  1.26098e+07
9  83  1.40076e+07
9  84  1.81551e+07
9  85  8.8507e+06
9  86  0
9  87  3.89459e+06
9  88  1.0127e+07
9  89  2.4288e+07
9  90  1.04015e+06
9  91  6.10115e+06
9  92  1.42256e+07
9  93  2.26764e+06
9  94  1.31935e+07
9  95  1.41937e+07
9  96  3.04434e+06
9  97  1.99856e+07
9  98  1.44521e+07
9  99  1.5766e+07
9  100  5.3601e+06
10  0  9.15676e+06
10  1  7.64438e+06
10  2  5.55467e+06
10  3  3.5263e+06
10  4  0
10  5  5.20581e+06
10  6  7.51195e+06
10  7  8.21919e+06
10  8  1.35702e+06
10  9  0
10  10  8.87114e+06
10  11  5.02856e+06
10  12  6.60173e+06
10  13  3.33263e+06
10  14  6.22223e+06
10  15  6.05152e+06
10  16  1.08965e+07
10  17  0
10  18  6.07052e+06
10  19  1.03913e+07
10  20  7.44357e+06
10  21  5.7653e+06
10  22  4.46028e+06
10  23  9.7315e+06
10  24  1.72069e+06
10  25  1.45941e+07
10  26  8.63716e+06
10  27  9.18792e+06
10  28  0
10  29  1.79391e+07
10  30  2.25185e+07
10  31  0
10  32  8.43071e+06
10  33  0
10  34  5.61026e+06
10  35  6.16898e+06
10  36  1.27711e+07
10  37  3.0937e+06
10  38  7.71489e+06
10  39  1.1825e+07
10  40  8.6261e+06
10  41  0
10  42  1.6828e+07
10  43  1.38041e+07
10  44  1.84653e+07
10  45  3.63247e+06
10  46  1.03492e+07
10  47  1.06934e+07
10  48  9.39635e+06
10  49  1.26318e+07
10  50  0
10  51  368535
10  52  1.12293e+06
10  53  5.21294e+06
10  54  6.20573e+06
10  55  1.57426e+07
10  56  4.71899e+06
10  57  7.8272e+06
10  58  1.24936e+06
10  59  8.72471e+06
10  60  4.05678e+06
10  61  1.16005e+07
10  62  9.00048e+06
10  63  9.28791e+06
