row  column  (images_6a.edf S-K*images_6a.edf Ar-K**2.3)
4  34  3.02318e+07
4  35  2.17121e+07
4  36  3.87077e+07
4  37  3.46394e+07
4  38  4.70483e+07
4  39  4.08331e+07
4  40  3.47851e+07
4  41  2.14293e+07
4  42  2.75796e+07
4  43  2.04036e+07
4  44  1.61249e+07
4  45  2.60029e+07
4  46  2.47919e+07
4  47  1.57936e+07
4  48  2.96213e+07
4  49  3.69075e+07
4  50  3.55599e+07
4  51  2.54619e+07
4  52  3.59917e+07
4  53  3.80954e+07
4  54  4.74868e+07
4  55  4.28456e+07
4  56  3.24101e+07
4  57  2.56668e+07
4  58  3.08509e+07
4  59  3.83287e+07
4  60  3.2725e+07
4  61  3.24468e+07
4  62  1.79703e+07
4  63  2.69208e+07
4  64  2.41116e+07
4  65  1.42301e+07
4  66  2.02653e+07
4  67  8.62188e+06
4  68  8.9436e+06
4  69  9.86069e+06
4  70  1.57453e+07
4  71  6.43363e+06
4  72  6.91078e+06
4  73  0
4  74  1.20481e+07
4  75  6.14224e+06
4  76  1.30875e+07
4  77  3.81867e+06
4  78  1.14094e+07
4  79  5.31412e+06
4  80  4.65034e+06
4  81  3.66375e+06
4  82  0
4  83  2.12921e+06
4  84  1.63336e+06
4  85  6.33893e+06
4  86  0
4  87  0
4  88  1.05195e+06
4  89  140690
4  90  2.04936e+06
4  91  591928
4  92  1.83032e+06
4  93  0
4  94  1.76849e+06
4  95  351554
4  96  0
4  97  0
4  98  0
4  99  193684
4  100  0
5  0  3.30333e+07
5  1  5.29719e+07
5  2  2.82634e+07
5  3  3.83892e+07
5  4  3.31119e+07
5  5  4.67678e+07
5  6  3.76923e+07
5  7  3.85303e+07
5  8  4.2953e+07
5  9  3.34652e+07
5  10  4.67839e+07
5  11  5.12582e+07
5  12  5.01891e+07
5  13  5.61685e+07
5  14  3.97723e+07
5  15  4.65652e+07
5  16  3.10064e+07
5  17  4.7909e+07
5  18  3.46083e+07
5  19  3.86914e+07
5  20  4.83912e+07
5  21  1.78133e+07
5  22  2.46232e+07
5  23  3.53941e+07
5  24  3.6983e+07
5  25  3.78438e+07
5  26  4.64735e+07
5  27  3.25559e+07
5  28  3.70893e+07
5  29  3.01964e+07
5  30  3.8138e+07
5  31  5.87598e+07
5  32  3.95811e+07
5  33  3.37194e+07
5  34  4.52813e+07
5  35  3.98336e+07
5  36  3.18879e+07
5  37  6.06968e+07
5  38  4.68423e+07
5  39  4.71502e+07
5  40  3.74101e+07
5  41  2.57436e+07
5  42  2.95424e+07
5  43  9.06997e+06
5  44  1.03614e+07
5  45  1.30694e+07
5  46  2.21917e+07
5  47  3.34647e+07
5  48  3.57297e+07
5  49  3.56687e+07
5  50  3.38724e+07
5  51  5.15148e+07
5  52  4.9639e+07
5  53  4.44032e+07
5  54  5.08205e+07
5  55  3.87109e+07
5  56  5.11248e+07
5  57  3.61884e+07
5  58  4.02662e+07
5  59  3.93554e+07
5  60  2.72979e+07
5  61  3.44951e+07
5  62  2.71078e+07
5  63  2.30659e+07
5  64  1.93832e+07
