row  column  (images_6a.edf Zn-K*images_6a.edf Ar-K**2.3)
4  53  4.10731e+07
4  54  4.32695e+07
4  55  6.12223e+07
4  56  3.59007e+07
4  57  1.13897e+07
4  58  1.36796e+07
4  59  2.8663e+07
4  60  3.62634e+07
4  61  5.90877e+07
4  62  1.89262e+07
4  63  9.46623e+06
4  64  1.60851e+07
4  65  1.34799e+07
4  66  1.19173e+07
4  67  4.99967e+07
4  68  0
4  69  4.92011e+06
4  70  2.68957e+07
4  71  1.32059e+07
4  72  7.34534e+06
4  73  0
4  74  1.82078e+07
4  75  1.64773e+07
4  76  0
4  77  7.50962e+06
4  78  0
4  79  0
4  80  0
4  81  1.56841e+06
4  82  2.38439e+06
4  83  8.34609e+06
4  84  2.79992e+06
4  85  0
4  86  5.0606e+06
4  87  7.00839e+06
4  88  0
4  89  0
4  90  0
4  91  0
4  92  111890
4  93  0
4  94  0
4  95  1.81053e+07
4  96  6.31179e+06
4  97  1.03372e+07
4  98  5.69071e+06
4  99  3.46096e+06
4  100  9.03212e+06
5  0  6.70231e+07
5  1  6.30263e+07
5  2  5.59554e+07
5  3  4.14699e+07
5  4  5.95457e+07
5  5  7.38066e+07
5  6  5.90077e+07
5  7  4.19953e+07
5  8  5.54134e+07
5  9  5.32714e+07
5  10  4.08187e+07
5  11  4.37499e+07
5  12  8.18857e+07
5  13  6.55173e+07
5  14  5.38534e+07
5  15  6.97455e+07
5  16  5.21223e+07
5  17  1.52681e+07
5  18  6.09876e+07
5  19  4.67842e+07
5  20  3.36764e+07
5  21  2.94367e+07
5  22  5.50756e+07
5  23  5.20107e+07
5  24  5.78561e+07
5  25  3.77416e+07
5  26  4.38522e+07
5  27  4.89252e+07
5  28  2.84225e+07
5  29  3.65657e+07
5  30  3.5176e+07
5  31  3.3022e+07
5  32  2.81559e+07
5  33  3.1533e+07
5  34  4.19625e+07
5  35  3.4914e+07
5  36  4.14448e+07
5  37  6.90292e+07
5  38  5.41194e+07
5  39  4.26429e+07
5  40  4.68616e+07
5  41  1.73491e+07
5  42  2.39395e+07
5  43  0
5  44  1.00869e+07
5  45  1.16436e+07
5  46  8.03249e+06
5  47  5.78077e+07
5  48  5.38021e+07
5  49  3.84473e+07
5  50  3.26331e+07
5  51  4.63282e+07
5  52  4.57657e+07
5  53  6.78847e+07
5  54  6.87531e+07
5  55  3.37579e+07
5  56  8.94825e+06
5  57  2.81007e+07
5  58  2.02712e+07
5  59  3.80815e+07
5  60  4.0682e+07
5  61  1.6724e+07
5  62  4.06996e+07
5  63  1.8939e+07
5  64  3.26181e+07
5  65  2.5847e+07
5  66  1.08095e+07
5  67  4.64706e+06
5  68  7.57983e+06
5  69  4.7309e+06
5  70  1.58555e+07
5  71  8.48589e+06
5  72  1.5635e+07
5  73  3.1352e+07
5  74  3.24835e+07
5  75  4.33993e+06
5  76  2.71738e+07
5  77  0
5  78  2.93859e+06
5  79  8.88282e+06
5  80  0
5  81  2.90337e+07
5  82  1.0297e+07
5  83  6.17464e+06
5  84  4.72922e+07
5  85  0
5  86  9.93664e+06
5  87  0
5  88  1.02444e+07
5  89  2.43531e+07
5  90  3.53421e+06
5  91  9.76413e+06
5  92  5.9106e+06
5  93  1.42972e+07
5  94  2.91283e+07
5  95  9.73328e+06
5  96  1.05056e+07
5  97  0
5  98  1.98244e+07
5  99  1.95092e+07
5  100  1.55824e+07
6  0  7.18974e+07
6  1  5.93339e+07
6  2  6.91626e+07
6  3  4.73256e+07
6  4  5.6847e+07
6  5  5.76712e+07
6  6  3.954e+07
6  7  5.42536e+07
6  8  6.23905e+07
6  9  4.63778e+07
6  10  5.64694e+07
6  11  3.84263e+07
6  12  4.35289e+07
6  13  1.06941e+07
6  14  6.54711e+07
6  15  6.13141e+07
6  16  5.94112e+07
6  17  3.42058e+07
6  18  2.9201e+07
6  19  7.04919e+07
6  20  4.22229e+07
6  21  2.64392e+07
6  22  2.91454e+07
6  23  3.40906e+07
6  24  3.80729e+07
6  25  4.67677e+07
6  26  3.6601e+07
6  27  6.04488e+07
6  28  5.0341e+07
6  29  4.29342e+07
6  30  7.0414e+07
6  31  3.45658e+07
6  32  3.45808e+07
6  33  3.75318e+07
6  34  2.49052e+07
6  35  6.79059e+07
6  36  4.46372e+07
6  37  7.56595e+07
6  38  6.23215e+07
6  39  4.66188e+07
6  40  2.23825e+07
6  41  3.70895e+07
6  42  4.89939e+06
6  43  2.056e+07
6  44  1.27359e+07
6  45  1.98373e+07
6  46  5.53078e+07
6  47  2.30672e+07
6  48  2.46966e+07
6  49  2.46855e+07
6  50  4.24008e+07
6  51  2.69453e+07
6  52  2.40594e+07
6  53  3.49126e+07
6  54  5.19507e+07
6  55  2.99777e+07
6  56  2.99551e+07
6  57  2.17867e+07
6  58  2.78023e+07
6  59  3.39956e+07
6  60  5.45033e+07
6  61  4.29341e+07
6  62  5.18033e+07
6  63  2.69552e+07
6  64  4.38396e+07
6  65  1.76448e+07
6  66  0
6  67  1.50244e+07
6  68  8.17068e+06
6  69  2.89471e+07
6  70  1.07258e+07
6  71  4.90233e+07
6  72  2.05661e+07
6  73  3.77333e+07
6  74  1.30006e+07
6  75  2.59806e+07
6  76  3.73507e+07
6  77  1.63703e+07
6  78  6.24421e+06
6  79  361478
6  80  8.50256e+06
6  81  1.31355e+07
6  82  2.98216e+07
6  83  3.49661e+06
6  84  624885
6  85  5.77368e+06
6  86  2.40949e+07
6  87  0
6  88  2.6156e+06
6  89  8.49439e+06
6  90  735309
6  91  1.00391e+07
6  92  4.6195e+06
6  93  1.08634e+07
6  94  4.96496e+06
6  95  0
6  96  1.59349e+06
6  97  0
6  98  8.7459e+06
6  99  0
6  100  5.85329e+06
7  0  6.27659e+07
7  1  6.34279e+07
7  2  5.58823e+07
7  3  5.06346e+07
7  4  4.92611e+07
7  5  5.35632e+07
7  6  4.86905e+07
7  7  3.93716e+07
7  8  0
7  9  7.17567e+07
7  10  3.9303e+07
7  11  6.02163e+07
7  12  4.38729e+07
7  13  3.85363e+07
7  14  8.04103e+07
7  15  4.93949e+07
7  16  5.77501e+07
7  17  3.56763e+07
7  18  2.47632e+07
7  19  5.52678e+07
7  20  4.65571e+07
7  21  2.52794e+07
7  22  3.80882e+07
7  23  3.22378e+07
7  24  6.32875e+07
7  25  4.57455e+07
7  26  3.38051e+07
7  27  5.19519e+07
