row  column  (images_25_2_757.edf Fe-K*images_25_2_757.edf Ar-K**2.3)
11  0  1.41291e+08
11  1  1.6877e+08
11  2  1.67716e+08
11  3  1.905e+08
11  4  1.43841e+08
11  5  1.62763e+08
11  6  2.16645e+08
11  7  2.48047e+08
11  8  3.25406e+08
11  9  3.13793e+08
11  10  4.25991e+08
11  11  7.20509e+08
11  12  3.25515e+09
11  13  6.68373e+09
11  14  1.48222e+09
11  15  6.2674e+08
11  16  4.03189e+08
11  17  2.89206e+08
11  18  1.95117e+08
11  19  1.59049e+08
11  20  1.35747e+08
11  21  1.24459e+08
11  22  1.40493e+08
11  23  1.29142e+08
11  24  1.29898e+08
11  25  1.44245e+08
11  26  1.31678e+08
11  27  1.59446e+08
11  28  1.55489e+08
11  29  1.29278e+08
11  30  1.03395e+08
11  31  8.60435e+07
11  32  1.01954e+08
11  33  9.10282e+07
11  34  9.183e+07
11  35  8.88267e+07
11  36  1.08928e+08
11  37  1.25961e+08
11  38  1.11523e+08
11  39  1.09339e+08
11  40  1.1389e+08
11  41  9.11657e+07
11  42  8.80074e+07
11  43  8.06151e+07
11  44  7.96684e+07
11  45  1.05845e+08
11  46  8.95981e+07
11  47  9.37088e+07
11  48  9.78237e+07
11  49  8.10105e+07
11  50  9.83392e+07
12  0  1.5698e+08
12  1  1.53905e+08
12  2  1.76837e+08
12  3  2.99054e+08
12  4  1.90895e+08
12  5  2.05225e+08
12  6  2.44185e+08
12  7  2.82547e+08
12  8  3.64665e+08
12  9  4.43499e+08
12  10  6.73205e+08
12  11  9.81375e+08
12  12  3.26397e+09
12  13  6.17661e+09
12  14  2.21667e+09
12  15  9.48433e+08
12  16  5.27019e+08
12  17  3.61655e+08
12  18  2.7559e+08
12  19  1.99141e+08
12  20  1.76312e+08
12  21  1.43952e+08
12  22  1.26723e+08
12  23  1.33965e+08
12  24  1.27545e+08
12  25  1.20768e+08
12  26  1.62478e+08
12  27  1.33572e+08
12  28  1.54031e+08
12  29  1.06278e+08
12  30  1.14257e+08
12  31  9.47255e+07
12  32  1.1288e+08
12  33  1.15191e+08
12  34  1.04221e+08
12  35  1.04313e+08
12  36  9.6906e+07
12  37  1.07318e+08
12  38  9.94457e+07
12  39  9.04484e+07
12  40  9.79452e+07
12  41  9.80865e+07
12  42  9.62505e+07
12  43  8.05127e+07
12  44  7.339e+07
12  45  6.96147e+07
12  46  8.66362e+07
12  47  7.95262e+07
12  48  8.40071e+07
12  49  1.09522e+08
12  50  7.82257e+07
13  0  1.398e+08
13  1  1.4584e+08
13  2  1.76536e+08
13  3  1.75383e+08
13  4  2.16646e+08
13  5  2.6429e+08
13  6  2.83329e+08
13  7  3.52525e+08
13  8  4.9353e+08
13  9  6.03407e+08
13  10  8.81193e+08
13  11  1.26159e+09
13  12  3.7206e+09
