row  column  (images_25_2_757.edf Ca-K*images_25_2_757.edf Ar-K**2.3)
7  22  8.24619e+08
7  23  1.26064e+09
7  24  1.45622e+09
7  25  1.36684e+09
7  26  1.09843e+09
7  27  1.27989e+09
7  28  1.28505e+09
7  29  1.19959e+09
7  30  9.70383e+08
7  31  9.37059e+08
7  32  9.79257e+08
7  33  9.86893e+08
7  34  9.14023e+08
7  35  1.08081e+09
7  36  1.12464e+09
7  37  1.15554e+09
7  38  1.29126e+09
7  39  1.25971e+09
7  40  1.59835e+09
7  41  1.55353e+09
7  42  1.48926e+09
7  43  1.35014e+09
7  44  1.44518e+09
7  45  1.57693e+09
7  46  1.61317e+09
7  47  1.65312e+09
7  48  1.36993e+09
7  49  1.6061e+09
7  50  1.73767e+09
8  0  1.60338e+09
8  1  2.00194e+09
8  2  1.85085e+09
8  3  1.74046e+09
8  4  1.70204e+09
8  5  1.73227e+09
8  6  2.02865e+09
8  7  1.98385e+09
8  8  2.01177e+09
8  9  1.94985e+09
8  10  2.01733e+09
8  11  2.03545e+09
8  12  2.02776e+09
8  13  1.70608e+09
8  14  1.81483e+09
8  15  1.64855e+09
8  16  1.50047e+09
8  17  1.12555e+09
8  18  1.27861e+09
8  19  9.61692e+08
8  20  9.705e+08
8  21  8.69655e+08
8  22  9.41399e+08
8  23  1.23023e+09
8  24  1.47512e+09
8  25  1.38343e+09
8  26  1.45236e+09
8  27  1.21632e+09
8  28  1.5682e+09
8  29  1.41918e+09
8  30  1.09183e+09
8  31  1.04972e+09
8  32  1.14264e+09
8  33  1.17375e+09
8  34  1.18346e+09
8  35  1.20874e+09
8  36  1.15564e+09
8  37  1.38449e+09
8  38  1.32546e+09
8  39  1.37985e+09
8  40  1.52563e+09
8  41  1.51359e+09
8  42  1.43102e+09
8  43  1.44458e+09
8  44  1.38633e+09
8  45  1.55444e+09
8  46  1.5046e+09
8  47  1.82952e+09
8  48  1.51836e+09
8  49  1.6482e+09
8  50  1.74843e+09
9  0  1.58785e+09
9  1  2.04837e+09
9  2  1.66913e+09
9  3  1.66828e+09
9  4  1.41775e+09
9  5  1.74845e+09
9  6  2.10697e+09
9  7  1.8075e+09
9  8  2.00646e+09
9  9  1.83437e+09
9  10  1.78208e+09
9  11  2.17885e+09
9  12  1.88376e+09
9  13  1.6893e+09
9  14  1.97049e+09
9  15  1.86157e+09
9  16  1.61477e+09
9  17  1.36935e+09
9  18  1.326e+09
9  19  1.11964e+09
9  20  1.19216e+09
9  21  1.11651e+09
9  22  9.25428e+08
9  23  1.29272e+09
9  24  1.35297e+09
9  25  1.62272e+09
9  26  1.37098e+09
9  27  1.36569e+09
9  28  1.66529e+09
9  29  1.5816e+09
9  30  1.28441e+09
9  31  1.2019e+09
9  32  1.32616e+09
9  33  1.34756e+09
9  34  1.21114e+09
9  35  1.38439e+09
9  36  1.25049e+09
9  37  1.32381e+09
9  38  1.28009e+09
9  39  1.33645e+09
9  40  1.59728e+09
9  41  1.52444e+09
9  42  1.41662e+09
9  43  1.53125e+09
9  44  1.3773e+09
9  45  1.52591e+09
9  46  1.53793e+09
9  47  1.58402e+09
9  48  1.55506e+09
9  49  1.51722e+09
9  50  1.8943e+09
10  0  1.63916e+09
10  1  2.09191e+09
10  2  1.84524e+09
10  3  1.70421e+09
10  4  1.84238e+09
10  5  1.74359e+09
10  6  2.19107e+09
10  7  2.06224e+09
10  8  2.06535e+09
10  9  1.96056e+09
10  10  1.81603e+09
10  11  2.23056e+09
10  12  2.00861e+09
