row  column  (images_25_2_757.edf P-K*images_25_2_757.edf Ar-K**2.3)
17  40  0
17  41  0
17  42  0
17  43  0
17  44  1.72184e+07
17  45  8.0841e+06
17  46  0
17  47  0
17  48  0
17  49  1.01175e+07
17  50  1.90594e+07
18  0  0
18  1  0
18  2  0
18  3  0
18  4  0
18  5  0
18  6  0
18  7  0
18  8  1.33933e+07
18  9  1.04741e+07
18  10  1.67301e+07
18  11  0
18  12  1.64128e+07
18  13  1.08778e+07
18  14  0
18  15  0
18  16  0
18  17  9.49608e+06
18  18  0
18  19  0
18  20  8.54763e+06
18  21  1.54593e+07
18  22  0
18  23  9.70523e+06
18  24  9.24314e+06
18  25  1.21594e+07
18  26  0
18  27  8.15439e+06
18  28  0
18  29  0
18  30  0
18  31  1.40385e+07
18  32  1.2131e+07
18  33  1.22862e+07
18  34  9.44367e+06
18  35  6.6004e+06
18  36  1.40297e+07
18  37  0
18  38  0
18  39  1.00215e+07
18  40  0
18  41  0
18  42  0
18  43  0
18  44  0
18  45  0
18  46  7.37576e+06
18  47  1.17936e+07
18  48  0
18  49  8.11966e+06
18  50  1.0283e+07
19  0  0
19  1  0
19  2  0
19  3  0
19  4  0
19  5  9.23325e+06
19  6  0
19  7  0
19  8  0
19  9  0
19  10  0
19  11  0
19  12  0
19  13  1.441e+07
19  14  0
19  15  0
19  16  0
19  17  1.44539e+07
19  18  0
19  19  1.32904e+07
19  20  0
19  21  1.26394e+07
19  22  8.24152e+06
19  23  1.33575e+07
19  24  0
19  25  0
19  26  0
19  27  0
19  28  0
19  29  0
19  30  0
19  31  0
19  32  0
19  33  8.21337e+06
19  34  1.30736e+07
19  35  0
19  36  0
19  37  0
19  38  0
19  39  0
19  40  0
19  41  0
19  42  9.75052e+06
19  43  1.63768e+06
19  44  0
19  45  0
19  46  0
19  47  8.05315e+06
19  48  0
19  49  1.21244e+07
19  50  1.11691e+07
20  0  0
20  1  0
20  2  0
20  3  0
20  4  8.57269e+06
20  5  1.17873e+07
20  6  1.21843e+07
20  7  1.4201e+07
20  8  1.31462e+07
20  9  1.0606e+07
20  10  0
20  11  0
20  12  0
20  13  0
20  14  0
20  15  0
20  16  0
20  17  0
20  18  1.00029e+07
20  19  1.81187e+07
20  20  1.72454e+07
20  21  1.61545e+07
20  22  0
20  23  0
20  24  1.31979e+07
20  25  1.43205e+07
20  26  1.55402e+07
20  27  0
20  28  0
20  29  0
