row  column  (images_25_2_757.edf Mn-K*images_25_2_757.edf Ar-K**2.3)
9  14  4.82458e+06
9  15  1.18381e+07
9  16  1.7406e+07
9  17  2.2973e+07
9  18  1.57719e+07
9  19  1.09387e+07
9  20  3.43747e+07
9  21  3.32292e+07
9  22  1.76401e+07
9  23  2.71372e+07
9  24  1.06892e+07
9  25  1.34744e+07
9  26  9.19952e+06
9  27  2.07376e+07
9  28  1.06147e+07
9  29  2.01732e+07
9  30  1.36771e+07
9  31  2.07905e+07
9  32  2.06681e+07
9  33  1.85057e+07
9  34  1.80884e+07
9  35  2.54595e+07
9  36  1.59778e+07
9  37  1.28103e+07
9  38  1.39541e+07
9  39  1.75132e+07
9  40  2.70192e+07
9  41  1.4825e+07
9  42  1.2811e+07
9  43  2.25621e+07
9  44  2.15787e+07
9  45  2.77446e+07
9  46  1.01827e+07
9  47  1.6506e+07
9  48  1.44499e+07
9  49  1.58775e+07
9  50  2.30453e+07
10  0  2.39164e+07
10  1  1.7116e+07
10  2  8.86749e+06
10  3  1.52203e+07
10  4  1.30278e+07
10  5  1.50656e+07
10  6  1.84444e+07
10  7  7.99138e+06
10  8  1.47288e+07
10  9  5.5811e+06
10  10  1.47855e+07
10  11  8.79666e+06
10  12  0
10  13  0
10  14  2.65347e+07
10  15  1.0912e+07
10  16  2.42088e+07
10  17  1.81146e+07
10  18  1.35071e+07
10  19  2.2393e+07
10  20  9.11412e+06
10  21  1.97621e+07
10  22  1.031e+07
10  23  9.23047e+06
10  24  2.06685e+07
10  25  1.88527e+07
10  26  5.92506e+06
10  27  1.83713e+07
10  28  1.44364e+07
10  29  9.36713e+06
10  30  2.09803e+07
10  31  1.95121e+07
10  32  1.79789e+07
10  33  1.84568e+07
10  34  1.79617e+07
10  35  1.41552e+07
10  36  2.01728e+07
10  37  1.49322e+07
10  38  1.8407e+07
10  39  4.53409e+06
10  40  1.69735e+07
10  41  1.57193e+07
10  42  1.18416e+07
10  43  2.32353e+07
