row  column  (images_25_2_757.edf Cu-K*images_25_2_757.edf Ar-K**2.3)
6  36  6.88954e+06
6  37  7.81003e+06
6  38  3.63621e+06
6  39  1.74483e+07
6  40  1.72804e+07
6  41  1.16328e+07
6  42  8.66959e+06
6  43  2.36853e+07
6  44  6.62927e+06
6  45  0
6  46  1.61394e+07
6  47  0
6  48  5.22266e+06
6  49  1.2343e+07
6  50  1.78447e+07
7  0  3.82172e+06
7  1  1.00521e+07
7  2  1.90077e+07
7  3  3.11934e+07
7  4  1.06801e+07
7  5  9.91633e+06
7  6  1.48921e+07
7  7  7.85045e+06
7  8  1.13035e+07
7  9  1.4059e+07
7  10  1.50345e+07
7  11  1.75938e+07
7  12  0
7  13  0
7  14  1.77928e+06
7  15  2.21679e+07
7  16  3.91189e+06
7  17  1.561e+07
7  18  1.26922e+07
7  19  1.22895e+07
7  20  5.31345e+06
7  21  8.18907e+06
7  22  9.93321e+06
7  23  1.582e+07
7  24  3.82564e+06
7  25  9.54413e+06
7  26  0
7  27  1.80269e+07
7  28  1.19671e+07
7  29  1.38633e+07
7  30  2.26477e+06
7  31  1.71912e+07
7  32  4.65122e+06
7  33  0
7  34  4.98589e+06
7  35  1.34776e+07
7  36  1.37312e+07
7  37  1.17562e+07
7  38  2.37244e+07
7  39  1.72041e+07
7  40  1.18987e+07
7  41  8.19724e+06
7  42  1.66035e+07
7  43  1.7161e+07
7  44  1.23342e+07
7  45  1.05174e+07
7  46  1.20787e+07
7  47  7.99026e+06
7  48  7.70998e+06
7  49  1.04632e+07
7  50  1.47106e+07
8  0  4.98797e+06
8  1  5.53642e+06
8  2  8.61574e+06
8  3  1.53708e+06
8  4  4.77283e+06
8  5  0
8  6  1.48128e+07
8  7  1.85255e+07
8  8  5.79501e+06
8  9  7.6883e+06
8  10  1.21939e+07
8  11  1.45491e+07
8  12  0
8  13  0
8  14  4.22473e+06
8  15  1.93093e+07
8  16  1.08272e+07
8  17  793491
8  18  0
8  19  2.94139e+06
8  20  1.3899e+07
8  21  9.64521e+06
8  22  0
8  23  8.55333e+06
8  24  1.85921e+07
8  25  8.26946e+06
8  26  1.71609e+07
8  27  8.77018e+06
8  28  1.14459e+07
8  29  1.1716e+07
8  30  727014
8  31  6.17043e+06
8  32  7.56759e+06
8  33  1.19969e+07
8  34  1.0172e+07
8  35  911.811
8  36  1.46813e+07
8  37  6.78894e+06
8  38  6.81755e+06
8  39  9.24551e+06
8  40  2.71048e+06
8  41  8.93161e+06
8  42  1.0548e+07
8  43  1.38521e+07
8  44  1.20774e+06
8  45  1.40338e+07
8  46  1.00208e+07
8  47  1.99307e+07
8  48  9.02149e+06
8  49  2.09825e+07
8  50  2.34148e+07
9  0  7.8953e+06
9  1  2.10529e+07
9  2  1.29878e+07
9  3  1.39283e+07
9  4  1.03199e+07
9  5  5.47735e+06
9  6  2.52976e+07
9  7  2.52803e+07
9  8  1.26328e+07
9  9  1.21101e+07
9  10  1.04834e+07
9  11  1.00749e+07
9  12  0
9  13  0
9  14  0
9  15  2.22758e+07
9  16  2.08545e+07
9  17  2.41751e+07
9  18  5.89159e+06
9  19  6.06828e+06
9  20  1.70311e+07
9  21  1.26487e+06
9  22  0
9  23  4.62201e+06
9  24  1.83094e+07
9  25  78215.4
9  26  9.21559e+06
9  27  3.3982e+06
9  28  1.86261e+07
9  29  1.69883e+07
9  30  2.05218e+07
9  31  2.23199e+07
9  32  1.61221e+07
9  33  1.55645e+07
9  34  4.52048e+06
