row  column  (images_25_2_757.edf Zn-K*images_25_2_757.edf Ar-K**2.3)
7  22  1.95848e+07
7  23  4.03453e+07
7  24  4.55646e+07
7  25  3.9465e+07
7  26  3.07161e+07
7  27  2.04433e+07
7  28  4.74469e+07
7  29  2.31346e+07
7  30  1.30053e+07
7  31  2.7396e+07
7  32  2.66266e+07
7  33  2.75953e+07
7  34  4.15148e+07
7  35  3.15062e+07
7  36  2.85719e+07
7  37  4.5782e+07
7  38  3.73965e+07
7  39  2.85135e+07
7  40  5.80319e+07
7  41  4.75234e+07
7  42  4.73074e+07
7  43  4.16846e+07
7  44  3.1028e+07
7  45  4.85339e+07
7  46  5.30351e+07
7  47  5.67599e+07
7  48  3.65373e+07
7  49  3.92949e+07
7  50  4.61811e+07
8  0  6.86117e+07
8  1  7.53406e+07
8  2  8.09176e+07
8  3  6.4212e+07
8  4  5.2244e+07
8  5  4.90743e+07
8  6  5.96318e+07
8  7  5.37068e+07
8  8  7.30627e+07
8  9  6.27639e+07
8  10  5.02794e+07
8  11  7.78181e+07
8  12  2.12233e+08
8  13  3.85272e+08
8  14  1.03498e+08
8  15  7.83781e+07
8  16  6.34628e+07
8  17  4.79271e+07
8  18  1.84085e+08
8  19  6.72226e+07
8  20  5.21468e+07
8  21  3.53836e+07
8  22  2.10156e+07
8  23  3.83632e+07
8  24  5.01242e+07
8  25  3.86035e+07
8  26  4.15882e+07
8  27  2.65047e+07
8  28  6.87276e+07
8  29  4.79695e+07
8  30  2.91592e+07
8  31  2.84211e+07
8  32  2.60287e+07
8  33  3.10657e+07
8  34  2.71699e+07
8  35  1.50929e+07
8  36  3.69782e+07
8  37  4.53252e+07
8  38  4.82312e+07
8  39  4.11613e+07
8  40  5.12164e+07
8  41  2.75499e+07
8  42  2.50828e+07
8  43  2.80049e+07
8  44  1.78491e+07
8  45  4.59283e+07
8  46  5.36931e+07
8  47  7.13784e+07
8  48  4.40473e+07
8  49  4.85757e+07
8  50  5.86037e+07
9  0  7.05103e+07
9  1  8.2186e+07
9  2  7.27463e+07
9  3  5.06336e+07
9  4  4.83127e+07
9  5  4.41171e+07
9  6  7.80504e+07
9  7  7.93555e+07
9  8  8.02313e+07
9  9  6.53725e+07
9  10  5.6055e+07
9  11  9.62966e+07
9  12  2.71971e+08
9  13  5.35639e+08
9  14  1.09545e+08
9  15  9.59716e+07
9  16  5.73269e+07
9  17  6.3802e+07
9  18  1.8579e+08
9  19  4.57619e+07
9  20  3.59105e+07
9  21  4.14157e+07
9  22  2.4985e+07
9  23  3.69784e+07
9  24  4.73902e+07
9  25  6.93514e+07
9  26  4.1487e+07
9  27  3.55993e+07
9  28  6.37728e+07
9  29  3.53826e+07
9  30  3.78925e+07
9  31  2.99694e+07
9  32  4.63406e+07
9  33  2.96612e+07
9  34  4.01629e+07
9  35  4.71665e+07
9  36  3.01744e+07
9  37  4.63022e+07
9  38  3.37808e+07
9  39  3.52024e+07
9  40  4.88938e+07
9  41  4.276e+07
9  42  5.38845e+07
9  43  3.08054e+07
9  44  2.62115e+07
9  45  4.47095e+07
9  46  6.3431e+07
9  47  3.7549e+07
9  48  3.53719e+07
9  49  3.41727e+07
9  50  5.83998e+07
10  0  7.48479e+07
10  1  8.63174e+07
10  2  7.49038e+07
10  3  6.24923e+07
10  4  6.71246e+07
10  5  6.83576e+07
10  6  8.41068e+07
10  7  8.60814e+07
10  8  7.80384e+07
10  9  6.31319e+07
10  10  6.11111e+07
10  11  1.02804e+08
10  12  3.19499e+08
10  13  7.28522e+08
10  14  1.2752e+08
10  15  7.23013e+07
10  16  4.61422e+07
10  17  3.28016e+07
10  18  2.05244e+08
10  19  5.21887e+07
10  20  3.00126e+07
10  21  2.7566e+07
10  22  2.41482e+07
10  23  5.88598e+07
10  24  3.30864e+07
10  25  5.1877e+07
10  26  4.48862e+07
10  27  3.47566e+07
10  28  7.22158e+07
10  29  3.95005e+07
10  30  2.71012e+07
10  31  3.43208e+07
10  32  4.22503e+07
10  33  4.72799e+07
10  34  3.68051e+07
10  35  3.26875e+07
10  36  3.98599e+07
10  37  3.25683e+07
10  38  3.95787e+07
10  39  5.28754e+07
10  40  5.30081e+07
10  41  4.54562e+07
10  42  4.08547e+07
10  43  4.903e+07
10  44  3.41474e+07
10  45  4.7644e+07
10  46  2.8689e+07
10  47  5.99872e+07
10  48  4.19534e+07
10  49  5.41969e+07
10  50  6.35451e+07
11  0  7.30347e+07
11  1  9.75883e+07
11  2  7.06337e+07
11  3  4.63389e+07
11  4  6.94858e+07
11  5  2.83929e+07
11  6  9.21923e+07
11  7  6.68108e+07
11  8  1.0836e+08
11  9  7.86366e+07
11  10  7.29835e+07
11  11  1.14082e+08
11  12  5.51362e+08
11  13  1.01508e+09
11  14  1.59339e+08
11  15  1.07755e+08
11  16  8.75415e+07
11  17  5.70197e+07
11  18  1.84221e+08
11  19  5.13329e+07
11  20  4.93232e+07
11  21  1.57308e+07
11  22  3.78246e+07
11  23  3.6886e+07
11  24  3.76801e+07
11  25  4.1498e+07
11  26  4.0939e+07
11  27  4.14959e+07
11  28  5.25943e+07
11  29  3.39744e+07
11  30  4.05658e+07
11  31  3.11158e+07
11  32  3.27997e+07
11  33  7.00725e+07
11  34  3.49653e+07
11  35  4.84418e+07
11  36  3.54162e+07
11  37  5.69016e+07
11  38  4.71708e+07
11  39  4.01865e+07
11  40  6.44681e+07
11  41  6.34653e+07
11  42  2.14091e+07
11  43  3.76196e+07
11  44  1.93657e+07
11  45  3.37102e+07
11  46  4.81897e+07
11  47  5.30506e+07
11  48  3.99672e+07
11  49  4.93967e+07
11  50  4.83302e+07
12  0  6.09423e+07
12  1  7.68221e+07
12  2  5.55936e+07
12  3  3.61315e+07
12  4  5.77756e+07
12  5  6.72136e+07
12  6  7.30386e+07
12  7  9.66513e+07
12  8  8.1797e+07
12  9  9.87902e+07
12  10  1.14187e+08
12  11  1.76554e+08
12  12  5.829e+08
12  13  1.04521e+09
12  14  2.19337e+08
12  15  1.53966e+08
12  16  8.15383e+07
12  17  8.0011e+07
12  18  1.19467e+08
12  19  5.4394e+07
12  20  3.56331e+07
12  21  1.38101e+07
12  22  2.94479e+07
12  23  4.58794e+07
12  24  3.06908e+07
12  25  4.68248e+07
12  26  3.59775e+07
12  27  4.22359e+07
12  28  7.58875e+07
12  29  5.41572e+07
12  30  3.39534e+07
12  31  4.07918e+07
12  32  3.78209e+07
12  33  6.33521e+07
12  34  3.23051e+07
12  35  5.28768e+07
12  36  4.39271e+07
12  37  3.14522e+07
12  38  4.14019e+07
12  39  5.32041e+07
12  40  5.95654e+07
12  41  3.93257e+07
12  42  3.66813e+07
12  43  3.66458e+07
12  44  5.69224e+07
12  45  4.79478e+07
12  46  4.81116e+07
12  47  5.23504e+07
12  48  4.59902e+07
12  49  6.57927e+07
12  50  8.26939e+07
13  0  7.18541e+07
13  1  5.73341e+07
13  2  5.17261e+07
13  3  5.71826e+07
13  4  6.43741e+07
13  5  4.90723e+07
13  6  7.16718e+07
13  7  7.24497e+07
13  8  8.34266e+07
13  9  8.10042e+07
13  10  1.29971e+08
13  11  2.23274e+08
13  12  6.92142e+08
13  13  1.16025e+09
13  14  2.19388e+08
13  15  1.67222e+08
13  16  1.07949e+08
13  17  8.53024e+07
13  18  9.5727e+07
13  19  5.67905e+07
13  20  4.53348e+07
13  21  3.75001e+07
13  22  5.23626e+07
13  23  4.83673e+07
13  24  3.30441e+07
13  25  4.01759e+07
13  26  4.49075e+07
13  27  4.96359e+07
13  28  8.44552e+07
13  29  5.66099e+07
13  30  3.78619e+07
13  31  6.26454e+07
13  32  4.60314e+07
13  33  4.28501e+07
13  34  4.55012e+07
13  35  2.95378e+07
13  36  5.67352e+07
13  37  4.15349e+07
13  38  2.58263e+07
13  39  2.58681e+07
13  40  5.45722e+07
13  41  6.50637e+07
13  42  5.23034e+07
13  43  3.74362e+07
13  44  4.50655e+07
13  45  5.59617e+07
13  46  4.85832e+07
13  47  5.77211e+07
13  48  4.95229e+07
13  49  3.95575e+07
13  50  5.50418e+07
14  0  5.29413e+07
14  1  7.46026e+07
14  2  5.84531e+07
14  3  5.45897e+07
14  4  4.95203e+07
14  5  6.33349e+07
14  6  5.94828e+07
14  7  5.9688e+07
14  8  7.34541e+07
14  9  9.59001e+07
14  10  1.1225e+08
14  11  1.5665e+08
14  12  4.13279e+08
14  13  8.4625e+08
14  14  2.10989e+08
14  15  1.28411e+08
14  16  1.01487e+08
14  17  9.29608e+07
14  18  7.33274e+07
14  19  3.16276e+07
14  20  2.26371e+07
14  21  2.85656e+07
14  22  3.83983e+07
14  23  1.96375e+07
14  24  3.97582e+07
14  25  5.81989e+07
14  26  5.59982e+07
14  27  4.9015e+07
14  28  4.76344e+07
14  29  3.38895e+07
14  30  4.64139e+07
14  31  5.93343e+07
14  32  4.74219e+07
14  33  4.27601e+07
14  34  4.80292e+07
14  35  5.67738e+07
14  36  6.52923e+07
14  37  2.22444e+07
14  38  1.83136e+07
14  39  3.57758e+07
14  40  5.34561e+07
14  41  5.90214e+07
14  42  3.82936e+07
14  43  3.91786e+07
14  44  3.56766e+07
14  45  4.89951e+07
14  46  4.9202e+07
14  47  4.46381e+07
14  48  5.10509e+07
14  49  4.69978e+07
14  50  6.20148e+07
15  0  5.47392e+07
15  1  6.17536e+07
15  2  5.67533e+07
15  3  3.801e+07
15  4  6.83004e+07
15  5  5.85891e+07
15  6  4.65471e+07
15  7  6.31098e+07
15  8  7.36659e+07
15  9  5.55821e+07
15  10  8.42236e+07
15  11  1.2885e+08
15  12  3.2585e+08
15  13  6.48246e+08
15  14  1.46276e+08
15  15  9.62584e+07
15  16  9.05906e+07
15  17  7.81533e+07
15  18  7.21618e+07
15  19  3.6256e+07
15  20  2.73825e+07
15  21  3.24548e+07
15  22  3.90842e+07
15  23  3.38843e+07
15  24  2.9928e+07
15  25  2.67503e+07
15  26  4.45523e+07
15  27  2.58557e+07
15  28  4.80486e+07
15  29  4.99297e+07
15  30  3.19243e+07
15  31  4.51191e+07
15  32  5.42179e+07
15  33  4.52532e+07
15  34  5.20047e+07
15  35  4.7022e+07
15  36  5.55971e+07
15  37  5.74421e+07
15  38  3.49991e+07
15  39  2.21098e+07
15  40  3.07814e+07
15  41  6.38016e+07
15  42  5.75795e+07
15  43  4.14112e+07
15  44  4.94962e+07
15  45  4.33503e+07
15  46  3.15313e+07
15  47  3.45518e+07
15  48  2.68969e+07
15  49  3.54679e+07
15  50  6.05769e+07
16  0  4.84855e+07
16  1  8.10225e+07
16  2  3.17655e+07
16  3  5.01295e+07
16  4  6.54492e+07
16  5  6.40168e+07
16  6  3.55562e+07
16  7  6.73351e+07
16  8  5.28731e+07
16  9  5.02428e+07
16  10  6.50253e+07
16  11  8.43203e+07
16  12  1.93527e+08
16  13  4.82877e+08
16  14  1.13117e+08
16  15  9.04597e+07
16  16  8.24901e+07
16  17  7.74998e+07
16  18  7.61777e+07
16  19  3.07123e+07
16  20  4.19638e+07
16  21  4.19715e+07
16  22  3.05421e+07
16  23  2.28035e+07
16  24  1.74912e+07
16  25  3.09745e+07
16  26  3.17503e+07
16  27  2.63392e+07
16  28  3.31082e+07
16  29  2.68769e+07
16  30  2.46851e+07
16  31  5.86327e+07
16  32  4.80992e+07
16  33  4.83153e+07
16  34  4.76233e+07
16  35  5.5338e+07
16  36  4.87892e+07
16  37  3.83877e+07
16  38  2.64048e+07
16  39  2.23018e+07
16  40  5.66078e+07
16  41  6.16189e+07
16  42  6.62468e+07
16  43  4.60419e+07
16  44  3.84434e+07
16  45  4.39534e+07
16  46  5.61885e+07
16  47  6.87211e+07
16  48  2.54544e+07
16  49  4.58186e+07
16  50  5.54364e+07
17  0  7.32264e+07
17  1  8.81444e+07
17  2  5.16375e+07
17  3  5.26864e+07
17  4  4.83921e+07
17  5  5.03179e+07
17  6  5.63434e+07
17  7  5.36596e+07
17  8  7.46637e+07
17  9  5.29565e+07
17  10  5.04268e+07
17  11  6.00812e+07
17  12  1.93859e+08
17  13  3.14994e+08
17  14  9.67523e+07
17  15  7.51007e+07
17  16  7.41398e+07
17  17  4.96884e+07
17  18  5.98794e+07
17  19  5.69487e+07
17  20  7.28959e+07
17  21  4.32875e+07
17  22  3.15364e+07
17  23  2.2431e+07
17  24  2.38966e+07
17  25  3.57677e+07
17  26  2.90011e+07
17  27  1.29199e+07
17  28  2.86471e+07
17  29  3.63698e+07
17  30  3.01848e+07
17  31  4.10187e+07
17  32  4.54891e+07
17  33  3.16807e+07
17  34  5.18985e+07
17  35  4.43533e+07
17  36  5.51398e+07
17  37  5.67498e+07
17  38  3.55035e+07
17  39  3.56407e+07
17  40  3.05064e+07
17  41  6.16518e+07
17  42  8.23894e+07
17  43  1.86903e+07
17  44  4.81937e+07
17  45  3.45197e+07
17  46  3.36191e+07
17  47  4.60013e+07
17  48  2.19881e+07
17  49  3.84575e+07
17  50  4.71627e+07
18  0  8.71681e+07
18  1  7.24526e+07
18  2  6.06114e+07
18  3  4.22255e+07
18  4  4.975e+07
18  5  5.19452e+07
18  6  4.66934e+07
18  7  4.65524e+07
18  8  7.68333e+07
18  9  5.6929e+07
18  10  6.40185e+07
18  11  4.80137e+07
18  12  1.03942e+08
18  13  2.39547e+08
18  14  8.59842e+07
18  15  6.99943e+07
18  16  7.36584e+07
18  17  5.39604e+07
18  18  4.79583e+07
18  19  4.31362e+07
18  20  5.02627e+07
18  21  5.00202e+07
18  22  3.85237e+07
18  23  2.80224e+07
18  24  3.0072e+07
18  25  2.61805e+07
18  26  2.60944e+07
18  27  3.57353e+07
18  28  4.20419e+07
18  29  2.02876e+07
18  30  3.45562e+07
18  31  4.14468e+07
18  32  4.18348e+07
18  33  4.7223e+07
18  34  4.67053e+07
18  35  4.65082e+07
18  36  4.75871e+07
18  37  4.87133e+07
18  38  3.95709e+07
18  39  4.79171e+07
18  40  4.16201e+07
18  41  5.48937e+07
18  42  6.62417e+07
18  43  4.72581e+07
18  44  4.4623e+07
18  45  3.98685e+07
18  46  2.80743e+07
18  47  4.09236e+07
18  48  3.12099e+07
18  49  4.45436e+07
18  50  4.78389e+07
19  0  9.19444e+07
19  1  5.0809e+07
19  2  7.01944e+07
19  3  7.07989e+07
19  4  4.53561e+07
19  5  6.53489e+07
19  6  3.81092e+07
19  7  6.52947e+07
19  8  7.26859e+07
19  9  4.72748e+07
19  10  5.1849e+07
19  11  5.74451e+07
19  12  8.08519e+07
19  13  1.89835e+08
19  14  8.86467e+07
19  15  6.51524e+07
19  16  6.00103e+07
19  17  4.33369e+07
19  18  5.01937e+07
19  19  4.62445e+07
19  20  5.3705e+07
19  21  4.41503e+07
19  22  3.979e+07
19  23  3.02489e+07
19  24  8.79923e+06
19  25  2.72163e+07
19  26  2.4835e+07
19  27  2.4554e+07
19  28  4.20932e+07
19  29  2.63345e+07
19  30  2.14499e+07
19  31  3.7436e+07
19  32  3.71445e+07
19  33  4.02287e+07
19  34  4.42302e+07
19  35  3.5249e+07
19  36  5.41698e+07
19  37  1.92943e+07
19  38  3.68725e+07
19  39  2.8626e+07
19  40  1.6698e+07
19  41  4.50916e+07
19  42  5.86101e+07
19  43  5.35404e+07
19  44  5.08436e+07
19  45  3.40635e+07
19  46  4.59672e+07
19  47  5.66437e+07
19  48  3.80118e+07
19  49  5.72856e+07
19  50  4.08382e+07
20  0  8.59843e+07
20  1  8.40651e+07
20  2  6.7504e+07
20  3  5.42079e+07
20  4  5.04888e+07
20  5  5.96437e+07
20  6  3.76397e+07
20  7  3.88468e+07
20  8  6.21619e+07
20  9  3.39555e+07
20  10  6.07709e+07
20  11  4.82806e+07
20  12  8.91102e+07
20  13  1.30323e+08
20  14  6.85226e+07
20  15  7.60278e+07
20  16  7.83657e+07
20  17  5.36949e+07
20  18  5.09259e+07
20  19  5.16214e+07
20  20  5.40968e+07
20  21  5.27066e+07
20  22  3.61722e+07
20  23  4.76364e+07
20  24  2.64074e+07
20  25  3.25386e+07
20  26  1.8954e+07
20  27  2.55036e+07
20  28  3.1851e+07
20  29  2.05887e+07
20  30  3.60255e+07
20  31  3.84629e+07
20  32  3.4199e+07
20  33  2.88257e+07
20  34  1.28669e+07
20  35  2.06697e+07
20  36  4.56838e+07
20  37  4.46149e+07
20  38  2.15284e+07
20  39  2.38743e+07
20  40  2.34038e+07
20  41  5.38536e+07
20  42  5.50604e+07
20  43  5.4579e+07
20  44  3.56953e+07
20  45  5.23946e+07
20  46  4.59595e+07
20  47  2.68761e+07
20  48  3.37243e+07
20  49  4.16687e+07
20  50  3.61446e+07
21  0  7.68145e+07
21  1  5.24051e+07
21  2  7.90738e+07
21  3  4.64822e+07
21  4  4.48972e+07
21  5  6.00757e+07
21  6  2.82971e+07
21  7  4.18694e+07
21  8  6.42512e+07
21  9  4.74226e+07
21  10  5.81708e+07
21  11  4.86561e+07
21  12  7.62184e+07
21  13  1.12738e+08
21  14  8.26696e+07
21  15  6.97099e+07
21  16  6.892e+07
21  17  6.72392e+07
21  18  4.26044e+07
21  19  4.31606e+07
21  20  4.46316e+07
21  21  4.60081e+07
21  22  5.82729e+07
21  23  2.31963e+07
21  24  3.73851e+07
21  25  3.1283e+07
21  26  2.68183e+07
21  27  3.24875e+07
21  28  3.21556e+07
21  29  3.53162e+07
21  30  3.0631e+07
21  31  3.58048e+07
21  32  3.59939e+07
21  33  2.49697e+07
21  34  2.06327e+07
21  35  1.54867e+07
21  36  2.34037e+07
21  37  7.80106e+06
21  38  1.96445e+07
21  39  1.98198e+07
21  40  0
21  41  9.12674e+06
21  42  3.8896e+07
21  43  2.45204e+07
21  44  2.44263e+07
21  45  3.68759e+07
21  46  3.47825e+07
21  47  3.03044e+07
21  48  4.67285e+07
21  49  4.95808e+07
21  50  3.84079e+07
22  0  8.61506e+07
22  1  2.874e+07
22  2  6.13951e+07
22  3  4.86242e+07
22  4  2.86524e+07
22  5  4.0161e+07
22  6  5.65552e+07
22  7  4.5895e+07
22  8  6.45257e+07
22  9  3.55599e+07
22  10  6.17218e+07
22  11  7.2097e+07
22  12  8.87755e+07
22  13  1.11444e+08
22  14  7.23273e+07
22  15  7.04388e+07
22  16  7.91341e+07
22  17  6.66759e+07
22  18  4.96963e+07
22  19  4.41429e+07
22  20  5.02192e+07
22  21  3.8526e+07
22  22  6.59743e+07
22  23  4.81445e+06
22  24  4.85263e+07
22  25  5.51203e+07
22  26  3.05552e+07
22  27  2.15157e+07
22  28  3.12998e+07
22  29  3.42884e+07
22  30  3.62605e+07
22  31  4.81498e+07
22  32  5.02959e+07
22  33  2.03603e+07
22  34  2.897e+07
22  35  7.36637e+06
22  36  2.34272e+07
22  37  1.88115e+07
22  38  0
22  39  2.71221e+06
22  40  1.49941e+07
22  41  1.89362e+07
22  42  3.83402e+07
22  43  3.54404e+07
22  44  3.19587e+07
22  45  2.31225e+07
22  46  1.99569e+07
22  47  5.91497e+07
22  48  4.3793e+07
22  49  6.23012e+07
22  50  4.91689e+07
23  0  6.32868e+07
23  1  5.28152e+07
23  2  3.72798e+07
23  3  5.14625e+07
23  4  4.62085e+07
23  5  4.36354e+07
23  6  5.11113e+07
23  7  4.91775e+07
