row  column  (images_12_26nov.edf S_K*images_12_26nov.edf Ar_K**2.3)
8  13  1.47955e+08
8  14  1.88052e+08
8  15  1.83184e+08
8  16  1.4049e+08
8  17  2.64927e+08
8  18  2.44428e+08
8  19  1.94649e+08
8  20  1.81328e+08
8  21  1.61103e+08
8  22  2.08134e+08
8  23  2.6434e+08
8  24  1.25164e+08
8  25  1.49851e+08
8  26  1.76179e+08
8  27  1.95632e+08
8  28  1.87629e+08
8  29  2.25394e+08
8  30  2.3993e+08
8  31  1.58471e+08
8  32  1.48302e+08
8  33  1.34515e+08
8  34  2.29032e+08
8  35  1.46936e+08
8  36  1.52129e+08
8  37  6.30116e+07
8  38  2.27726e+08
8  39  2.27145e+08
8  40  2.23149e+08
8  41  3.01973e+08
8  42  3.52925e+08
8  43  3.22258e+08
8  44  4.55593e+08
8  45  5.08e+08
8  46  4.30472e+08
8  47  3.23986e+08
8  48  5.05005e+08
8  49  5.2325e+08
8  50  4.86145e+08
9  0  0
9  1  0
9  2  0
9  3  0
9  4  1.77592e+08
9  5  2.7608e+08
9  6  7.87241e+07
9  7  1.47428e+08
9  8  1.76352e+08
9  9  2.32754e+08
9  10  1.98721e+08
9  11  1.63436e+08
9  12  8.48903e+07
9  13  1.14939e+08
9  14  1.80438e+08
9  15  1.48703e+08
9  16  1.61276e+08
9  17  1.82329e+08
9  18  1.85606e+08
9  19  1.60051e+08
9  20  1.79613e+08
9  21  2.03597e+08
9  22  1.94574e+08
9  23  2.32807e+08
9  24  2.20625e+08
9  25  1.68367e+08
9  26  2.52833e+08
9  27  1.49179e+08
9  28  1.12663e+08
9  29  2.24213e+08
9  30  1.07918e+08
9  31  1.17226e+08
9  32  1.4189e+08
9  33  1.26667e+08
9  34  2.37543e+08
9  35  1.615e+08
9  36  2.11721e+08
9  37  1.91655e+08
9  38  2.03565e+08
9  39  2.77838e+08
9  40  2.72039e+08
9  41  3.64635e+08
9  42  3.58917e+08
9  43  4.47801e+08
9  44  4.79107e+08
9  45  4.74528e+08
9  46  4.76883e+08
9  47  3.84703e+08
9  48  4.52583e+08
9  49  4.61387e+08
9  50  4.11546e+08
10  0  0
10  1  0
10  2  0
10  3  5.77009e+07
10  4  1.77823e+08
10  5  1.93364e+08
10  6  1.41417e+08
10  7  1.28375e+08
10  8  9.98608e+07
10  9  1.64528e+08
10  10  2.01237e+08
10  11  1.30438e+08
10  12  1.09828e+08
10  13  1.49207e+08
10  14  1.66804e+08
10  15  1.39233e+08
10  16  1.45741e+08
10  17  2.15125e+08
10  18  1.66367e+08
10  19  2.16521e+08
10  20  2.59694e+08
10  21  2.51417e+08
10  22  2.11533e+08
10  23  2.81704e+08
10  24  2.49321e+08
10  25  1.6402e+08
10  26  2.19436e+08
10  27  1.3974e+08
10  28  1.5788e+08
10  29  1.89392e+08
10  30  2.07437e+08
10  31  1.84596e+08
10  32  1.59104e+08
10  33  1.37991e+08
10  34  1.54374e+08
10  35  1.61591e+08
10  36  2.23236e+08
10  37  2.13703e+08
10  38  2.03137e+08
10  39  2.21741e+08
10  40  2.52203e+08
10  41  2.92109e+08
10  42  3.82558e+08
10  43  4.19884e+08
10  44  5.22583e+08
10  45  5.24304e+08
10  46  5.90051e+08
10  47  3.40727e+08
10  48  3.80791e+08
10  49  4.46375e+08
10  50  5.0827e+08
11  0  0
11  1  0
11  2  0
11  3  0
11  4  1.72005e+08
11  5  1.92588e+08
11  6  1.29992e+08
11  7  1.33157e+08
11  8  1.4392e+08
11  9  2.54805e+08
11  10  2.5374e+08
11  11  9.45729e+07
11  12  9.67328e+07
11  13  1.67907e+08
11  14  1.92697e+08
11  15  1.59871e+08
11  16  1.68634e+08
11  17  1.80639e+08
11  18  2.30515e+08
11  19  2.49745e+08
11  20  1.67561e+08
11  21  1.91691e+08
11  22  2.38911e+08
11  23  2.74345e+08
11  24  2.67025e+08
11  25  2.05971e+08
11  26  2.02716e+08
11  27  1.06172e+08
11  28  1.08889e+08
11  29  2.11102e+08
11  30  1.43144e+08
11  31  1.53834e+08
11  32  1.19092e+08
11  33  1.53957e+08
11  34  1.40003e+08
11  35  2.30864e+08
11  36  2.3261e+08
11  37  2.32374e+08
11  38  3.16317e+08
11  39  3.007e+08
11  40  2.96349e+08
11  41  2.57454e+08
11  42  4.0224e+08
11  43  3.53099e+08
11  44  4.35886e+08
11  45  5.72358e+08
11  46  4.9444e+08
11  47  3.73447e+08
11  48  4.11867e+08
11  49  4.50179e+08
11  50  4.75146e+08
12  0  0
12  1  0
12  2  0
12  3  0
12  4  1.88465e+08
12  5  2.67675e+08
12  6  1.05652e+08
12  7  1.06193e+08
12  8  1.39068e+08
12  9  1.89649e+08
12  10  2.14321e+08
12  11  1.40199e+08
12  12  1.30852e+08
12  13  1.79551e+08
12  14  1.67918e+08
12  15  1.54909e+08
12  16  1.67804e+08
12  17  1.46212e+08
12  18  1.77454e+08
12  19  1.6087e+08
12  20  1.9701e+08
12  21  2.32371e+08
12  22  2.83138e+08
12  23  2.69653e+08
12  24  2.26928e+08
12  25  2.42063e+08
12  26  1.53873e+08
12  27  1.5139e+08
12  28  1.04173e+08
12  29  1.94811e+08
12  30  1.5069e+08
12  31  1.65927e+08
12  32  1.64495e+08
12  33  1.90404e+08
12  34  1.82221e+08
12  35  2.08098e+08
12  36  2.91886e+08
12  37  2.35038e+08
12  38  2.81039e+08
12  39  2.75254e+08
12  40  3.41915e+08
12  41  2.31503e+08
12  42  3.97291e+08
12  43  3.49176e+08
12  44  4.30902e+08
12  45  4.65312e+08
12  46  5.31114e+08
12  47  3.75962e+08
12  48  3.79913e+08
12  49  4.51325e+08
12  50  4.14342e+08
13  0  0
13  1  0
13  2  0
13  3  5.5581e+07
13  4  1.29389e+08
13  5  1.40149e+08
13  6  1.43087e+08
13  7  1.26513e+08
13  8  1.68195e+08
13  9  2.09798e+08
13  10  2.26174e+08
13  11  1.71639e+08
13  12  7.56002e+07
13  13  1.72458e+08
13  14  1.94493e+08
13  15  1.34242e+08
13  16  1.5414e+08
13  17  1.67832e+08
13  18  2.26332e+08
13  19  1.5881e+08
13  20  2.6858e+08
13  21  2.48433e+08
13  22  1.8079e+08
13  23  3.24424e+08
13  24  3.3887e+08
13  25  2.3447e+08
13  26  1.85193e+08
13  27  1.48339e+08
13  28  5.47862e+07
13  29  1.64142e+08
13  30  8.84844e+07
13  31  1.52977e+08
13  32  1.46535e+08
13  33  1.92986e+08
13  34  2.02129e+08
13  35  2.52009e+08
13  36  2.88752e+08
13  37  1.80761e+08
13  38  2.92605e+08
13  39  3.7578e+08
13  40  2.91927e+08
13  41  3.72527e+08
13  42  4.10933e+08
13  43  3.72854e+08
13  44  4.65747e+08
13  45  4.76274e+08
13  46  4.53749e+08
13  47  3.73128e+08
13  48  4.34689e+08
13  49  5.05375e+08
13  50  4.98302e+08
14  0  0
14  1  0
14  2  0
14  3  0
14  4  7.34277e+07
14  5  2.35259e+08
14  6  1.02001e+08
14  7  1.18407e+08
14  8  1.10377e+08
14  9  2.6759e+08
14  10  1.41748e+08
14  11  1.58577e+08
14  12  3.49184e+07
14  13  1.40833e+08
14  14  1.83586e+08
14  15  1.55573e+08
14  16  5.54237e+07
14  17  1.53564e+08
14  18  1.97255e+08
14  19  2.27839e+08
14  20  2.27645e+08
14  21  2.94131e+08
14  22  2.24832e+08
14  23  3.39098e+08
14  24  2.85644e+08
14  25  2.91261e+08
14  26  1.97223e+08
14  27  1.53262e+08
14  28  6.72442e+07
14  29  1.63565e+08
14  30  1.22521e+08
14  31  5.72019e+07
14  32  6.79271e+07
14  33  1.76837e+08
14  34  2.15592e+08
14  35  2.99193e+08
14  36  3.31513e+08
14  37  2.95814e+08
14  38  2.80953e+08
14  39  3.16811e+08
14  40  3.42768e+08
14  41  2.90019e+08
14  42  3.67205e+08
14  43  3.97875e+08
14  44  5.15222e+08
14  45  5.49169e+08
14  46  5.01313e+08
14  47  4.07484e+08
14  48  3.64286e+08
14  49  3.88256e+08
14  50  5.3385e+08
15  0  0
15  1  0
15  2  0
15  3  0
15  4  1.0021e+08
15  5  1.37329e+08
15  6  1.16566e+08
15  7  1.08718e+08
15  8  1.04008e+08
15  9  2.60139e+08
15  10  1.89516e+08
15  11  1.94689e+08
15  12  1.03774e+08
15  13  1.21928e+08
15  14  1.84011e+08
15  15  1.6802e+08
15  16  1.49607e+08
15  17  1.00988e+08
15  18  1.86288e+08
15  19  2.03107e+08
15  20  2.22179e+08
15  21  2.78173e+08
15  22  2.10457e+08
15  23  3.13155e+08
