row  column  (images_12_26nov.edf Cu_K*images_12_26nov.edf Ar_K**2.3)
12  20  0
12  21  4.87593e+07
12  22  0
12  23  2.4445e+07
12  24  5.40791e+07
12  25  0
12  26  1.15783e+07
12  27  0
12  28  0
12  29  4.10352e+07
12  30  1.77309e+07
12  31  0
12  32  0
12  33  0
12  34  0
12  35  4.06024e+07
12  36  0
12  37  0
12  38  0
12  39  0
12  40  2.19873e+07
12  41  0
12  42  0
12  43  6.58011e+07
12  44  0
12  45  0
12  46  0
12  47  0
12  48  2.11149e+06
12  49  2.98278e+07
12  50  1.55234e+06
13  0  0
13  1  0
13  2  0
13  3  0
13  4  0
13  5  5.72664e+06
13  6  7.75398e+07
13  7  0
13  8  1.36229e+08
13  9  2.96034e+07
13  10  982113
13  11  4.10291e+07
13  12  2.85525e+07
13  13  4.66523e+07
13  14  0
13  15  0
13  16  1.12994e+07
13  17  0
13  18  0
13  19  0
13  20  0
13  21  0
13  22  0
13  23  2.16995e+06
13  24  2.13799e+07
13  25  0
13  26  6.65288e+07
13  27  0
13  28  6.77847e+06
13  29  0
13  30  1.87427e+07
13  31  6.91481e+06
13  32  1.95352e+06
13  33  0
13  34  0
13  35  0
13  36  0
13  37  0
13  38  4.08451e+07
13  39  3.90068e+07
13  40  1.00123e+07
13  41  5.76245e+07
13  42  4.61308e+07
13  43  0
13  44  0
13  45  0
13  46  0
13  47  0
13  48  0
13  49  1.71531e+06
13  50  0
14  0  1.09342e+07
14  1  0
14  2  0
14  3  0
14  4  0
14  5  1.59015e+07
14  6  0
14  7  0
14  8  0
14  9  0
14  10  0
14  11  0
14  12  0
14  13  0
14  14  3.09365e+07
14  15  154071
14  16  0
14  17  0
14  18  0
14  19  0
14  20  4.41703e+07
14  21  0
14  22  0
14  23  8.36264e+07
14  24  9.57214e+06
14  25  0
14  26  2.37776e+07
14  27  3.88086e+07
14  28  0
14  29  0
14  30  0
14  31  0
14  32  0
14  33  5.77877e+07
14  34  4.67025e+06
14  35  0
14  36  8.25947e+07
14  37  0
14  38  2.95994e+07
14  39  6.9147e+07
14  40  7.08113e+07
14  41  3.15004e+07
14  42  0
14  43  0
14  44  9.83688e+06
14  45  0
14  46  0
14  47  9.53794e+07
14  48  0
14  49  0
14  50  0
15  0  0
15  1  0
15  2  0
15  3  0
15  4  0
15  5  0
15  6  0
15  7  0
15  8  0
15  9  2.03289e+07
15  10  1.20588e+07
15  11  2.25789e+07
15  12  3.59001e+07
15  13  0
15  14  2.70682e+07
15  15  1.67075e+07
15  16  0
15  17  0
15  18  0
15  19  0
15  20  0
15  21  0
15  22  0
15  23  2.76984e+07
15  24  5.17148e+07
15  25  0
15  26  0
15  27  0
15  28  7.73943e+07
15  29  0
15  30  0
15  31  0
15  32  9.70352e+07
15  33  0
15  34  0
15  35  0
15  36  0
15  37  0
15  38  2.25345e+07
15  39  0
15  40  2.7689e+07
15  41  0
15  42  0
15  43  0
15  44  0
15  45  9.77275e+07
15  46  0
15  47  0
15  48  4.22475e+07
15  49  2.48725e+06
15  50  6.2786e+07
16  0  0
16  1  0
16  2  0
16  3  0
16  4  0
16  5  0
