row  column  (images_12_26nov.edf Mn_K*images_12_26nov.edf Ar_K**2.3)
9  23  1.49024e+08
9  24  8.82952e+07
9  25  1.59231e+08
9  26  1.01031e+08
9  27  1.81048e+08
9  28  9.02428e+07
9  29  1.01783e+08
9  30  7.08116e+07
9  31  1.2486e+08
9  32  7.64596e+07
9  33  7.80238e+07
9  34  1.52385e+08
9  35  8.49511e+07
9  36  1.54481e+08
9  37  1.32283e+08
9  38  1.83842e+08
9  39  1.38609e+08
9  40  9.58283e+07
9  41  1.20006e+08
9  42  7.58508e+07
9  43  1.64239e+08
9  44  1.25118e+08
9  45  1.64616e+08
9  46  1.48443e+08
9  47  8.83103e+07
9  48  1.47415e+08
9  49  7.54814e+07
9  50  8.98832e+07
10  0  1.35429e+08
10  1  1.18343e+08
10  2  1.3662e+08
10  3  1.55174e+08
10  4  1.06713e+08
10  5  6.39798e+07
10  6  1.71984e+08
10  7  1.32436e+08
10  8  1.6566e+08
10  9  9.86853e+07
10  10  1.00604e+08
10  11  1.40218e+08
10  12  1.60549e+08
10  13  1.29206e+08
10  14  1.21009e+08
10  15  1.33665e+08
10  16  1.34947e+08
10  17  2.03034e+08
10  18  1.63761e+08
10  19  1.3673e+08
10  20  1.40411e+08
10  21  1.32905e+08
10  22  1.55567e+08
10  23  9.65928e+07
10  24  9.49584e+07
10  25  1.01143e+08
10  26  1.10223e+08
10  27  1.43054e+08
10  28  1.60127e+08
10  29  8.04658e+07
10  30  9.50229e+07
10  31  1.41629e+08
10  32  1.29173e+08
10  33  1.59452e+08
10  34  7.66205e+07
10  35  1.67271e+08
10  36  1.07736e+08
10  37  1.38418e+08
10  38  1.82197e+08
10  39  1.29241e+08
10  40  1.20108e+08
10  41  1.03774e+08
10  42  1.43575e+08
10  43  9.70004e+07
10  44  1.23552e+08
10  45  1.14345e+08
10  46  1.20122e+08
10  47  9.90019e+07
10  48  1.42685e+08
10  49  1.46866e+08
10  50  1.38087e+08
11  0  2.19534e+08
11  1  1.70981e+08
11  2  2.23838e+08
11  3  1.71803e+08
11  4  1.14562e+08
11  5  9.7222e+07
11  6  9.66027e+07
11  7  1.38155e+08
11  8  1.43609e+08
11  9  1.26344e+08
11  10  1.07606e+08
11  11  1.69668e+08
11  12  1.74747e+08
11  13  9.20431e+07
11  14  8.15808e+07
11  15  6.14349e+07
11  16  1.59645e+08
11  17  1.26115e+08
11  18  1.33069e+08
11  19  1.79942e+08
11  20  1.56068e+08
11  21  1.72526e+08
11  22  8.98289e+07
11  23  5.64702e+07
11  24  1.01084e+08
11  25  9.19793e+07
11  26  1.4784e+08
11  27  1.4788e+08
11  28  1.02516e+08
11  29  1.39759e+08
11  30  1.59804e+08
11  31  7.48429e+07
11  32  1.4613e+08
11  33  1.59514e+08
11  34  8.9466e+07
11  35  1.35498e+08
11  36  6.94709e+07
11  37  1.28678e+08
11  38  1.60079e+08
11  39  8.57212e+07
11  40  1.6909e+08
11  41  1.02379e+08
11  42  1.21761e+08
11  43  1.11935e+08
11  44  9.86837e+07
11  45  1.04212e+08
11  46  9.86694e+07
11  47  4.2208e+07
11  48  5.21687e+07
11  49  1.11226e+08
11  50  3.63168e+07
12  0  1.60294e+08
12  1  1.50149e+08
12  2  1.06595e+08
12  3  1.36004e+08
12  4  1.22696e+08
12  5  9.30453e+07
12  6  9.2197e+07
12  7  1.66312e+08
12  8  1.23077e+08
12  9  1.04314e+08
12  10  7.48735e+07
12  11  9.62262e+07
12  12  1.61264e+08
12  13  1.79237e+08
12  14  1.36913e+08
12  15  8.28935e+07
12  16  1.18045e+08
12  17  1.18199e+08
12  18  1.27012e+08
12  19  1.09336e+08
12  20  1.19783e+08
12  21  5.99488e+07
12  22  1.15119e+08
12  23  8.88085e+07
12  24  1.01754e+08
12  25  1.1978e+08
12  26  1.08144e+08
12  27  1.87103e+08
12  28  1.4776e+08
12  29  2.43272e+07
12  30  3.80617e+07
12  31  1.35875e+08
12  32  1.58472e+08
12  33  1.27154e+08
12  34  1.88996e+08
12  35  7.5911e+07
12  36  6.68672e+07
12  37  1.58963e+08
12  38  1.49055e+08
12  39  1.05829e+08
12  40  1.18373e+08
12  41  1.22807e+08
12  42  9.40601e+07
12  43  1.25879e+08
12  44  1.33623e+08
12  45  1.08234e+08
12  46  1.01787e+08
12  47  9.16123e+07
12  48  7.2754e+07
12  49  1.74937e+08
12  50  1.34553e+08
13  0  1.52377e+08
13  1  1.53034e+08
13  2  1.27256e+08
13  3  1.70321e+08
13  4  1.54885e+08
13  5  7.66216e+07
13  6  1.40852e+08
13  7  1.2335e+08
13  8  5.78602e+07
13  9  1.168e+08
13  10  7.70492e+07
13  11  6.59328e+07
13  12  7.1478e+07
13  13  5.04919e+07
13  14  9.24012e+07
13  15  1.53595e+08
13  16  1.58875e+08
13  17  1.60823e+08
13  18  1.1523e+08
13  19  1.02381e+08
13  20  1.43533e+08
13  21  4.8864e+07
13  22  1.14706e+08
13  23  1.06205e+08
13  24  3.97978e+07
13  25  8.64366e+07
13  26  1.23436e+08
