row  column  (images_12_26nov.edf Ca_K*images_12_26nov.edf Ar_K**2.3)
12  22  6.81169e+09
12  23  7.69594e+09
12  24  7.39038e+09
12  25  6.3771e+09
12  26  5.08189e+09
12  27  4.79444e+09
12  28  4.88217e+09
12  29  6.6495e+09
12  30  6.73265e+09
12  31  6.64415e+09
12  32  5.209e+09
12  33  4.95464e+09
12  34  5.72003e+09
12  35  5.60086e+09
12  36  6.07501e+09
12  37  5.10766e+09
12  38  5.63649e+09
12  39  5.96321e+09
12  40  6.33998e+09
12  41  5.96896e+09
12  42  6.78268e+09
12  43  6.6317e+09
12  44  7.12241e+09
12  45  6.23173e+09
12  46  7.08555e+09
12  47  6.78432e+09
12  48  7.13674e+09
12  49  7.86701e+09
12  50  8.13225e+09
13  0  9.38687e+08
13  1  1.40457e+09
13  2  2.29746e+09
13  3  3.25509e+09
13  4  5.53707e+09
13  5  6.38813e+09
13  6  5.96396e+09
13  7  5.22146e+09
13  8  5.95639e+09
13  9  9.09976e+09
13  10  9.17254e+09
13  11  6.43399e+09
13  12  5.36786e+09
13  13  6.02277e+09
13  14  6.07048e+09
13  15  5.34515e+09
13  16  5.02851e+09
13  17  5.58995e+09
13  18  5.49698e+09
13  19  5.82899e+09
13  20  5.90139e+09
13  21  6.34411e+09
13  22  6.00219e+09
13  23  8.59367e+09
13  24  7.81669e+09
13  25  7.24027e+09
13  26  4.92571e+09
13  27  4.95039e+09
13  28  5.39391e+09
13  29  6.4669e+09
13  30  6.89581e+09
13  31  6.28503e+09
13  32  5.08534e+09
13  33  5.30354e+09
13  34  5.54908e+09
13  35  6.08148e+09
13  36  6.15514e+09
13  37  5.17262e+09
13  38  5.86541e+09
13  39  7.30687e+09
13  40  6.85521e+09
13  41  6.76541e+09
13  42  7.37458e+09
13  43  6.49501e+09
13  44  6.31014e+09
13  45  6.28333e+09
13  46  5.98972e+09
13  47  6.12125e+09
13  48  6.79911e+09
13  49  8.08821e+09
13  50  7.94164e+09
14  0  9.98391e+08
14  1  1.52149e+09
14  2  2.1196e+09
14  3  3.29675e+09
14  4  4.43163e+09
14  5  6.51257e+09
14  6  5.856e+09
14  7  5.03203e+09
14  8  5.62612e+09
14  9  8.19452e+09
14  10  7.38785e+09
14  11  7.17029e+09
14  12  5.61572e+09
14  13  5.57742e+09
14  14  6.37529e+09
14  15  5.6945e+09
14  16  4.5538e+09
14  17  4.99172e+09
14  18  5.45304e+09
14  19  5.31552e+09
14  20  5.29436e+09
14  21  5.85925e+09
14  22  6.509e+09
14  23  8.1878e+09
14  24  7.90022e+09
14  25  6.88117e+09
14  26  6.10794e+09
14  27  4.57576e+09
14  28  4.78713e+09
14  29  6.31872e+09
14  30  7.32306e+09
14  31  5.71319e+09
14  32  4.71527e+09
14  33  5.21649e+09
14  34  5.54713e+09
14  35  6.345e+09
14  36  6.74807e+09
14  37  5.82247e+09
14  38  5.9428e+09
14  39  7.16135e+09
14  40  7.43936e+09
14  41  6.79787e+09
14  42  6.98643e+09
14  43  6.21223e+09
14  44  6.50483e+09
14  45  6.36149e+09
14  46  6.18315e+09
14  47  6.6449e+09
14  48  6.76729e+09
14  49  7.03673e+09
14  50  8.18169e+09
15  0  1.07454e+09
15  1  1.60611e+09
15  2  2.08933e+09
15  3  2.83895e+09
15  4  4.70463e+09
15  5  5.47327e+09
15  6  6.02031e+09
15  7  4.91093e+09
15  8  5.27653e+09
15  9  8.23416e+09
15  10  8.37274e+09
15  11  7.55878e+09
15  12  6.06894e+09
15  13  5.76844e+09
15  14  6.86408e+09
15  15  6.6487e+09
15  16  4.91193e+09
15  17  4.75954e+09
15  18  5.70925e+09
15  19  5.52648e+09
15  20  5.2362e+09
15  21  5.75356e+09
15  22  6.11431e+09
15  23  7.50749e+09
15  24  7.24965e+09
15  25  7.56509e+09
15  26  5.4603e+09
15  27  4.74621e+09
15  28  5.40291e+09
15  29  6.24225e+09
15  30  6.2993e+09
15  31  5.48586e+09
15  32  5.05737e+09
15  33  5.61956e+09
15  34  5.70315e+09
15  35  6.66116e+09
15  36  6.35725e+09
15  37  5.92065e+09
15  38  6.68716e+09
15  39  7.24966e+09
15  40  7.69883e+09
15  41  7.09783e+09
15  42  6.29147e+09
15  43  6.53305e+09
15  44  5.96083e+09
15  45  5.88836e+09
15  46  5.9546e+09
15  47  5.84275e+09
15  48  6.05148e+09
15  49  6.4046e+09
15  50  8.09718e+09
16  0  1.07676e+09
16  1  1.55036e+09
16  2  2.20207e+09
16  3  3.15272e+09
16  4  3.95794e+09
16  5  4.88795e+09
16  6  5.56228e+09
16  7  5.3183e+09
16  8  5.36337e+09
16  9  7.04495e+09
16  10  8.79212e+09
16  11  7.58886e+09
