row  column  (images_9.edf Zn_K*images_9.edf Ar_K**2.3)
4  14  1.63961e+08
4  15  7.69188e+07
4  16  1.10068e+08
4  17  1.78437e+08
4  18  2.41617e+08
4  19  1.28151e+08
4  20  2.17028e+08
4  21  1.5471e+08
4  22  1.7377e+08
4  23  8.25891e+07
4  24  2.04575e+08
4  25  1.75131e+08
4  26  1.74716e+08
4  27  1.48362e+08
4  28  4.5496e+07
4  29  2.03456e+08
4  30  1.14898e+08
4  31  9.88635e+07
4  32  4.30955e+07
4  33  1.11262e+08
4  34  1.95441e+08
4  35  1.68161e+08
4  36  3.10564e+08
4  37  2.48364e+08
4  38  2.48723e+08
4  39  2.07414e+08
4  40  2.99407e+08
4  41  2.85866e+08
4  42  1.55694e+08
4  43  2.59591e+08
4  44  1.64948e+08
4  45  1.45703e+08
4  46  2.19783e+08
4  47  3.01072e+08
4  48  2.55923e+08
4  49  1.99323e+08
4  50  2.39047e+08
5  0  4.05184e+08
5  1  3.85653e+08
5  2  3.06542e+08
5  3  1.90977e+08
5  4  2.12767e+08
5  5  1.22781e+08
5  6  1.30135e+08
5  7  1.55745e+08
5  8  2.32481e+08
5  9  1.09539e+08
5  10  1.32002e+08
5  11  2.15075e+08
5  12  1.42575e+08
5  13  1.05402e+08
5  14  1.2336e+08
5  15  6.85074e+07
5  16  2.05654e+08
5  17  1.96603e+08
5  18  1.43576e+08
5  19  1.48171e+08
5  20  2.12682e+08
5  21  1.20415e+08
5  22  7.90926e+07
5  23  2.30746e+08
5  24  1.96705e+08
5  25  1.2678e+08
5  26  1.7328e+08
5  27  1.78191e+08
5  28  2.1638e+07
5  29  1.40498e+08
5  30  1.50735e+08
5  31  8.04404e+07
5  32  9.91878e+07
5  33  9.93496e+07
5  34  2.30962e+08
5  35  2.55504e+08
5  36  3.00711e+08
5  37  1.78101e+08
5  38  2.14272e+08
5  39  2.75741e+08
5  40  1.84008e+08
5  41  2.32807e+08
5  42  2.15839e+08
5  43  1.39656e+08
5  44  2.21352e+08
5  45  2.23021e+08
5  46  2.18514e+08
5  47  2.55917e+08
5  48  3.42684e+08
5  49  1.78437e+08
5  50  2.69449e+08
6  0  4.5223e+08
6  1  3.93447e+08
6  2  3.23934e+08
6  3  1.39898e+08
6  4  1.7729e+08
6  5  1.70951e+08
6  6  1.73584e+08
6  7  2.58878e+08
6  8  2.09787e+08
6  9  1.79683e+08
6  10  1.85359e+08
6  11  1.25576e+08
6  12  1.60464e+08
6  13  1.27836e+08
6  14  1.06238e+08
6  15  1.2788e+08
6  16  1.09694e+08
6  17  1.35285e+08
6  18  1.90071e+08
6  19  2.02946e+08
6  20  2.2456e+08
6  21  1.96315e+08
6  22  1.85831e+08
6  23  1.8006e+08
6  24  1.63337e+08
6  25  1.20919e+08
6  26  1.51829e+08
6  27  2.26877e+08
6  28  5.55103e+07
6  29  1.10588e+08
6  30  1.82259e+08
6  31  5.8283e+07
6  32  8.23352e+07
6  33  1.58229e+08
6  34  1.20329e+08
6  35  1.55718e+08
6  36  1.73378e+08
6  37  1.42824e+08
6  38  1.97224e+08
6  39  2.29296e+08
6  40  2.73836e+08
6  41  2.58484e+08
6  42  2.66991e+08
6  43  1.49795e+08
6  44  2.09429e+08
6  45  2.46293e+08
6  46  1.80527e+08
6  47  2.65882e+08
6  48  2.58133e+08
6  49  2.90747e+08
6  50  2.55202e+08
7  0  4.80978e+08
7  1  3.49683e+08
7  2  3.21755e+08
7  3  1.48698e+08
7  4  1.65326e+08
7  5  1.47023e+08
7  6  2.28282e+08
7  7  2.30621e+08
7  8  1.82552e+08
7  9  1.54175e+08
7  10  1.5444e+08
7  11  1.09974e+08
7  12  2.06801e+08
7  13  1.66229e+08
7  14  1.80314e+08
7  15  1.77972e+08
7  16  1.34098e+08
7  17  1.71905e+08
7  18  1.99068e+08
7  19  2.18025e+08
7  20  1.72451e+08
7  21  1.5994e+08
7  22  1.64737e+08
7  23  1.12181e+08
7  24  2.43046e+08
7  25  1.78766e+08
7  26  1.56309e+08
7  27  1.84739e+08
7  28  1.31841e+08
7  29  1.74277e+08
7  30  1.79497e+08
7  31  4.3874e+07
7  32  1.32562e+08
7  33  1.28735e+08
7  34  1.23679e+08
7  35  1.42419e+08
7  36  2.37368e+08
7  37  2.42209e+08
7  38  2.75945e+08
7  39  2.4248e+08
7  40  2.76577e+08
7  41  2.62178e+08
7  42  2.52666e+08
7  43  1.30297e+08
7  44  2.41474e+08
7  45  1.91558e+08
7  46  1.12016e+08
7  47  2.51894e+08
7  48  2.39306e+08
7  49  2.52715e+08
7  50  2.37962e+08
8  0  4.36483e+08
8  1  4.16876e+08
8  2  2.52594e+08
8  3  2.08971e+08
8  4  1.83548e+08
8  5  2.02582e+08
8  6  1.61648e+08
8  7  1.7402e+08
8  8  1.74563e+08
8  9  1.81749e+08
8  10  1.46026e+08
8  11  1.49234e+08
8  12  2.09206e+08
8  13  1.77749e+08
8  14  2.02616e+08
8  15  1.11317e+08
8  16  1.47352e+08
8  17  1.27888e+08
8  18  1.17419e+08
8  19  1.82622e+08
8  20  1.64529e+08
8  21  1.44569e+08
8  22  1.92398e+08
8  23  1.89688e+08
8  24  1.41326e+08
8  25  1.2418e+08
8  26  1.39195e+08
8  27  1.56267e+08
8  28  9.86665e+07
8  29  8.89709e+07
8  30  1.50185e+08
8  31  1.17297e+08
8  32  2.06998e+08
8  33  1.95852e+08
8  34  1.5392e+08
8  35  1.70592e+08
8  36  1.30657e+08
8  37  1.97949e+08
8  38  1.77927e+08
8  39  1.61787e+08
8  40  2.26304e+08
8  41  1.15678e+08
8  42  2.59977e+08
8  43  2.31943e+08
8  44  1.44417e+08
8  45  1.46718e+08
8  46  1.79672e+08
8  47  1.8849e+08
8  48  3.72245e+08
8  49  2.60901e+08
8  50  2.49043e+08
9  0  4.19846e+08
9  1  3.77533e+08
9  2  2.7405e+08
9  3  2.31811e+08
9  4  1.46803e+08
9  5  1.57215e+08
9  6  1.45327e+08
9  7  1.80249e+08
9  8  2.9477e+08
9  9  2.00521e+08
9  10  1.93408e+08
9  11  2.07623e+08
9  12  8.10427e+07
9  13  1.81444e+08
9  14  1.75016e+08
9  15  1.4237e+08
9  16  1.59896e+08
9  17  1.91582e+08
9  18  1.31513e+08
9  19  1.42286e+08
9  20  1.12645e+08
9  21  1.99651e+08
9  22  1.77379e+08
9  23  1.82471e+08
9  24  1.09711e+08
9  25  1.12302e+08
9  26  1.9303e+08
9  27  2.01866e+08
9  28  1.4758e+08
9  29  2.31035e+08
9  30  1.94548e+08
9  31  8.85368e+07
9  32  1.58453e+08
9  33  1.28832e+08
9  34  1.66939e+08
9  35  1.37216e+08
9  36  1.91902e+08
9  37  1.76103e+08
9  38  1.95959e+08
9  39  1.02976e+08
9  40  1.95361e+08
9  41  1.82298e+08
9  42  2.33419e+08
9  43  1.78063e+08
9  44  2.39144e+08
9  45  1.84404e+08
9  46  2.1022e+08
9  47  2.55956e+08
9  48  2.80804e+08
9  49  2.49585e+08
9  50  2.8361e+08
10  0  4.0923e+08
10  1  4.44842e+08
10  2  3.85161e+08
10  3  2.31532e+08
10  4  1.81588e+08
10  5  1.39779e+08
10  6  1.85041e+08
10  7  2.00868e+08
10  8  1.9672e+08
10  9  2.13696e+08
