row  column  (images_9.edf S_K*images_9.edf Ar_K**2.3)
11  17  4.26171e+07
11  18  6.68964e+07
11  19  9.56003e+07
11  20  4.33455e+07
11  21  6.16098e+07
11  22  1.04171e+08
11  23  1.57056e+08
11  24  0
11  25  4.79438e+07
11  26  5.13415e+07
11  27  5.30912e+07
11  28  0
11  29  8.90831e+07
11  30  8.52143e+07
11  31  4.01261e+07
11  32  6.50556e+07
11  33  4.5329e+07
11  34  0
11  35  0
11  36  4.64703e+07
11  37  1.0264e+08
11  38  1.05084e+08
11  39  6.43538e+07
11  40  6.13651e+07
11  41  7.69814e+07
11  42  1.18555e+08
11  43  5.50251e+07
11  44  6.28951e+07
11  45  8.05429e+07
11  46  1.06889e+08
11  47  8.69103e+07
11  48  8.21229e+07
11  49  6.53084e+07
11  50  1.20827e+08
12  0  5.94005e+07
12  1  2.66298e+07
12  2  0
12  3  4.13316e+07
12  4  0
12  5  7.29169e+07
12  6  6.26104e+07
12  7  8.58098e+07
12  8  1.01218e+08
12  9  5.43719e+07
12  10  2.93275e+07
12  11  3.36616e+07
12  12  0
12  13  6.89367e+07
12  14  4.55854e+07
12  15  4.73475e+07
12  16  9.15904e+07
12  17  6.69169e+07
12  18  1.05629e+08
12  19  9.87277e+07
12  20  6.23388e+07
12  21  5.53345e+07
12  22  6.88973e+07
12  23  8.9364e+07
12  24  9.85527e+07
12  25  4.55911e+07
12  26  5.81853e+07
12  27  0
12  28  0
12  29  0
12  30  3.68864e+07
12  31  5.42003e+07
12  32  6.25706e+07
12  33  7.28958e+07
12  34  6.55128e+07
12  35  5.14958e+07
12  36  5.41751e+07
12  37  7.02122e+07
12  38  0
12  39  6.5252e+07
12  40  7.59688e+07
12  41  0
12  42  1.02179e+08
12  43  1.34075e+08
12  44  9.75944e+07
12  45  6.88982e+07
12  46  9.95009e+07
12  47  8.52914e+07
12  48  0
12  49  6.72349e+07
12  50  1.3081e+08
13  0  8.11784e+07
13  1  6.14014e+07
13  2  1.34489e+07
13  3  0
13  4  0
13  5  0
13  6  6.96415e+07
13  7  4.08139e+07
13  8  8.31309e+07
13  9  9.09495e+07
13  10  7.26226e+07
13  11  0
13  12  0
13  13  4.73997e+07
13  14  7.78827e+07
13  15  6.43132e+07
13  16  6.41929e+07
13  17  8.7601e+07
13  18  9.39733e+07
13  19  1.01103e+08
13  20  8.31158e+07
13  21  3.90703e+07
13  22  8.43339e+07
13  23  5.7439e+07
13  24  5.07847e+07
13  25  5.99226e+07
13  26  5.94111e+07
13  27  5.57625e+07
13  28  1.27275e+08
13  29  0
13  30  9.18372e+07
13  31  5.86655e+07
13  32  6.19681e+07
13  33  2.96138e+07
13  34  6.6233e+07
13  35  0
13  36  8.1804e+07
13  37  7.04663e+07
13  38  4.10139e+07
13  39  5.58085e+07
13  40  0
13  41  8.24855e+07
13  42  7.42663e+07
13  43  1.0064e+08
13  44  1.02847e+08
13  45  1.0436e+08
13  46  8.41762e+07
13  47  0
13  48  6.8644e+07
13  49  8.95643e+07
13  50  1.06266e+08
14  0  6.84204e+07
14  1  4.68239e+07
14  2  0
14  3  1.18342e+07
14  4  0
14  5  1.10959e+06
14  6  6.16185e+07
14  7  4.32549e+07
14  8  0
14  9  9.59378e+07
14  10  5.33762e+07
14  11  0
14  12  5.54377e+07
14  13  5.33943e+07
14  14  4.20294e+07
14  15  5.86605e+07
14  16  9.76637e+07
14  17  0
14  18  7.3025e+07
14  19  9.13088e+07
14  20  1.00497e+08
14  21  7.09267e+07
14  22  1.00457e+08
14  23  6.19734e+07
14  24  8.46141e+07
14  25  5.75145e+07
14  26  6.31129e+07
14  27  5.55155e+07
14  28  4.8371e+07
14  29  7.48741e+07
14  30  2.63582e+07
14  31  1.19084e+08
14  32  0
14  33  2.49221e+07
14  34  7.28323e+07
14  35  4.2072e+07
14  36  5.64939e+07
14  37  9.16155e+07
14  38  4.9465e+07
14  39  4.12141e+07
14  40  7.89135e+07
14  41  8.82385e+07
14  42  6.49286e+07
14  43  6.06422e+07
14  44  7.6309e+07
14  45  2.80123e+06
14  46  7.0645e+07
14  47  6.22421e+07
14  48  0
14  49  0
14  50  8.79219e+07
15  0  8.62415e+07
15  1  1.14598e+08
15  2  0
15  3  0
15  4  1.72044e+07
15  5  4.56676e+07
15  6  1.78623e+07
15  7  4.54031e+07
15  8  7.41904e+07
15  9  1.14205e+08
15  10  5.70648e+07
15  11  7.45422e+07
15  12  7.22807e+07
15  13  7.84075e+07
15  14  7.68341e+07
15  15  7.23154e+07
15  16  6.66454e+07
15  17  8.10191e+07
15  18  6.0032e+07
15  19  1.18839e+08
15  20  1.03072e+08
15  21  8.85817e+07
15  22  5.73961e+07
15  23  6.29202e+07
15  24  9.11139e+07
15  25  1.03418e+08
15  26  7.24171e+07
15  27  9.66405e+07
15  28  7.98228e+07
15  29  1.04014e+08
15  30  8.91459e+07
15  31  7.09107e+07
15  32  5.76681e+07
15  33  5.02932e+07
15  34  4.28854e+07
15  35  3.47819e+07
15  36  4.52009e+07
15  37  6.56159e+07
15  38  9.85506e+07
15  39  0
15  40  7.41481e+07
15  41  0
15  42  6.09735e+07
15  43  7.1437e+07
15  44  6.98294e+07
15  45  9.44825e+07
15  46  7.43491e+07
15  47  5.99564e+07
15  48  0
15  49  5.659e+07
15  50  9.36191e+07
16  0  3.6358e+07
16  1  3.23298e+07
16  2  0
16  3  0
16  4  0
16  5  1.05205e+07
16  6  5.8924e+07
16  7  1.1946e+07
16  8  1.89939e+07
16  9  8.8722e+07
16  10  1.1351e+08
16  11  5.8683e+07
16  12  7.46554e+07
16  13  7.87249e+07
16  14  1.25406e+08
16  15  4.47166e+07
16  16  6.97459e+07
16  17  8.46336e+07
16  18  9.8876e+07
16  19  8.80465e+07
16  20  1.5335e+08
16  21  9.86971e+07
16  22  6.54056e+07
16  23  1.13884e+08
16  24  1.07223e+08
16  25  7.20182e+07
16  26  0
16  27  5.87872e+07
16  28  8.41021e+07
16  29  7.57183e+07
16  30  1.77653e+07
16  31  3.78137e+07
16  32  1.0406e+08
16  33  5.30709e+07
16  34  0
16  35  6.48966e+07
16  36  0
16  37  0
16  38  6.41406e+07
16  39  4.85964e+07
16  40  4.87809e+07
16  41  0
16  42  5.27629e+07
16  43  1.33877e+08
16  44  6.40415e+07
16  45  7.49766e+07
16  46  9.07739e+07
16  47  0
16  48  4.99239e+07
16  49  6.59648e+07
16  50  2.84779e+07
17  0  4.90071e+07
17  1  2.32068e+07
17  2  0
17  3  0
17  4  0
17  5  5.00317e+07
17  6  5.95902e+07
17  7  5.96277e+07
17  8  6.5362e+07
17  9  5.8279e+07
17  10  1.06647e+08
17  11  7.21063e+07
17  12  9.65892e+07
17  13  6.64039e+07
17  14  9.48436e+07
17  15  1.02321e+08
17  16  8.62869e+07
17  17  7.22551e+07
17  18  6.26907e+07
17  19  1.43325e+08
17  20  1.14053e+08
17  21  4.60316e+07
17  22  9.89974e+07
17  23  8.48561e+07
17  24  1.02167e+08
17  25  8.0331e+07
17  26  0
17  27  7.23526e+07
17  28  0
17  29  8.35091e+07
17  30  8.97083e+07
17  31  8.98963e+07
17  32  1.10643e+08
17  33  5.60629e+07
17  34  6.71923e+07
17  35  2.91683e+07
17  36  0
17  37  0
17  38  1.09592e+08
17  39  6.13332e+07
17  40  0
17  41  8.35627e+07
17  42  8.61188e+07
17  43  4.96324e+07
17  44  3.02255e+07
17  45  1.22597e+08
17  46  7.56251e+07
17  47  7.60262e+07
17  48  0
17  49  7.27614e+07
17  50  1.10912e+08
18  0  1.25475e+07
18  1  2.66863e+07
18  2  0
18  3  0
18  4  0
18  5  209234
18  6  8.30329e+06
18  7  2.67142e+07
18  8  5.7401e+07
18  9  7.75792e+07
18  10  8.74656e+07
18  11  6.19458e+07
18  12  7.04855e+07
18  13  5.37499e+07
18  14  8.15985e+07
18  15  1.00157e+08
18  16  7.87819e+07
18  17  1.41991e+08
18  18  9.10075e+07
18  19  1.34829e+08
18  20  7.53679e+07
18  21  8.71262e+07
18  22  8.29449e+07
18  23  1.02698e+08
18  24  8.50193e+07
18  25  5.17573e+07
18  26  0
18  27  9.13346e+07
18  28  6.41832e+07
18  29  7.97616e+07
18  30  8.49898e+07
18  31  1.10363e+08
18  32  1.01955e+08
18  33  0
18  34  5.23524e+07
18  35  5.98668e+07
18  36  4.427e+07
18  37  9.27031e+07
18  38  8.90199e+07
18  39  0
18  40  0
18  41  5.62296e+07
18  42  0
18  43  8.50186e+07
18  44  5.83233e+07
18  45  0
18  46  6.92782e+07
18  47  3.74938e+07
18  48  3.47178e+07
18  49  6.99953e+07
18  50  0
19  0  4.58363e+07
19  1  2.77622e+07
19  2  0
19  3  0
19  4  0
19  5  0
19  6  3.60982e+07
19  7  5.48281e+07
19  8  8.6174e+07
19  9  7.32401e+07
19  10  8.86448e+07
19  11  5.75901e+07
19  12  8.61915e+07
19  13  1.0596e+08
19  14  9.24198e+07
19  15  7.41003e+07
19  16  1.15e+08
19  17  6.96516e+07
19  18  7.36105e+07
19  19  1.11492e+08
19  20  9.88698e+07
19  21  8.64441e+07
19  22  9.56931e+07
19  23  7.18425e+07
19  24  8.15598e+07
19  25  6.09523e+07
19  26  4.14861e+07
19  27  4.4985e+07
19  28  4.03404e+07
19  29  6.57896e+07
19  30  5.75703e+07
19  31  1.35283e+08
19  32  1.50533e+08
19  33  1.10863e+08
19  34  1.11691e+08
19  35  8.63955e+07
19  36  3.70154e+07
19  37  1.33532e+08
19  38  1.57603e+08
19  39  4.5173e+07
19  40  0
19  41  8.10947e+07
19  42  0
19  43  0
19  44  5.83612e+07
19  45  6.11407e+07
19  46  7.48783e+07
19  47  8.22869e+07
19  48  0
19  49  6.62801e+07
19  50  5.24528e+07
20  0  5.94749e+06
20  1  0
20  2  0
20  3  0
20  4  0
20  5  0
20  6  0
20  7  8.20152e+07
20  8  9.66729e+07
20  9  1.33946e+08
20  10  4.63549e+07
20  11  8.73569e+07
20  12  8.15864e+07
20  13  1.01775e+08
20  14  1.15017e+08
20  15  1.10156e+08
20  16  6.85265e+07
20  17  8.08702e+07
20  18  8.22666e+07
20  19  7.41982e+07
20  20  1.16752e+08
20  21  9.06943e+07
20  22  0
20  23  4.41005e+07
20  24  5.04109e+07
20  25  6.45647e+07
20  26  0
20  27  9.65276e+07
20  28  9.74855e+07
20  29  1.34222e+08
20  30  1.02867e+08
20  31  1.06155e+08
20  32  1.07101e+08
20  33  7.9985e+07
20  34  1.00365e+08
20  35  4.19922e+07
20  36  4.06821e+07
20  37  5.86956e+07
20  38  6.07587e+07
20  39  9.45808e+07
20  40  4.98736e+07
20  41  0
20  42  4.61519e+07
20  43  0
20  44  4.36914e+07
20  45  0
20  46  0
20  47  0
20  48  0
20  49  6.99685e+07
20  50  4.51355e+07
21  0  8.68092e+06
21  1  0
21  2  0
21  3  0
21  4  0
21  5  0
21  6  0
21  7  4.11983e+07
21  8  4.35703e+07
21  9  5.98858e+07
21  10  7.37959e+07
21  11  8.43347e+07
21  12  5.79365e+07
21  13  8.79174e+07
21  14  9.64035e+07
21  15  1.08067e+08
21  16  1.20745e+08
21  17  1.41199e+08
21  18  9.22388e+07
21  19  1.42034e+08
21  20  6.92127e+07
21  21  4.32301e+07
21  22  5.60022e+07
21  23  4.74782e+07
21  24  5.88951e+07
21  25  9.79167e+07
21  26  4.30304e+07
21  27  1.11455e+08
21  28  6.10886e+07
21  29  9.46288e+07
21  30  8.96545e+07
21  31  1.42678e+08
21  32  1.12075e+08
21  33  8.97011e+07
21  34  8.75905e+07
21  35  6.20175e+07
21  36  3.67591e+07
21  37  1.17709e+08
21  38  8.80373e+07
21  39  2.93175e+07
21  40  0
21  41  0
21  42  0
21  43  0
21  44  0
21  45  5.6951e+07
21  46  4.79389e+07
21  47  6.13615e+07
21  48  0
21  49  0
21  50  0
22  0  3.41203e+07
22  1  0
22  2  0
22  3  0
22  4  0
22  5  2.81278e+07
22  6  2.9203e+07
22  7  5.89845e+07
22  8  8.91383e+07
22  9  1.26141e+08
22  10  9.1929e+07
22  11  9.54331e+07
22  12  8.35549e+07
22  13  1.2216e+08
22  14  1.57839e+08
22  15  9.97867e+07
22  16  1.01066e+08
22  17  1.26332e+08
22  18  1.1573e+08
22  19  1.45241e+08
22  20  7.64908e+07
22  21  9.09695e+07
22  22  0
22  23  5.01515e+07
22  24  9.92364e+07
22  25  0
22  26  5.01725e+07
22  27  1.1473e+08
22  28  1.12298e+08
22  29  8.21557e+07
22  30  1.03004e+08
22  31  8.65424e+07
22  32  1.50087e+08
22  33  1.37793e+08
22  34  1.34012e+08
22  35  9.51687e+07
22  36  1.29428e+08
22  37  8.94973e+07
22  38  1.1046e+08
22  39  4.89498e+07
22  40  5.32028e+07
22  41  0
22  42  0
22  43  0
22  44  0
22  45  0
22  46  0
22  47  0
22  48  0
22  49  0
22  50  0
23  0  1.66683e+07
23  1  0
23  2  0
23  3  2.88368e+07
23  4  0
23  5  0
23  6  3.91823e+07
23  7  8.73107e+07
23  8  1.29451e+08
23  9  9.27889e+07
23  10  7.28592e+07
23  11  9.8548e+07
23  12  9.54635e+07
23  13  9.03378e+07
23  14  1.00014e+08
23  15  1.20444e+08
23  16  9.50846e+07
23  17  1.30275e+08
23  18  8.69677e+07
23  19  9.29246e+07
23  20  1.16424e+08
23  21  6.86215e+07
23  22  4.67738e+07
23  23  9.67848e+07
23  24  4.79397e+07
23  25  6.21966e+07
23  26  7.60909e+07
23  27  1.12387e+08
23  28  1.15552e+08
23  29  1.14739e+08
23  30  9.60266e+07
23  31  1.27178e+08
23  32  9.59807e+07
23  33  1.6181e+08
23  34  1.01621e+08
23  35  1.31432e+08
23  36  1.08505e+08
23  37  6.43751e+07
23  38  7.78839e+07
23  39  4.8395e+07
23  40  3.66484e+06
23  41  0
23  42  0
23  43  0
23  44  0
23  45  4.93724e+07
23  46  0
23  47  0
23  48  0
23  49  0
23  50  0
24  0  5.12288e+07
24  1  0
24  2  0
24  3  3.99717e+07
24  4  0
24  5  2.83008e+06
24  6  6.67207e+07
24  7  3.40709e+07
24  8  1.07896e+08
24  9  5.12344e+07
24  10  8.7672e+07
24  11  8.94248e+07
24  12  8.94735e+07
24  13  1.03692e+08
24  14  1.17144e+08
24  15  1.12596e+08
24  16  1.38051e+08
24  17  7.01543e+07
24  18  1.31256e+08
24  19  4.82465e+07
24  20  6.33328e+07
24  21  7.39748e+07
24  22  5.57244e+07
24  23  6.6647e+07
24  24  5.48016e+07
24  25  9.17793e+07
24  26  7.25778e+07
24  27  9.61097e+07
24  28  6.3989e+07
24  29  1.14743e+08
24  30  1.23305e+08
24  31  1.13586e+08
24  32  1.11819e+08
24  33  1.1166e+08
24  34  1.42888e+08
24  35  6.04843e+07
24  36  9.99889e+07
24  37  6.54312e+07
24  38  1.01963e+08
24  39  7.65101e+07
24  40  0
24  41  0
24  42  0
24  43  0
24  44  0
