row  column  (images_9.edf P_K*images_9.edf Ar_K**2.3)
14  40  3.46949e+07
14  41  4.8316e+07
14  42  6.86248e+07
14  43  6.95377e+07
14  44  0
14  45  6.47082e+06
14  46  0
14  47  0
14  48  0
14  49  3.70962e+07
14  50  4.70051e+07
15  0  1.04259e+07
15  1  0
15  2  0
15  3  0
15  4  0
15  5  0
15  6  0
15  7  0
15  8  0
15  9  3.68105e+07
15  10  0
15  11  0
15  12  0
15  13  0
15  14  0
15  15  0
15  16  0
15  17  0
15  18  0
15  19  0
15  20  0
15  21  0
15  22  0
15  23  0
15  24  0
15  25  0
15  26  0
15  27  0
15  28  6.86158e+07
15  29  0
15  30  5.33543e+07
15  31  0
15  32  3.37065e+07
15  33  3.75999e+07
15  34  0
15  35  0
15  36  0
15  37  0
15  38  0
15  39  4.76595e+07
15  40  2.91619e+07
15  41  0
15  42  7.69057e+07
15  43  5.03694e+07
15  44  0
15  45  4.30159e+07
15  46  0
15  47  0
15  48  0
15  49  0
15  50  0
16  0  0
16  1  0
16  2  0
16  3  0
16  4  0
16  5  0
16  6  0
16  7  0
16  8  0
16  9  0
16  10  3.19112e+07
16  11  0
16  12  0
16  13  0
16  14  0
16  15  0
16  16  0
16  17  0
16  18  0
16  19  3.9694e+07
16  20  3.12611e+07
16  21  7.03372e+07
16  22  3.32458e+07
16  23  0
16  24  3.46491e+07
16  25  0
16  26  0
16  27  0
16  28  5.28865e+07
16  29  0
16  30  2.39384e+07
16  31  2.51748e+07
16  32  0
16  33  3.81947e+07
16  34  0
16  35  0
16  36  0
16  37  0
16  38  0
16  39  0
16  40  3.3448e+07
16  41  0
16  42  3.61751e+07
16  43  6.08517e+07
16  44  4.4557e+07
16  45  3.97141e+07
16  46  4.68588e+07
16  47  0
16  48  0
16  49  0
16  50  7.63744e+06
17  0  0
17  1  0
17  2  0
17  3  0
17  4  0
17  5  0
17  6  0
17  7  0
17  8  0
17  9  0
17  10  0
17  11  0
17  12  0
17  13  0
17  14  0
17  15  0
17  16  0
17  17  0
17  18  0
17  19  3.0476e+07
17  20  5.75433e+07
17  21  9.89639e+06
17  22  0
17  23  0
17  24  0
17  25  0
17  26  0
17  27  0
17  28  0
17  29  8.18991e+07
17  30  6.54946e+07
17  31  1.31594e+07
17  32  0
17  33  0
17  34  0
17  35  0
17  36  0
17  37  3.7039e+07
17  38  3.49854e+07
17  39  0
17  40  0
17  41  2.77805e+07
17  42  5.60954e+07
17  43  3.70814e+07
17  44  1.51731e+07
17  45  0
17  46  0
17  47  0
17  48  3.29963e+07
17  49  0
17  50  0
18  0  0
18  1  0
18  2  0
18  3  0
18  4  0
18  5  0
18  6  0
18  7  0
18  8  0
18  9  0
18  10  0
18  11  0
18  12  0
18  13  0
18  14  0
18  15  0
18  16  0
18  17  0
18  18  3.62783e+06
18  19  4.00629e+07
18  20  3.93779e+07
18  21  3.77518e+07
18  22  0
18  23  0
18  24  0
18  25  0
18  26  0
18  27  4.21017e+07
18  28  4.6409e+07
18  29  7.79869e+07
18  30  6.7351e+07
18  31  0
18  32  0
18  33  0
18  34  0
18  35  0
18  36  2.09479e+07
18  37  0
18  38  0
18  39  0
18  40  0
18  41  2.9525e+07
18  42  0
18  43  2.83972e+07
18  44  3.30902e+07
18  45  4.7337e+07
18  46  3.0553e+07
18  47  0
18  48  0
18  49  0
18  50  0
19  0  0
19  1  0
19  2  0
19  3  0
19  4  0
19  5  0
19  6  0
19  7  0
19  8  0
19  9  0
19  10  0
19  11  0
19  12  0
19  13  0
19  14  2.74423e+07
19  15  0
19  16  0
19  17  0
19  18  3.86878e+07
19  19  0
19  20  4.39277e+07
19  21  0
19  22  3.5063e+07
19  23  0
19  24  0
19  25  0
19  26  0
19  27  5.04112e+06
19  28  2.8598e+07
19  29  0
19  30  2.29083e+07
19  31  5.28401e+07
19  32  5.18688e+07
19  33  4.39736e+07
19  34  0
19  35  0
19  36  0
19  37  3.02595e+07
19  38  0
19  39  0
19  40  0
19  41  4.49634e+07
19  42  0
19  43  0
19  44  0
19  45  0
19  46  0
19  47  0
19  48  0
19  49  0
19  50  0
20  0  0
20  1  0
20  2  0
20  3  0
20  4  0
20  5  0
20  6  0
20  7  0
20  8  0
20  9  3.05699e+07
20  10  0
20  11  0
20  12  0
20  13  2.94226e+07
20  14  0
20  15  0
20  16  0
20  17  0
20  18  3.76737e+07
20  19  0
20  20  5.02663e+07
20  21  0
20  22  2.61433e+07
20  23  0
20  24  0
20  25  0
20  26  0
20  27  4.06195e+07
20  28  4.71555e+07
20  29  6.9268e+07
20  30  8.29058e+07
20  31  7.07604e+07
20  32  0
20  33  4.1678e+07
20  34  0
20  35  0
20  36  0
20  37  0
20  38  0
20  39  0
20  40  0
20  41  0
20  42  3.3028e+07
20  43  0
20  44  0
20  45  0
20  46  0
20  47  0
20  48  0
20  49  0
20  50  0
21  0  0
21  1  0
21  2  0
21  3  0
21  4  0
21  5  0
21  6  0
21  7  0
