row  column  (images_9.edf Mn_K*images_9.edf Ar_K**2.3)
9  27  1.09413e+08
9  28  1.21974e+08
9  29  1.00024e+08
9  30  9.61453e+07
9  31  1.32309e+08
9  32  1.24771e+08
9  33  1.03118e+08
9  34  8.04744e+07
9  35  1.37608e+08
9  36  1.21316e+08
9  37  1.2554e+08
9  38  1.61497e+08
9  39  1.51401e+08
9  40  1.01416e+08
9  41  1.68598e+08
9  42  1.29482e+08
9  43  1.73663e+08
9  44  1.3306e+08
9  45  1.43577e+08
9  46  1.07033e+08
9  47  1.59299e+08
9  48  1.31873e+08
9  49  1.50049e+08
9  50  1.02466e+08
10  0  7.345e+07
10  1  6.9441e+07
10  2  9.17001e+07
10  3  8.98011e+07
10  4  1.0441e+08
10  5  1.02998e+08
10  6  8.11514e+07
10  7  1.19894e+08
10  8  1.14859e+08
10  9  9.05472e+07
10  10  1.11028e+08
10  11  8.09949e+07
10  12  1.03317e+08
10  13  1.51174e+08
10  14  1.18611e+08
10  15  7.96718e+07
10  16  1.01117e+08
10  17  1.03687e+08
10  18  8.51007e+07
10  19  1.03303e+08
10  20  1.59982e+08
10  21  1.21797e+08
10  22  1.16944e+08
10  23  1.59631e+08
10  24  1.6824e+08
10  25  1.27517e+08
10  26  8.29351e+07
10  27  1.28838e+08
10  28  8.94069e+07
10  29  1.17665e+08
10  30  1.38198e+08
10  31  1.3249e+08
10  32  1.54837e+08
10  33  1.19708e+08
10  34  1.42882e+08
10  35  1.81495e+08
10  36  1.3676e+08
10  37  1.35605e+08
10  38  1.64752e+08
10  39  1.37388e+08
10  40  1.19025e+08
10  41  1.59496e+08
10  42  9.59874e+07
10  43  1.64272e+08
10  44  1.0142e+08
10  45  1.26781e+08
10  46  1.87469e+08
10  47  1.35709e+08
10  48  1.26438e+08
10  49  1.42758e+08
10  50  1.26875e+08
11  0  8.94396e+07
11  1  4.15996e+07
11  2  9.37478e+07
11  3  1.18324e+08
11  4  5.54282e+07
11  5  1.21372e+08
11  6  1.1117e+08
11  7  9.79444e+07
11  8  1.49277e+08
11  9  1.04397e+08
11  10  1.00176e+08
11  11  1.19074e+08
11  12  1.79511e+08
11  13  8.58219e+07
11  14  1.09334e+08
11  15  5.67371e+07
11  16  8.6104e+07
11  17  1.20607e+08
11  18  1.26129e+08
11  19  1.24693e+08
11  20  1.05484e+08
11  21  8.67522e+07
11  22  7.88728e+07
11  23  1.40303e+08
11  24  1.1054e+08
11  25  1.15886e+08
11  26  8.00885e+07
11  27  1.28181e+08
11  28  1.65736e+08
11  29  1.11974e+08
11  30  1.33769e+08
11  31  1.42951e+08
11  32  1.24185e+08
11  33  1.00024e+08
11  34  1.08722e+08
11  35  1.03926e+08
11  36  1.45942e+08
11  37  1.45741e+08
11  38  1.55826e+08
11  39  1.70807e+08
11  40  1.42241e+08
11  41  1.31943e+08
11  42  1.24972e+08
11  43  1.56508e+08
11  44  1.20317e+08
11  45  1.39703e+08
11  46  1.5172e+08
11  47  2.21114e+08
11  48  1.33624e+08
11  49  7.27785e+07
11  50  1.17638e+08
12  0  4.97031e+07
12  1  6.19241e+07
12  2  6.85226e+07
12  3  1.83402e+08
12  4  9.77047e+07
12  5  1.07062e+08
12  6  1.33559e+08
12  7  1.36903e+08
12  8  1.06303e+08
12  9  1.03295e+08
12  10  1.28268e+08
12  11  1.20613e+08
12  12  9.08058e+07
12  13  6.34328e+07
12  14  1.2482e+08
12  15  1.38923e+08
12  16  9.73835e+07
12  17  8.58617e+07
12  18  1.35549e+08
12  19  1.04909e+08
12  20  1.14942e+08
12  21  1.62826e+08
12  22  1.59368e+08
12  23  1.47336e+08
12  24  1.13149e+08
12  25  1.30461e+08
12  26  1.2612e+08
12  27  1.11635e+08
12  28  1.43914e+08
12  29  1.55684e+08
12  30  1.28008e+08
12  31  1.34236e+08
12  32  1.04581e+08
12  33  8.6212e+07
12  34  1.4538e+08
12  35  1.14083e+08
12  36  1.4011e+08
12  37  1.83198e+08
12  38  1.76743e+08
12  39  1.08263e+08
12  40  1.79393e+08
12  41  1.40756e+08
12  42  1.3632e+08
12  43  1.21067e+08
12  44  1.12495e+08
12  45  7.14073e+07
12  46  1.40289e+08
12  47  1.08776e+08
12  48  6.31295e+07
12  49  1.25445e+08
12  50  1.1083e+08
13  0  1.05167e+08
13  1  7.28869e+07
13  2  4.36323e+07
13  3  1.01983e+08
13  4  7.21465e+07
13  5  9.05211e+07
13  6  1.11236e+08
